time_h,plasma_mg_l,free_plasma_nm,liver_mg_l,kidney_mg_l,brain_mg_l,lung_mg_l,rest_mg_l,amount_blood_mg,amount_liver_mg,amount_gut_depot_mg,amount_kidney_mg,amount_brain_mg,amount_lung_mg,amount_rest_mg,hepatic_eliminated_mg,renal_eliminated_mg,presystemic_loss_mg,auc_to_time_mg_h_l
0.0,20.0,4444.444444444444,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-05,19.985575208416627,4441.238935203695,3.878065214111206e-05,0.0001650918704741171,2.4931570657014057e-05,0.14338958774455512,2.0221365535290106e-06,99.92787604208313,6.980517385400171e-05,0.0,5.11784798469763e-05,3.490419891981968e-05,0.07169479387227756,0.00012333010839973437,1.8305303526858963e-10,0.00014994590051928952,0.0,0.0001999278673590528
1.03131007630134e-05,19.98512373536606,4441.138607859124,4.124338349006588e-05,0.00017557459765765637,2.6514866580807574e-05,0.14785946927042817,2.1505547352460326e-06,99.9256186768303,7.423809028211859e-05,0.0,5.442812527387348e-05,3.71208132131306e-05,0.07392973463521409,0.00013116233330265554,2.0077700790025237e-10,0.00015463897164565,0.0,0.0002061852955275334
1.063600473480678e-05,19.98465813736824,4441.035141637387,4.3862383950521416e-05,0.00018672236655180606,2.8198632013073976e-05,0.15246805638270078,2.287121914259983e-06,99.92329068684118,7.895229111093855e-05,0.0,5.788393363105988e-05,3.947808481830356e-05,0.07623402819135039,0.00013949156555071636,2.2021701477476128e-10,0.00015947887213984112,0.0,0.00021263849618645495
1.0969018854594994e-05,19.98417797285147,4440.928438411438,4.664756098110726e-05,0.0001985773302347871,2.998923703729297e-05,0.15721961295490125,2.4323547715030344e-06,99.92088986425735,8.396560976599307e-05,0.0,6.1558972372784e-05,4.198493185221015e-05,0.07860980647745062,0.00014834931751397007,2.415325437607823e-10,0.00016447019218076135,0.0,0.00021929358957434848
1.1312459671883222e-05,19.98368278646218,4440.818396991596,4.960944070591806e-05,0.00021118426942708338,3.1893449640797144e-05,0.16211853148506694,2.586802265576833e-06,99.91841393231088,8.929699327065252e-05,0.0,6.546712352239585e-05,4.4650829497115995e-05,0.08105926574253347,0.00015776907017753104,2.6491325973512355e-10,0.00016961766521722944,0.0,0.00022615688695630596
1.1666653647365719e-05,19.98317210863562,4440.704913030138,5.275921934285066e-05,0.00022459081613996043,3.391846864995073e-05,0.1671693366382804,2.7510483006031487e-06,99.9158605431781,9.496659481713119e-05,0.0,6.962315300338773e-05,4.748585610993102e-05,0.0835846683191402,0.00016778643585378604,2.905591168146566e-10,0.00017492617242554585,0.0,0.00023323489656739451
1.2031937463246046e-05,19.982645455154064,4440.587878923126,5.610880134186166e-05,0.00023884761409242457,3.607194830231705e-05,0.17237668910694826,2.9257137206637486e-06,99.91322727577031,0.000100995842415351,0.0,7.404276036865162e-05,5.050072762324387e-05,0.08618834455347413,0.00017843927982328202,3.1868901604930106e-10,0.00018040074730443388,0.0,0.00024053432973924522
1.2408658343273257e-05,19.98210232669112,4440.467183709138,5.96708438329304e-05,0.0002540085074999351,3.836202683425897e-05,0.1777453895178147,3.1114586288146408e-06,99.91051163345558,0.00010740751889927473,0.0,7.874263732497987e-05,5.370683756796256e-05,0.08887269475890736,0.00018976786177140494,3.495430148887003e-10,0.00018604658041200973,0.0,0.000248062107216013
1.2797174382798401e-05,19.98154220834203,4440.342712964895,6.345880406609027e-05,0.00027013074264553306,4.079735699097083e-05,0.18328038243634115,3.3089848619939652e-06,99.90771104171014,0.0001142258473189625,0.0,8.374053022011524e-05,5.711629978735916e-05,0.09164019121817057,0.00020181498673301195,3.8338437319298205e-10,0.00019186902424902298,0.0,0.00025582536566536403
1.31978548891654e-05,19.98096456913946,4440.214348697658,6.748698982693789e-05,0.0002872751820789909,4.3387138450562894e-05,0.18898676047289176,3.5190386212057823e-06,99.9048228456973,0.0001214765816884882,0.0,8.905530644448718e-05,6.074199383078805e-05,0.09449338023644588,0.00021462616550734068,4.2050179722877207e-10,0.00019787359829281806,0.0,0.00026383146439042413
1.3611080732759181e-05,19.980368861554332,4440.081969234297,7.177061301281182e-05,0.0003055065322284972,4.6141152281370555e-05,0.1948697684924437,3.7424132666486943e-06,99.90184430777165,0.00012918710342306127,0.0,9.470702499083414e-05,6.459761319391877e-05,0.09743488424622185,0.00022824978513290387,4.612119008173836e-10,0.0002040659941865865,0.0,0.00027208799224878207
