compound,probe,probe_time_h,time_after_probe_h,plasma_mg_l
Control,Midazolam,0.0,0.0,0.0
Control,Midazolam,0.0,0.125,0.00486137363273165
Control,Midazolam,0.0,0.25,0.005529196520485485
Control,Midazolam,0.0,0.375,0.0057851427369326825
Control,Midazolam,0.0,0.5,0.005928529934824444
Control,Midazolam,0.0,0.625,0.005999102493642918
Control,Midazolam,0.0,0.75,0.006012792642416727
Control,Midazolam,0.0,0.875,0.005981299168978068
Control,Midazolam,0.0,1.0,0.005914122750493361
Control,Midazolam,0.0,1.125,0.005819058067202241
Control,Midazolam,0.0,1.25,0.005702495435297645
Control,Midazolam,0.0,1.375,0.00556966628301455
Control,Midazolam,0.0,1.5,0.005424843238490053
Control,Midazolam,0.0,1.625,0.005271507133402347
Control,Midazolam,0.0,1.75,0.005112484587813607
Control,Midazolam,0.0,1.875,0.004950062508312324
Control,Midazolam,0.0,2.0,0.004786082628708166
Control,Midazolam,0.0,2.125,0.004622019829696414
Control,Midazolam,0.0,2.25,0.004459047054426478
Control,Midazolam,0.0,2.375,0.0042980889336479014
Control,Midazolam,0.0,2.5,0.004139866243723834
Control,Midazolam,0.0,2.625,0.00398493262575152
Control,Midazolam,0.0,2.75,0.003833704979178674
Control,Midazolam,0.0,2.875,0.0036864885714506593
Control,Midazolam,0.0,3.0,0.0035434977866679153
Control,Midazolam,0.0,3.125,0.0034048732612615576
Control,Midazolam,0.0,3.25,0.0032706960181684633
Control,Midazolam,0.0,3.375,0.0031409991261553936
Control,Midazolam,0.0,3.5,0.003015777303614966
Control,Midazolam,0.0,3.625,0.0028949948227412698
Control,Midazolam,0.0,3.75,0.0027785920068622563
Control,Midazolam,0.0,3.875,0.0026664905638940396
Control,Midazolam,0.0,4.0,0.0025585979562239135
Control,Midazolam,0.0,4.125,0.002454810975050683
Control,Midazolam,0.0,4.25,0.002355018656880304
Control,Midazolam,0.0,4.375,0.0022591046557125113
Control,Midazolam,0.0,4.5,0.0021669491668051314
Control,Midazolam,0.0,4.625,0.0020784304810309443
Control,Midazolam,0.0,4.75,0.001993426232270005
Control,Midazolam,0.0,4.875,0.0019118143944233728
Control,Midazolam,0.0,5.0,0.0018334740717780075
Control,Midazolam,0.0,5.125,0.001758286118684772
Control,Midazolam,0.0,5.25,0.0016861336198895835
Control,Midazolam,0.0,5.375,0.001616902256883157
Control,Midazolam,0.0,5.5,0.0015504805809720716
Control,Midazolam,0.0,5.625,0.001486760209180033
Control,Midazolam,0.0,5.75,0.0014256359593023725
Control,Midazolam,0.0,5.875,0.001367005934516545
Control,Midazolam,0.0,6.0,0.0013107715672614215
Control,Midazolam,0.0,6.125,0.001256837630551545
Control,Midazolam,0.0,6.25,0.0012051122238767179
Control,Midazolam,0.0,6.375,0.001155506738440162
Control,Midazolam,0.0,6.5,0.0011079358058329687
Control,Midazolam,0.0,6.625,0.0010623172349996156
Control,Midazolam,0.0,6.75,0.0010185719396580974
Control,Midazolam,0.0,6.875,0.0009766238584721025
Control,Midazolam,0.0,7.0,0.0009363998703778202
Control,Midazolam,0.0,7.125,0.000897829706699643
Control,Midazolam,0.0,7.25,0.0008608458611346255
Control,Midazolam,0.0,7.375,0.0008253834986985359
Control,Midazolam,0.0,7.5,0.0007913803644763171
Control,Midazolam,0.0,7.625,0.0007587766930594868
Control,Midazolam,0.0,7.75,0.000727515118955028
Control,Midazolam,0.0,7.875,0.0006975405883979941
Control,Midazolam,0.0,8.0,0.0006688002730212061
Control,Midazolam,0.0,8.125,0.0006412434855960611
Control,Midazolam,0.0,8.25,0.0006148215979762793
Control,Midazolam,0.0,8.375,0.0005894879613198952
Control,Midazolam,0.0,8.5,0.0005651978285983503
Control,Midazolam,0.0,8.625,0.0005419082797613566
Control,Midazolam,0.0,8.75,0.0005195781494444594
Control,Midazolam,0.0,8.875,0.0004981679570823548
Control,Midazolam,0.0,9.0,0.0004776398394773219
Control,Midazolam,0.0,9.125,0.00045795748586179827
Control,Midazolam,0.0,9.25,0.00043908607513292976
Control,Midazolam,0.0,9.375,0.0004209922150852538
Control,Midazolam,0.0,9.5,0.00040364388531680616
Control,Midazolam,0.0,9.625,0.000387010381325429
Control,Midazolam,0.0,9.75,0.00037106226081627116
Control,Midazolam,0.0,9.875,0.0003557712922245016
Control,Midazolam,0.0,10.0,0.00034111040607952807
Control,Midazolam,0.0,10.125,0.0003270536449267946
Control,Midazolam,0.0,10.25,0.00031357612012945156
Control,Midazolam,0.0,10.375,0.0003006539681836844
Control,Midazolam,0.0,10.5,0.00028826430630294816
Control,Midazolam,0.0,10.625,0.00027638519514220933
Control,Midazolam,0.0,10.75,0.0002649955991976458
Control,Midazolam,0.0,10.875,0.00025407534831142043
Control,Midazolam,0.0,11.0,0.0002436051037602965
Control,Midazolam,0.0,11.125,0.00023356632494304333
Control,Midazolam,0.0,11.25,0.00022394123057617498
Control,Midazolam,0.0,11.375,0.0002147127764410041
Control,Midazolam,0.0,11.5,0.00020586461540009584
Control,Midazolam,0.0,11.625,0.00019738107807003907
Control,Midazolam,0.0,11.75,0.00018924713806019422
Control,Midazolam,0.0,11.875,0.00018144838928268127
Control,Midazolam,0.0,12.0,0.0001739710162617928
Control,Midazolam,0.0,12.125,0.00016680179283817543
Control,Midazolam,0.0,12.25,0.00015992800288823538
Control,Midazolam,0.0,12.375,0.0001533375081744428
Control,Midazolam,0.0,12.5,0.0001470186038737102
Control,Midazolam,0.0,12.625,0.000140960075020339
Control,Midazolam,0.0,12.75,0.000135151198409734
Control,Midazolam,0.0,12.875,0.00012958168230466243
Control,Midazolam,0.0,13.0,0.00012424165956326488
Control,Midazolam,0.0,13.125,0.00011912170357266427
Control,Midazolam,0.0,13.25,0.00011421272407835813
Control,Midazolam,0.0,13.375,0.00010950606686030423
Control,Midazolam,0.0,13.5,0.00010499335197244028
Control,Midazolam,0.0,13.625,0.00010066662837051684
Control,Midazolam,0.0,13.75,9.651819952613643e-05
Control,Midazolam,0.0,13.875,9.254072317687763e-05
Control,Midazolam,0.0,14.0,8.872716175022546e-05
Control,Midazolam,0.0,14.125,8.507076234597522e-05
Control,Midazolam,0.0,14.25,8.156504451696932e-05
Control,Midazolam,0.0,14.375,7.820379787032727e-05
Control,Midazolam,0.0,14.5,7.498106810944767e-05
Control,Midazolam,0.0,14.625,7.189114402653525e-05
Control,Midazolam,0.0,14.75,6.89285534169284e-05
Control,Midazolam,0.0,14.875,6.608804806447724e-05
Control,Midazolam,0.0,15.0,6.33645976994653e-05
Control,Midazolam,0.0,15.125,6.0753379202135464e-05
Control,Midazolam,0.0,15.25,5.824976754313849e-05
Control,Midazolam,0.0,15.375,5.5849332489999156e-05
Control,Midazolam,0.0,15.5,5.3547819376007684e-05
Control,Midazolam,0.0,15.625,5.134114912740282e-05
Control,Midazolam,0.0,15.75,4.922542174693903e-05
Control,Midazolam,0.0,15.875,4.719688113015327e-05
Control,Midazolam,0.0,16.0,4.5251930524297214e-05
Control,Midazolam,0.0,16.125,4.338713047482791e-05
Control,Midazolam,0.0,16.25,4.159917382599046e-05
Control,Midazolam,0.0,16.375,3.988489690456441e-05
Control,Midazolam,0.0,16.5,3.8241263275874106e-05
Control,Midazolam,0.0,16.625,3.666536314993486e-05
Control,Midazolam,0.0,16.75,3.515440518969588e-05
Control,Midazolam,0.0,16.875,3.3705713950628106e-05
Control,Midazolam,0.0,17.0,3.231672335086669e-05
Control,Midazolam,0.0,17.125,3.098497178134851e-05
Control,Midazolam,0.0,17.25,2.9708102066188696e-05
Control,Midazolam,0.0,17.375,2.848384989083271e-05
Control,Midazolam,0.0,17.5,2.7310049105190306e-05
Control,Midazolam,0.0,17.625,2.6184618716300326e-05
Control,Midazolam,0.0,17.75,2.5105567014694865e-05
Control,Midazolam,0.0,17.875,2.407098196951091e-05
Control,Midazolam,0.0,18.0,2.3079031577366326e-05
Control,Midazolam,0.0,18.125,2.2127959196473148e-05
Control,Midazolam,0.0,18.25,2.121607963568991e-05
Control,Midazolam,0.0,18.375,2.034177884173634e-05
Control,Midazolam,0.0,18.5,1.950350673916244e-05
Control,Midazolam,0.0,18.625,1.8699780121249973e-05
Control,Midazolam,0.0,18.75,1.792917397113233e-05
Control,Midazolam,0.0,18.875,1.7190324221953087e-05
Control,Midazolam,0.0,19.0,1.6481921908697555e-05
Control,Midazolam,0.0,19.125,1.580271213198899e-05
Control,Midazolam,0.0,19.25,1.5151492448574927e-05
Control,Midazolam,0.0,19.375,1.4527108785320865e-05
Control,Midazolam,0.0,19.5,1.3928456325090915e-05
Control,Midazolam,0.0,19.625,1.3354473572901313e-05
Control,Midazolam,0.0,19.75,1.2804144728324573e-05
Control,Midazolam,0.0,19.875,1.2276494785259858e-05
Control,Midazolam,0.0,20.0,1.177058842058234e-05
Control,Midazolam,0.0,20.125,1.1285530804977464e-05
Control,Midazolam,0.0,20.25,1.0820461504181806e-05
Control,Midazolam,0.0,20.375,1.0374557649508953e-05
Control,Midazolam,0.0,20.5,9.947029193111775e-06
Control,Midazolam,0.0,20.625,9.537118489998395e-06
Control,Midazolam,0.0,20.75,9.14410037507425e-06
Control,Midazolam,0.0,20.875,8.767277856734146e-06
Control,Midazolam,0.0,21.0,8.405984275899233e-06
Control,Midazolam,0.0,21.125,8.05957936453826e-06
Control,Midazolam,0.0,21.25,7.727449349260458e-06
Control,Midazolam,0.0,21.375,7.409006689235313e-06
Control,Midazolam,0.0,21.5,7.103686470779282e-06
Control,Midazolam,0.0,21.625,6.8109485717327195e-06
Control,Midazolam,0.0,21.75,6.5302742944303445e-06
Control,Midazolam,0.0,21.875,6.261166005350258e-06
Control,Midazolam,0.0,22.0,6.003147928059258e-06
Control,Midazolam,0.0,22.125,5.755762330007162e-06
Control,Midazolam,0.0,22.25,5.518571288244681e-06
Control,Midazolam,0.0,22.375,5.291154903240504e-06
Control,Midazolam,0.0,22.5,5.07310983609528e-06
Control,Midazolam,0.0,22.625,4.864050623375941e-06
Control,Midazolam,0.0,22.75,4.663606469672485e-06
Control,Midazolam,0.0,22.875,4.47142236555768e-06
Control,Midazolam,0.0,23.0,4.287158279090579e-06
Control,Midazolam,0.0,23.125,4.11048730256826e-06
Control,Midazolam,0.0,23.25,3.9410971675070355e-06
Control,Midazolam,0.0,23.375,3.7786874917471842e-06
Control,Midazolam,0.0,23.5,3.6229703427812965e-06
Control,Midazolam,0.0,23.625,3.4736705678037673e-06
Control,Midazolam,0.0,23.75,3.3305231918051104e-06
Control,Midazolam,0.0,23.875,3.1932744073701276e-06
Control,Midazolam,0.0,24.0,3.0616813904357386e-06
Control,Midazolam,0.0,24.125,2.9355119839921005e-06
Control,Midazolam,0.0,24.25,2.8145393908881783e-06
Control,Midazolam,0.0,24.375,2.698554254939035e-06
Control,Midazolam,0.0,24.5,2.5873492912921734e-06
Control,Midazolam,0.0,24.625,2.4807276850784422e-06
Control,Midazolam,0.0,24.75,2.3785010503830905e-06
Control,Midazolam,0.0,24.875,2.2804863206574826e-06
Control,Midazolam,0.0,25.0,2.1865094208516133e-06
Control,Midazolam,0.0,25.125,2.096405711026096e-06
Control,Midazolam,0.0,25.25,2.01001376028249e-06
Control,Midazolam,0.0,25.375,1.9271818702376605e-06
Control,Midazolam,0.0,25.5,1.8477624037516193e-06
Control,Midazolam,0.0,25.625,1.7716157037662004e-06
Control,Midazolam,0.0,25.75,1.6986074336845044e-06
Control,Midazolam,0.0,25.875,1.628607175473717e-06
Control,Midazolam,0.0,26.0,1.5614927661787642e-06
Control,Midazolam,0.0,26.125,1.4971433331535959e-06
Control,Midazolam,0.0,26.25,1.4354464069594773e-06
Control,Midazolam,0.0,26.375,1.37629218256153e-06
Control,Midazolam,0.0,26.5,1.3195754524220388e-06
Control,Midazolam,0.0,26.625,1.2651959512306223e-06
Control,Midazolam,0.0,26.75,1.2130576150039611e-06
Control,Midazolam,0.0,26.875,1.1630680425431195e-06
Control,Midazolam,0.0,27.0,1.115138659094326e-06
Control,Midazolam,0.0,27.125,1.069184508688528e-06
Control,Midazolam,0.0,27.25,1.0251241070903596e-06
Control,Midazolam,0.0,27.375,9.828795538395164e-07
Control,Midazolam,0.0,27.5,9.423758404424592e-07
Control,Midazolam,0.0,27.625,9.035412149091866e-07
Control,Midazolam,0.0,27.75,8.663069838751273e-07
Control,Midazolam,0.0,27.875,8.306070600946716e-07
Control,Midazolam,0.0,28.0,7.963783280878975e-07
Control,Midazolam,0.0,28.125,7.635601198659374e-07
Control,Midazolam,0.0,28.25,7.320942923368826e-07
Control,Midazolam,0.0,28.375,7.019251912691951e-07
Control,Midazolam,0.0,28.5,6.729993190954888e-07
Control,Midazolam,0.0,28.625,6.452655766010106e-07
Control,Midazolam,0.0,28.75,6.186748626492292e-07
Control,Midazolam,0.0,28.875,5.931799441763757e-07
Control,Midazolam,0.0,29.0,5.687355075490006e-07
Control,Midazolam,0.0,29.125,5.452987775611142e-07
Control,Midazolam,0.0,29.25,5.228279028996037e-07
Control,Midazolam,0.0,29.375,5.012829196670252e-07
Control,Midazolam,0.0,29.5,4.80625661210173e-07
Control,Midazolam,0.0,29.625,4.6081995072063853e-07
Control,Midazolam,0.0,29.75,4.4183036459508737e-07
Control,Midazolam,0.0,29.875,4.236231152316199e-07
Control,Midazolam,0.0,30.0,4.061661908634792e-07
Control,Midazolam,0.0,30.125,3.8942874346754065e-07
Control,Midazolam,0.0,30.25,3.733809488228953e-07
Control,Midazolam,0.0,30.375,3.579942831560714e-07
Control,Midazolam,0.0,30.5,3.432418541199782e-07
Control,Midazolam,0.0,30.625,3.2909734347056074e-07
Control,Midazolam,0.0,30.75,3.155356435979001e-07
Control,Midazolam,0.0,30.875,3.0253274523787555e-07
Control,Midazolam,0.0,31.0,2.9006581972828595e-07
Control,Midazolam,0.0,31.125,2.7811263310138483e-07
Control,Midazolam,0.0,31.25,2.6665193563145046e-07
Control,Midazolam,0.0,31.375,2.5566360445621036e-07
Control,Midazolam,0.0,31.5,2.4512821617228e-07
Control,Midazolam,0.0,31.625,2.3502696657780423e-07
Control,Midazolam,0.0,31.75,2.2534185670538057e-07
