compound,concentration_uM,time_h,relative_activity,evidence
Clarithromycin,0.02,0.0,1.0,noise_free_synthetic_assay
Clarithromycin,0.02,0.04,0.9998217980580705,noise_free_synthetic_assay
Clarithromycin,0.02,0.08,0.9996436278720731,noise_free_synthetic_assay
Clarithromycin,0.02,0.12,0.9994654894363487,noise_free_synthetic_assay
Clarithromycin,0.02,0.16,0.9992873827452395,noise_free_synthetic_assay
Clarithromycin,0.02,0.2,0.9991093077930887,noise_free_synthetic_assay
Clarithromycin,0.02,0.24,0.9989312645742401,noise_free_synthetic_assay
Clarithromycin,0.02,0.28,0.9987532530830388,noise_free_synthetic_assay
Clarithromycin,0.02,0.32,0.9985752733138309,noise_free_synthetic_assay
Clarithromycin,0.02,0.36,0.9983973252609636,noise_free_synthetic_assay
Clarithromycin,0.02,0.4,0.9982194089187848,noise_free_synthetic_assay
Clarithromycin,0.02,0.44,0.9980415242816437,noise_free_synthetic_assay
Clarithromycin,0.02,0.48,0.9978636713438904,noise_free_synthetic_assay
Clarithromycin,0.02,0.52,0.997685850099876,noise_free_synthetic_assay
Clarithromycin,0.02,0.56,0.9975080605439526,noise_free_synthetic_assay
Clarithromycin,0.02,0.6,0.9973303026704732,noise_free_synthetic_assay
Clarithromycin,0.02,0.64,0.9971525764737922,noise_free_synthetic_assay
Clarithromycin,0.02,0.68,0.9969748819482644,noise_free_synthetic_assay
Clarithromycin,0.02,0.72,0.9967972190882464,noise_free_synthetic_assay
Clarithromycin,0.02,0.76,0.9966195878880948,noise_free_synthetic_assay
Clarithromycin,0.02,0.8,0.9964419883421681,noise_free_synthetic_assay
Clarithromycin,0.02,0.84,0.9962644204448254,noise_free_synthetic_assay
Clarithromycin,0.02,0.88,0.9960868841904268,noise_free_synthetic_assay
Clarithromycin,0.02,0.92,0.9959093795733336,noise_free_synthetic_assay
Clarithromycin,0.02,0.96,0.9957319065879078,noise_free_synthetic_assay
Clarithromycin,0.02,1.0,0.9955544652285125,noise_free_synthetic_assay
Clarithromycin,0.02,1.04,0.9953770554895122,noise_free_synthetic_assay
Clarithromycin,0.02,1.08,0.9951996773652718,noise_free_synthetic_assay
Clarithromycin,0.02,1.12,0.9950223308501577,noise_free_synthetic_assay
Clarithromycin,0.02,1.16,0.9948450159385369,noise_free_synthetic_assay
Clarithromycin,0.02,1.2,0.9946677326247777,noise_free_synthetic_assay
Clarithromycin,0.02,1.24,0.9944904809032493,noise_free_synthetic_assay
Clarithromycin,0.02,1.28,0.9943132607683219,noise_free_synthetic_assay
Clarithromycin,0.02,1.32,0.9941360722143667,noise_free_synthetic_assay
Clarithromycin,0.02,1.36,0.9939589152357559,noise_free_synthetic_assay
Clarithromycin,0.02,1.4000000000000001,0.9937817898268627,noise_free_synthetic_assay
Clarithromycin,0.02,1.44,0.9936046959820614,noise_free_synthetic_assay
Clarithromycin,0.02,1.48,0.9934276336957271,noise_free_synthetic_assay
Clarithromycin,0.02,1.52,0.993250602962236,noise_free_synthetic_assay
Clarithromycin,0.02,1.56,0.9930736037759654,noise_free_synthetic_assay
Clarithromycin,0.02,1.6,0.9928966361312935,noise_free_synthetic_assay
Clarithromycin,0.02,1.6400000000000001,0.9927197000225996,noise_free_synthetic_assay
Clarithromycin,0.02,1.68,0.9925427954442638,noise_free_synthetic_assay
Clarithromycin,0.02,1.72,0.9923659223906676,noise_free_synthetic_assay
Clarithromycin,0.02,1.76,0.9921890808561928,noise_free_synthetic_assay
Clarithromycin,0.02,1.8,0.9920122708352229,noise_free_synthetic_assay
Clarithromycin,0.02,1.84,0.9918354923221422,noise_free_synthetic_assay
Clarithromycin,0.02,1.8800000000000001,0.9916587453113357,noise_free_synthetic_assay
Clarithromycin,0.02,1.92,0.9914820297971898,noise_free_synthetic_assay
Clarithromycin,0.02,1.96,0.9913053457740917,noise_free_synthetic_assay
Clarithromycin,0.02,2.0,0.9911286932364296,noise_free_synthetic_assay
Clarithromycin,0.02,2.04,0.9909520721785928,noise_free_synthetic_assay
Clarithromycin,0.02,2.08,0.9907754825949714,noise_free_synthetic_assay
Clarithromycin,0.02,2.12,0.9905989244799568,noise_free_synthetic_assay
Clarithromycin,0.02,2.16,0.9904223978279412,noise_free_synthetic_assay
Clarithromycin,0.02,2.2,0.9902459026333177,noise_free_synthetic_assay
Clarithromycin,0.02,2.24,0.9900694388904807,noise_free_synthetic_assay
Clarithromycin,0.02,2.2800000000000002,0.9898930065938253,noise_free_synthetic_assay
Clarithromycin,0.02,2.32,0.9897166057377478,noise_free_synthetic_assay
Clarithromycin,0.02,2.36,0.9895402363166454,noise_free_synthetic_assay
Clarithromycin,0.02,2.4,0.9893638983249163,noise_free_synthetic_assay
Clarithromycin,0.02,2.44,0.9891875917569599,noise_free_synthetic_assay
Clarithromycin,0.02,2.48,0.9890113166071761,noise_free_synthetic_assay
Clarithromycin,0.02,2.52,0.9888350728699664,noise_free_synthetic_assay
Clarithromycin,0.02,2.56,0.988658860539733,noise_free_synthetic_assay
Clarithromycin,0.02,2.6,0.988482679610879,noise_free_synthetic_assay
Clarithromycin,0.02,2.64,0.9883065300778086,noise_free_synthetic_assay
Clarithromycin,0.02,2.68,0.988130411934927,noise_free_synthetic_assay
Clarithromycin,0.02,2.72,0.9879543251766406,noise_free_synthetic_assay
Clarithromycin,0.02,2.7600000000000002,0.9877782697973564,noise_free_synthetic_assay
Clarithromycin,0.02,2.8000000000000003,0.9876022457914827,noise_free_synthetic_assay
Clarithromycin,0.02,2.84,0.9874262531534287,noise_free_synthetic_assay
Clarithromycin,0.02,2.88,0.9872502918776045,noise_free_synthetic_assay
Clarithromycin,0.02,2.92,0.9870743619584215,noise_free_synthetic_assay
Clarithromycin,0.02,2.96,0.9868984633902915,noise_free_synthetic_assay
Clarithromycin,0.02,3.0,0.9867225961676281,noise_free_synthetic_assay
Clarithromycin,0.02,3.04,0.9865467602848453,noise_free_synthetic_assay
Clarithromycin,0.02,3.08,0.9863709557363582,noise_free_synthetic_assay
Clarithromycin,0.02,3.12,0.9861951825165831,noise_free_synthetic_assay
Clarithromycin,0.02,3.16,0.9860194406199371,noise_free_synthetic_assay
Clarithromycin,0.02,3.2,0.9858437300408384,noise_free_synthetic_assay
Clarithromycin,0.02,3.24,0.985668050773706,noise_free_synthetic_assay
Clarithromycin,0.02,3.2800000000000002,0.9854924028129601,noise_free_synthetic_assay
Clarithromycin,0.02,3.3200000000000003,0.9853167861530221,noise_free_synthetic_assay
Clarithromycin,0.02,3.36,0.9851412007883138,noise_free_synthetic_assay
Clarithromycin,0.02,3.4,0.9849656467132586,noise_free_synthetic_assay
Clarithromycin,0.02,3.44,0.9847901239222804,noise_free_synthetic_assay
Clarithromycin,0.02,3.48,0.9846146324098044,noise_free_synthetic_assay
Clarithromycin,0.02,3.52,0.9844391721702567,noise_free_synthetic_assay
Clarithromycin,0.02,3.56,0.9842637431980644,noise_free_synthetic_assay
Clarithromycin,0.02,3.6,0.9840883454876557,noise_free_synthetic_assay
Clarithromycin,0.02,3.64,0.9839129790334595,noise_free_synthetic_assay
Clarithromycin,0.02,3.68,0.9837376438299061,noise_free_synthetic_assay
Clarithromycin,0.02,3.72,0.9835623398714264,noise_free_synthetic_assay
Clarithromycin,0.02,3.7600000000000002,0.9833870671524525,noise_free_synthetic_assay
Clarithromycin,0.02,3.8000000000000003,0.9832118256674176,noise_free_synthetic_assay
Clarithromycin,0.02,3.84,0.9830366154107556,noise_free_synthetic_assay
Clarithromycin,0.02,3.88,0.9828614363769015,noise_free_synthetic_assay
Clarithromycin,0.02,3.92,0.9826862885602915,noise_free_synthetic_assay
Clarithromycin,0.02,3.96,0.9825111719553625,noise_free_synthetic_assay
Clarithromycin,0.02,4.0,0.9823360865565526,noise_free_synthetic_assay
Clarithromycin,0.1,0.0,1.0,noise_free_synthetic_assay
Clarithromycin,0.1,0.04,0.9991432243848621,noise_free_synthetic_assay
Clarithromycin,0.1,0.08,0.9982871828341789,noise_free_synthetic_assay
Clarithromycin,0.1,0.12,0.997431874719022,noise_free_synthetic_assay
Clarithromycin,0.1,0.16,0.9965772994110015,noise_free_synthetic_assay
Clarithromycin,0.1,0.2,0.9957234562822662,noise_free_synthetic_assay
Clarithromycin,0.1,0.24,0.9948703447055027,noise_free_synthetic_assay
Clarithromycin,0.1,0.28,0.9940179640539353,noise_free_synthetic_assay
Clarithromycin,0.1,0.32,0.9931663137013249,noise_free_synthetic_assay
Clarithromycin,0.1,0.36,0.9923153930219692,noise_free_synthetic_assay
Clarithromycin,0.1,0.4,0.991465201390702,noise_free_synthetic_assay
Clarithromycin,0.1,0.44,0.9906157381828927,noise_free_synthetic_assay
Clarithromycin,0.1,0.48,0.9897670027744458,noise_free_synthetic_assay
Clarithromycin,0.1,0.52,0.9889189945418007,noise_free_synthetic_assay
