small_dose_mg,mab_dose_mg_kg,day,targeted_effect,mab_effect,combo_effect,excess_over_bliss,loewe_ci,loewe_status
0.0,0.0,60.0,0.0,0.0,0.0,0.0,,zero_dose_zero_effect
10.0,0.0,60.0,0.22275311960801958,0.0,0.22275311960801958,0.0,1.0,axis_identity
25.0,0.0,60.0,0.3798743483728446,0.0,0.3798743483728446,0.0,1.0,axis_identity
50.0,0.0,60.0,0.5148713517385992,0.0,0.5148713517385992,0.0,1.0,axis_identity
100.0,0.0,60.0,0.8176890692923107,0.0,0.8176890692923107,0.0,1.0,axis_identity
200.0,0.0,60.0,0.9784166927828595,0.0,0.9784166927828595,0.0,1.0,axis_identity
0.0,0.1,60.0,0.0,0.13123526101336336,0.13123526101336336,0.0,1.0,axis_identity
10.0,0.1,60.0,0.22275311960801958,0.13123526101336336,0.33537078558799804,0.010615468759914502,0.7577872420148111,interpolated_in_support
25.0,0.1,60.0,0.3798743483728446,0.13123526101336336,0.4712996618952726,0.010042961770056223,0.7305330255637325,interpolated_in_support
50.0,0.1,60.0,0.5148713517385992,0.13123526101336336,0.6136562308185285,0.0351188943002842,0.7944979279396864,interpolated_in_support
100.0,0.1,60.0,0.8176890692923107,0.13123526101336336,0.8794361729619309,0.03782148109260741,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,0.1,60.0,0.9784166927828595,0.13123526101336336,0.9855002674289955,0.00425108368996302,,A:interpolated_in_support;B:outside_monotherapy_effect_support
0.0,0.3,60.0,0.0,0.2885206190532371,0.2885206190532371,0.0,1.0,axis_identity
10.0,0.3,60.0,0.22275311960801958,0.2885206190532371,0.460554017573782,0.013549146877870885,0.636078345883641,interpolated_in_support
25.0,0.3,60.0,0.3798743483728446,0.2885206190532371,0.5753449371474486,0.016551551876345064,0.5867944264881166,interpolated_in_support
50.0,0.3,60.0,0.5148713517385992,0.2885206190532371,0.7751245347089089,0.12028356505347015,0.5755734284978951,interpolated_in_support
100.0,0.3,60.0,0.8176890692923107,0.2885206190532371,0.932406785763843,0.062117253883577944,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,0.3,60.0,0.9784166927828595,0.2885206190532371,0.991863625372588,0.007219703430222935,,A:interpolated_in_support;B:outside_monotherapy_effect_support
0.0,1.0,60.0,0.0,0.49821652884959655,0.49821652884959655,0.0,1.0,axis_identity
10.0,1.0,60.0,0.22275311960801958,0.49821652884959655,0.6361520182486398,0.026161655832550146,0.5051472419595155,interpolated_in_support
25.0,1.0,60.0,0.3798743483728446,0.49821652884959655,0.8093933489763332,0.12056215099921305,0.30661945568481713,interpolated_in_support
50.0,1.0,60.0,0.5148713517385992,0.49821652884959655,0.9165925351037917,0.1600220721829005,,A:interpolated_in_support;B:outside_monotherapy_effect_support
100.0,1.0,60.0,0.8176890692923107,0.49821652884959655,0.9764027515210887,0.06788336316025373,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,1.0,60.0,0.9784166927828595,0.49821652884959655,0.9972932422915382,0.008123389105860468,,A:interpolated_in_support;B:outside_monotherapy_effect_support
0.0,3.0,60.0,0.0,0.6492282280592951,0.6492282280592951,0.0,1.0,axis_identity
10.0,3.0,60.0,0.22275311960801958,0.6492282280592951,0.8285613583716969,0.10119762384217693,0.1505609479167101,interpolated_in_support
25.0,3.0,60.0,0.3798743483728446,0.6492282280592951,0.9193288751237297,0.13685144877087127,,A:interpolated_in_support;B:outside_monotherapy_effect_support
50.0,3.0,60.0,0.5148713517385992,0.6492282280592951,0.9668414208614885,0.13701085643133898,,A:interpolated_in_support;B:outside_monotherapy_effect_support
100.0,3.0,60.0,0.8176890692923107,0.6492282280592951,0.9913134521241427,0.05526298033263788,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,3.0,60.0,0.9784166927828595,0.6492282280592951,0.999078222115622,0.006649037032519067,,A:interpolated_in_support;B:outside_monotherapy_effect_support
0.0,10.0,60.0,0.0,0.7809322722431258,0.7809322722431258,0.0,1.0,axis_identity
10.0,10.0,60.0,0.22275311960801958,0.7809322722431258,0.8998367470583717,0.07010645505196184,,A:interpolated_in_support;B:outside_monotherapy_effect_support
25.0,10.0,60.0,0.3798743483728446,0.7809322722431258,0.9543431539236976,0.0901926713494095,,A:interpolated_in_support;B:outside_monotherapy_effect_support
50.0,10.0,60.0,0.5148713517385992,0.7809322722431258,0.9820149392842685,0.08829096992865748,,A:interpolated_in_support;B:outside_monotherapy_effect_support
100.0,10.0,60.0,0.8176890692923107,0.7809322722431258,0.9955491896728437,0.03548763100821817,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,10.0,60.0,0.9784166927828595,0.7809322722431258,0.9995543295230773,0.004282535592614822,,A:interpolated_in_support;B:outside_monotherapy_effect_support
