permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,0.0,6022140.760000001,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High permeability,0.1,5928162.476450246,906022.9219853178,93738.84808938006,238.22992530306823,1.1757791807238098,238.22992530306823,0.029755890955528226,0.11845354667698219,0.0004780635656751427,7.170953485127141e-05
High permeability,0.2,5845101.354207945,822969.903100498,176120.92839123838,909.1685082664593,8.85529094766877,909.1685082664593,0.4536016041349659,1.7972664622252226,0.014635958427921088,0.0021953937641881627
High permeability,0.30000000000000004,5771480.456610998,749370.0450228613,248676.02343457882,1953.9315425643865,28.15941866943777,1953.9315425643865,2.1889931920281396,8.632154270595176,0.10637325534388255,0.01595598830158238
High permeability,0.4,5706060.79792244,683989.5775479664,312688.950445506,3321.472006534271,62.941803866498496,3321.472006534271,6.597821656856294,25.89324903657382,0.4291729097525816,0.06437593646288722
High permeability,0.5,5647795.618842243,625786.2422612669,369246.3885787711,4967.36915996985,116.01538998504296,4967.36915996985,15.368029036193441,60.019134792688455,1.2543703544554563,0.18815555316831845
High permeability,0.6000000000000001,5595794.865473857,573873.8632453957,419273.29587024567,6852.840884367202,189.34316011487707,6852.840884367202,30.414611421687475,118.19901275594798,2.9902093339547133,0.44853140009320697
High permeability,0.7000000000000001,5549297.304202828,527494.5402512541,463561.5286145989,8943.93113415579,284.19884463481714,8943.93113415579,53.797203789608474,208.02990809909198,6.193310270595633,0.9289965405893449
High permeability,0.8,5507648.418545494,485996.61272901733,502792.5511003412,11210.836170649982,401.30214895961115,11210.836170649982,87.65203456147191,337.2384684157039,11.573945109118979,1.7360917663678463
High permeability,0.9,5470282.730043383,448817.0386624459,537555.6195688256,13627.341768735389,540.9322105665871,13627.341768735389,134.13640849352043,513.4586083491964,19.99631966388374,2.9994479495825597
High permeability,1.0,5436709.539144268,415467.18564229866,568362.4643819324,16170.349975773035,703.0223790608699,16170.349975773035,195.3841189669734,744.0574095825788,32.47490362401222,4.871235543601832
High permeability,1.1,5406501.333560464,385521.28288533667,595659.2384301233,18819.47868454068,887.2389667308262,18819.47868454068,273.4703581402667,1036.0025218710034,50.16770311803915,7.525155467705872
High permeability,1.2000000000000002,5379284.296591299,358606.96767099696,619836.3114112344,21556.720917766237,1093.0462588894936,21556.720917766237,370.38482080667814,1395.764963686814,74.3672460042639,11.155086900639587
High permeability,1.3,5354730.481486731,334397.4930864341,641236.3535113315,24366.153402228825,1319.7597923475919,24366.153402228825,488.0118073539564,1829.2517944475937,106.48993243350446,15.97348986502567
High permeability,1.4000000000000001,5332551.315747538,312605.26166133455,660161.0523354186,27233.686003235718,1566.5896681449392,27233.686003235718,628.1162456489014,2341.7637162952374,148.06429160482347,22.209643740723518
High permeability,1.5,5312492.178792661,292976.42886909656,676876.725694602,30146.845436282794,1832.6754349005962,30146.845436282794,792.3346415323547,2937.973115123908,200.7186053383264,30.107790800748962
High permeability,1.6,5294327.848385313,275286.3723661034,691619.0398964877,33094.5877373832,2117.1138992573337,33094.5877373832,982.170081531465,3621.9186167993735,266.1682628834856,39.92523943252284
