time_min,salt_m,dar_0_signal,dar_1_signal,dar_2_signal,dar_3_signal,dar_4_signal,dar_5_signal,dar_6_signal,dar_7_signal,dar_8_signal,total_signal
0.0,1.5,6.791728339183136e-06,3.0115290379597533e-05,7.615275253709449e-05,0.00011171453326795091,9.22432846857381e-05,4.182548138630503e-05,9.96601832651453e-06,1.1318579268412413e-06,4.681683248586978e-08,0.0003699877636817109
0.005,1.4997857142857143,6.829769383543618e-06,3.019248168048714e-05,7.627220268933704e-05,0.00011183827224655337,9.232137920144406e-05,4.1853936079522246e-05,9.971657551642962e-06,1.13240416991837e-06,4.6836475090949063e-08,0.0003704589394775397
0.01,1.4995714285714286,6.8681474033523145e-06,3.0269972565486524e-05,7.639193493955342e-05,0.00011196221722555815,9.239957301728603e-05,4.1882419835932895e-05,9.977301566329288e-06,1.132950808631072e-06,4.68561300631502e-08,0.0003709313734921928
0.015,1.4993571428571428,6.906866650017445e-06,3.0347764599874696e-05,7.651195017938004e-05,0.00011208636866315556,9.247786630183076e-05,4.1910932695151794e-05,9.982950376000972e-06,1.1334978433616144e-06,4.687579741285937e-08,0.0003714050731061857
0.02,1.499142857142857,6.945931447731069e-06,3.0425859359255276e-05,7.663224930398935e-05,0.00011221072701881224,9.255625922400301e-05,4.1939474696861286e-05,9.988603986093178e-06,1.1340452744927284e-06,4.6895477150473796e-08,0.0003718800457883886
0.025,1.4989285714285714,6.985346195105326e-06,3.050425842963894e-05,7.675283321210688e-05,0.00011233529275327563,9.263475195308654e-05,4.1968045880811454e-05,9.994262402048775e-06,1.1345931024076048e-06,4.691516928640148e-08,0.00037235629909776756
0.03,1.4987142857142857,7.02511536685453e-06,3.058296340752686e-05,7.687370280602832e-05,0.00011246006632857809,9.271334465872531e-05,4.199664628682009e-05,9.999925629318357e-06,1.1351413274899006e-06,4.6934873831061465e-08,0.0003728338406851725
0.035,1.4985,7.065243515524841e-06,3.0661975899994716e-05,7.699485899163646e-05,0.0001125850482080415,9.279203751092396e-05,4.202527595477311e-05,1.0005593673360236e-05,1.1356899501237343e-06,4.695459079488368e-08,0.00037331267829517344
0.04,1.4982857142857142,7.105735273272956e-06,3.074129752477772e-05,7.711630267841846e-05,0.00011271023885628134,9.287083068004908e-05,4.2053934924624466e-05,1.0011266539640488e-05,1.1362389706936905e-06,4.697432018830905e-08,0.0003737928197679465
0.045,1.4980714285714285,7.14659535369563e-06,3.082092991035626e-05,7.723803477948312e-05,0.0001128356387392112,9.29497243368299e-05,4.208262323639638e-05,1.0016944233632942e-05,1.136788389584819e-06,4.69940620217895e-08,0.000374274273041212
0.05,1.4978571428571428,7.1878285537113295e-06,3.0900874696042436e-05,7.736005621157815e-05,0.00011296124832404686,9.302871865235948e-05,4.211134093017942e-05,1.0022626760819183e-05,1.1373382071826352e-06,4.701381630578782e-08,0.0003747570461522253
0.055,1.497642857142857,7.229439755496125e-06,3.0981133532067436e-05,7.748236789510785e-05,0.00011308706807931117,9.310781379809521e-05,4.214008804613276e-05,1.0028314126688599e-05,1.1378884238731207e-06,4.7033583050778e-08,0.00037524114723982304
0.06,1.4974285714285716,7.271433928475246e-06,3.1061708079669774e-05,7.760497075415039e-05,0.00011321309847483796,9.318700994586035e-05,4.21688646244842e-05,1.0034006336738374e-05,1.138439040042725e-06,4.705336226724489e-08,0.0003757265845465263
0.065,1.4972142857142856,7.3138161313723755e-06,3.1142600011184205e-05,7.772786571647582e-05,0.00011333933998177665,9.326630726784437e-05,4.219767070553035e-05,1.0039703396473512e-05,1.1389900560783666e-06,4.7073153965684475e-08,0.00037621336642070137
0.07,1.4969999999999999,7.356591514318516e-06,3.122381101013168e-05,7.78510537135635e-05,0.0001134657930725967,9.334570593660427e-05,4.222650632963682e-05,1.0045405311406807e-05,1.13954147236743e-06,4.70929581566037e-08,0.00037670150131878234
0.075,1.4967857142857144,7.3997653210225605e-06,3.130534277131003e-05,7.797453568062018e-05,0.00011359245822109196,9.342520612506548e-05,4.225537153723828e-05,1.0051112087058938e-05,1.1400932892977717e-06,4.71127748505206e-08,0.0003771909978075557
0.08,1.4965714285714284,7.443342891004883e-06,3.138719700088563e-05,7.809831255659794e-05,0.00011371933590238528,9.350480800652243e-05,4.228426636883866e-05,1.0056823728958406e-05,1.1406455072577165e-06,4.713260405796433e-08,0.000377681864566509
0.085,1.4963571428571427,7.487329661897258e-06,3.1469375416485794e-05,7.82223852842122e-05,0.00011384642659293294,9.35845117546402e-05,4.231319086501121e-05,1.0062540242641587e-05,1.141198126636062e-06,4.7152445789475084e-08,0.00037817411039024675
0.09,1.4961428571428572,7.531731171810097e-06,3.155187974729221e-05,7.83467548099599e-05,0.00011397373077052894,9.366431754345467e-05,4.234214506639879e-05,1.0068261633652727e-05,1.1417511478220744e-06,4.7172300055604136e-08,0.000378667744190975
0.095,1.4959285714285715,7.576553061770001e-06,3.16347117341352e-05,7.847142208413781e-05,0.00011410124891430992,9.374422554737422e-05,4.237112901371389e-05,1.0073987907543983e-05,1.1423045712054942e-06,4.719216686691397e-08,0.0003791627750010574
0.1,1.4957142857142856,7.62180107822958e-06,3.171787312958877e-05,7.859638806086092e-05,0.00011422898150475927,9.382423594118014e-05,4.240014274773877e-05,1.0079719069875397e-05,1.1428583971765334e-06,4.721204623397812e-08,0.00037965921197564333
0.105,1.4955,7.667481075652084e-06,3.18013656980669e-05,7.872165369808089e-05,0.00011435692902371214,9.390434890002783e-05,4.2429186309325765e-05,1.0085455126214942e-05,1.1434126261258786e-06,4.723193816738128e-08,0.00038015706439537385
0.11,1.4952857142857143,7.713599019173247e-06,3.188519121592042e-05,7.884721995760463e-05,0.00011448509195435941,9.39845645994476e-05,4.245825973939716e-05,1.0091196082138523e-05,1.1439672584446898e-06,4.725184267771932e-08,0.0003806563416691634
0.115,1.4950714285714284,7.760160987342911e-06,3.196935147153495e-05,7.897308780511293e-05,0.00011461347078125297,9.406488321534606e-05,4.248736307894557e-05,1.0096941943229985e-05,1.1445222945246018e-06,4.727175977559926e-08,0.0003811570533370656
0.12,1.4948571428571429,7.807173174949105e-06,3.205384826542987e-05,7.909925821017944e-05,0.00011474206599030975,9.414530492400643e-05,4.2516496369034e-05,1.010269271508114e-05,1.1450777347577258e-06,4.7291689471639315e-08,0.0003816592090732191
0.125,1.4946428571428572,7.854641895927236e-06,3.2138683410358154e-05,7.922573214628944e-05,0.00011487087806881666,9.422582990209007e-05,4.254565965079596e-05,1.0108448403291764e-05,1.1456335795366481e-06,4.731163177646893e-08,0.00038216281868888233
0.13,1.4944285714285714,7.90257358635721e-06,3.222385873140717e-05,7.935251059085884e-05,0.00011499990750543529,9.43064583266372e-05,4.257485296543564e-05,1.0114209013469637e-05,1.146189829254433e-06,4.733158670072873e-08,0.0003826678921355562
