ligand,site,total_l_M,free_l_M,free_u_M,target_U1_occupancy,inclusion_proxy_percent,offtarget_inclusion_proxy_percent,target_ligand_occupancy,ligand_mass_error_M,u1_mass_error_M
Risdiplam-like model,WT scenario,0.0,0.0,9.917965623891151e-08,0.047246864242487537,4.724686424248754,2.4195001087098253,0.0,0.0,9.43647642800494e-21
Risdiplam-like model,WT scenario,1e-10,9.987344287159627e-11,9.917955609663765e-08,0.04729667027744154,4.729667027744154,2.4195018760563505,5.61236214479646e-05,0.0,9.449711317805788e-21
Risdiplam-like model,WT scenario,1.165914401179831e-10,1.1644388657749066e-10,9.917953948268264e-08,0.04730493326698699,4.730493326698699,2.419502169309433,6.543472014294042e-05,0.0,9.449711317805788e-21
Risdiplam-like model,WT scenario,1.3593563908785242e-10,1.3576360597301166e-10,9.917952011262503e-08,0.04731456700825271,4.731456700825271,2.4195025112263515,7.629044201178422e-05,0.0,9.449711317805788e-21
Risdiplam-like model,WT scenario,1.584893192461111e-10,1.5828874564773158e-10,9.917949752932851e-08,0.04732579885781842,4.732579885781842,2.4195029098843452,8.894698244808794e-05,-2.5849394142282115e-26,9.449711317805788e-21
Risdiplam-like model,WT scenario,1.8478497974222944e-10,1.8455113120508502e-10,9.917947119986181e-08,0.047338893868531864,4.733889386853186,2.4195033747019337,0.00010370301466738157,0.0,9.462946207606637e-21
Risdiplam-like model,WT scenario,2.1544346900318867e-10,2.1517082585309248e-10,9.917944050294147e-08,0.047354161034715576,4.735416103471557,2.419503916661874,0.00012090672708545712,0.0,9.462946207606637e-21
Risdiplam-like model,WT scenario,2.511886431509582e-10,2.508707703217325e-10,9.917940471429758e-08,0.04737196057025787,4.737196057025788,2.4195045485712474,0.00014096402459831616,0.0,9.476181097407485e-21
Risdiplam-like model,WT scenario,2.928644564625237e-10,2.924938517635009e-10,9.917936298962044e-08,0.04739271238977949,4.739271238977949,2.4195052853649104,0.0001643480855430646,0.0,9.476181097407485e-21
Risdiplam-like model,WT scenario,3.414548873833601e-10,3.4102280464407335e-10,9.917931434468986e-08,0.0474169059908801,4.7416905990880105,2.419506144459556,0.00019161049746125846,0.0,9.489415987208333e-21
Risdiplam-like model,WT scenario,3.9810717055349694e-10,3.9760341349592277e-10,9.917925763222392e-08,0.04744511196774675,4.744511196774675,2.4195071461669078,0.00022339423115756073,0.0,9.489415987208333e-21
Risdiplam-like model,WT scenario,4.6415888336127727e-10,4.635715653681788e-10,9.917919151490905e-08,0.047477995423831555,4.747799542383156,2.4195083141759564,0.000260448754720345,0.0,9.502650877009182e-21
Risdiplam-like model,WT scenario,5.411695265464626e-10,5.404847907018437e-10,9.917911443398541e-08,0.047516331594662245,4.751633159466224,2.419509676115917,0.0003036476380267557,0.0,9.51588576681003e-21
Risdiplam-like model,WT scenario,6.309573444801942e-10,6.301590373370874e-10,9.917902457266144e-08,0.0475610240420181,4.75610240420181,2.419511264213499,0.0003540090547886878,0.0,9.529120656610879e-21
Risdiplam-like model,WT scenario,7.356422544596422e-10,7.347115459213077e-10,9.917891981351403e-08,0.04761312583868203,4.761312583868203,2.4195131160605277,0.0004127196545293172,0.0,9.555590436212576e-21
Risdiplam-like model,WT scenario,8.576958985908946e-10,8.566108390509659e-10,9.917879768889662e-08,0.04767386422987656,4.767386422987656,2.419515275510626,0.00048116235226498426,0.0,9.555590436212576e-21
Risdiplam-like model,WT scenario,1e-09,9.98735004448871e-10,9.91786553232224e-08,0.0477446693345415,4.77446693345415,2.419517793727032,0.000560948670491398,0.0,9.595295105615121e-21
Risdiplam-like model,WT scenario,1.1659144011798312e-09,1.1644396483187447e-09,9.917848936581107e-08,0.04782720753815555,4.782720753815555,2.419520730407447,0.0006539563678541119,0.0,9.621764885216818e-21
Risdiplam-like model,WT scenario,1.3593563908785241e-09,1.3576371233555633e-09,9.917829591278412e-08,0.04792342033030021,4.792342033030021,2.419524155216421,0.0007623732032559769,0.0,9.648234664818515e-21
Risdiplam-like model,WT scenario,1.584893192461111e-09,1.5828889021165548e-09,9.917807041625903e-08,0.0480355694561361,4.80355694561361,2.4195281494612795,0.0008887478148437324,0.0,9.701174224021909e-21
Risdiplam-like model,WT scenario,1.847849797422287e-09,1.8455132768621039e-09,9.917780757882755e-08,0.048166289382981356,4.816628938298136,2.4195328080540692,0.0010360488420883616,0.0,9.740878893424454e-21
Risdiplam-like model,WT scenario,2.1544346900318866e-09,2.1517109288905105e-09,9.917750123100127e-08,0.04831864823278018,4.831864823278019,2.4195382418098483,0.0012077335877592771,0.0,9.793818452627848e-21
Risdiplam-like model,WT scenario,2.511886431509582e-09,2.5087113323652055e-09,9.917714418896791e-08,0.048496218499824724,4.849621849982473,2.419544580140958,0.0014078277065647637,0.0,9.846758011831241e-21
Risdiplam-like model,WT scenario,2.9286445646252374e-09,2.924943449637412e-09,9.917672808962096e-08,0.048703159061745036,4.870315906174503,2.419551974218223,0.0016410176198316537,-4.1359030627651384e-25,9.926167350636332e-21
Risdiplam-like model,WT scenario,3.414548873833601e-09,3.4102347487257642e-09,9.917624319940276e-08,0.048944310201085715,4.894431020108572,2.4195606006836083,0.0019127575914771285,0.0,1.0018811579242271e-20
Risdiplam-like model,WT scenario,3.981071705534969e-09,3.976043242484096e-09,9.917567819303653e-08,0.049225303584475744,4.922530358447574,2.4195706660154106,0.0022293936593834308,0.0,1.011145580784821e-20
Risdiplam-like model,WT scenario,4.641588833612773e-09,4.6357280288764635e-09,9.917501989772026e-08,0.04955268939489895,4.955268939489895,2.419582411667191,0.0025983068963569577,0.0,1.0217334926254998e-20
Risdiplam-like model,WT scenario,5.411695265464648e-09,5.404864721119621e-09,9.917425299781969e-08,0.04993408307639702,4.993408307639702,2.4195961201262985,0.0030280787722072058,8.271806125530277e-25,1.0376153603865179e-20
Risdiplam-like model,WT scenario,6.309573444801943e-09,6.301613216745265e-09,9.917335969454325e-08,0.05037833442342132,5.037833442342132,2.419612122068172,0.00352868169606642,0.0,1.0548207171276209e-20
Risdiplam-like model,WT scenario,7.356422544596422e-09,7.34714649094932e-09,9.917231931452709e-08,0.05089572201881671,5.089572201881671,2.419630804820006,0.004111698124425624,0.0,1.0733495628488087e-20
Risdiplam-like model,WT scenario,8.576958985908947e-09,8.56615054117135e-09,9.917110786073393e-08,0.05149817627945184,5.149817627945184,2.419652622393838,0.0047905719078999865,0.0,1.0984958534704208e-20
Risdiplam-like model,WT scenario,1e-08,9.987407290787813e-09,9.916969749862166e-08,0.05219953458376384,5.219953458376384,2.4196781074069236,0.0055808957924981745,0.0,1.1276126110322873e-20
Risdiplam-like model,WT scenario,1.165914401179831e-08,1.1644474219879503e-08,9.916805597023194e-08,0.05301583209789064,5.301583209789064,2.4197078852796587,0.006500739151912713,0.0,1.1620233245144933e-20
Risdiplam-like model,WT scenario,1.3593563908785241e-08,1.3576476776637964e-08,9.91661459287739e-08,0.05396563194026015,5.396563194026014,2.4197426911920266,0.007571020053845629,0.0,1.2030514828971235e-20
Risdiplam-like model,WT scenario,1.5848931924611143e-08,1.582903228821622e-08,9.916392418656491e-08,0.055070398164735565,5.507039816473556,2.4197833903938837,0.008815925583816287,0.0,1.2546675531204324e-20
Risdiplam-like model,WT scenario,1.8478497974222906e-08,1.845532719781854e-08,9.916134087000351e-08,0.056354914613568334,5.635491461356834,2.4198310026084675,0.010263383867264445,0.0,1.3195185131445897e-20
Risdiplam-like model,WT scenario,2.1544346900318866e-08,2.151737307917917e-08,9.915833847682033e-08,0.057847751879227506,5.784775187922751,2.4198867314506587,0.011945590316341253,0.0,1.3976043629695956e-20
Risdiplam-like model,WT scenario,2.511886431509582e-08,2.508747110616259e-08,9.91548508334719e-08,0.059581783269794616,5.9581783269794615,2.419952000011621,0.013899589113874235,0.0,1.4981895254560437e-20
Risdiplam-like model,WT scenario,2.9286445646252374e-08,2.9249919584181926e-08,9.915080195458853e-08,0.06159474860602263,6.159474860602264,2.4200284940521612,0.016167908619519236,0.0,1.622597489584019e-20
Risdiplam-like model,WT scenario,3.4145488738336004e-08,3.41030048982693e-08,9.914610481232886e-08,0.06392986165244591,6.392986165244591,2.4201182146135958,0.018799245975155296,-6.617444900424222e-24,1.7827396561742852e-20
Risdiplam-like model,WT scenario,3.981071705534969e-08,3.9761322936152306e-08,9.914066003189889e-08,0.06663645271322295,6.663645271322295,2.420223542315275,0.021849191374900368,0.0,1.9918509150276906e-20
Risdiplam-like model,WT scenario,4.641588833612773e-08,4.6358485862388314e-08,9.913435454102527e-08,0.06977063207120032,6.9770632071200325,2.420347316183338,0.02538097587280418,6.617444900424222e-24,2.2671366228853383e-20
Risdiplam-like model,WT scenario,5.411695265464637e-08,5.4050278236591046e-08,9.91270602165138e-08,0.07339595214609358,7.339595214609358,2.4204929305679306,0.029466217811453824,0.0,-2.362427829451447e-20
Risdiplam-like model,WT scenario,6.30957344480193e-08,6.301833710073987e-08,9.911863259136758e-08,0.07758403611816968,7.758403611816968,2.420664454591564,0.03418563154276174,0.0,-1.860825505999291e-20
Risdiplam-like model,WT scenario,7.356422544596421e-08,7.347444305873308e-08,9.910890971015384e-08,0.08241512797571976,8.241512797571977,2.420866779610413,0.0396296477050118,1.3234889800848443e-23,-1.1593763465543236e-20
Risdiplam-like model,WT scenario,8.576958985908945e-08,8.566552382820991e-08,9.909771125294261e-08,0.0879785033057475,8.79785033057475,2.42110580148084,0.04589887669863231,2.6469779601696886e-23,-1.641126335305207e-21
Risdiplam-like model,WT scenario,1e-07,9.987948860057752e-08,9.908483808277897e-08,0.09437266173104505,9.437266173104506,2.421388645863157,0.05310432625231217,2.6469779601696886e-23,1.3234889800848443e-23
Risdiplam-like model,WT scenario,1.1659144011798311e-07,1.164520311958858e-07,9.907007241354235e-08,0.10170520125364868,10.170520125364868,2.421723946501146,0.06136726070686895,3.970466940254533e-23,0.0
Risdiplam-like model,WT scenario,1.3593563908785243e-07,1.3577456290473101e-07,9.905317883719641e-08,0.11009225316622454,11.009225316622453,2.4221221882371293,0.07081856530042852,7.940933880509066e-23,0.0
Risdiplam-like model,WT scenario,1.584893192461114e-07,1.5830346260417682e-07,9.903390648955995e-08,0.11965733595686187,11.965733595686187,2.4225961284210484,0.08159745592338231,1.3234889800848443e-22,0.0
Risdiplam-like model,WT scenario,1.8478497974222906e-07,1.8457086283969414e-07,9.901199266346347e-08,0.13052947144300303,13.052947144300303,2.423161312168353,0.09384935767468355,2.3822801641527197e-22,-1.3234889800848443e-23
Risdiplam-like model,WT scenario,2.1544346900318867e-07,2.151972268020059e-07,9.898716818740407e-08,0.14284040153837035,14.284040153837035,2.4238366983972788,0.10772277007501209,3.441071348220595e-22,0.0
Risdiplam-like model,WT scenario,2.5118864315095823e-07,2.5090601333607933e-07,9.895916486254651e-08,0.1567207565635494,15.67207565635494,2.4246454144212852,0.12336495084180736,6.352747104407253e-22,0.0
Risdiplam-like model,WT scenario,2.928644564625237e-07,2.9254077627804217e-07,9.892772517473741e-08,0.1722950641231404,17.22950641231404,2.425615656720994,0.14091629302152042,9.529120656610879e-22,0.0
Risdiplam-like model,WT scenario,3.414548873833601e-07,3.4108510166808465e-07,9.889261435425814e-08,0.18967555977203715,18.967555977203716,2.426781753992598,0.16050335156679152,1.5352472168984194e-21,0.0
Risdiplam-like model,WT scenario,3.981071705534969e-07,3.976858530741037e-07,9.88536346310261e-08,0.2089548736823302,20.89548736823302,2.4281854053641156,0.18223060270095962,2.329340604949326e-21,0.0
Risdiplam-like model,WT scenario,4.6415888336127725e-07,4.6368027295821345e-07,9.881064122304691e-08,0.23019782322212315,23.019782322212315,2.4298771016961154,0.20617119480956983,3.546950466627383e-21,0.0
Risdiplam-like model,WT scenario,5.411695265464637e-07,5.406275785840759e-07,9.876355921420715e-08,0.2534327331822739,25.34327331822739,2.431917731427655,0.23235716573880286,5.1880768019325896e-21,0.0
Risdiplam-like model,WT scenario,6.30957344480193e-07,6.303457965881883e-07,9.871240006113321e-08,0.27864291463578117,27.864291463578116,2.4343803653174003,0.26076983721728764,7.411538288475128e-21,0.0
Risdiplam-like model,WT scenario,7.356422544596422e-07,7.349547036020797e-07,9.865727608298009e-08,0.30575912729317195,30.575912729317196,2.437352208111901,0.29133131572173593,1.0376153603865179e-20,1.3234889800848443e-23
Risdiplam-like model,WT scenario,8.576958985908945e-07,8.569258842378963e-07,9.859841102260595e-08,0.3346539834523245,33.46539834523245,2.4409367016313204,0.32389817947574284,1.376428539288238e-20,0.0
Risdiplam-like model,WT scenario,1e-06,9.991410858577788e-07,9.853614472360253e-08,0.3651392734211754,36.51392734211754,2.4452557651837226,0.3582584561384066,1.7999450129153882e-20,0.0
Risdiplam-like model,WT scenario,1.1659144011798312e-06,1.1649602459072436e-06,9.847093023192849e-08,0.3969670589272625,39.69670589272625,2.4504521673899164,0.39413284583054065,2.244637310223896e-20,0.0
Risdiplam-like model,WT scenario,1.3593563908785242e-06,1.3583007968809824e-06,9.840332224384729e-08,0.4298350722205289,42.98350722205289,2.4566920390389146,0.4311807965095309,2.710505431213761e-20,2.6469779601696886e-23
Risdiplam-like model,WT scenario,1.584893192461114e-06,1.5837301215644008e-06,9.833395674800622e-08,0.4633964922621197,46.33964922621197,2.4641675582319076,0.4690115134509814,3.155197728522269e-20,3.970466940254533e-23
Risdiplam-like model,WT scenario,1.8478497974222906e-06,1.8465733432095197e-06,9.826352282431371e-08,0.49727360834561324,49.727360834561324,2.4730998633171177,0.5071993523682446,3.5575383784680614e-20,7.940933880509066e-23
Risdiplam-like model,WT scenario,2.1544346900318822e-06,2.1530389988734788e-06,9.81927286669576e-08,0.5310743259401202,53.10743259401202,2.4837422705411294,0.5453024193833313,3.8116482626443515e-20,1.852884572118782e-22
Risdiplam-like model,WT scenario,2.5118864315095823e-06,2.510365567569837e-06,9.81222647650344e-08,0.5644100346487372,56.44100346487372,2.4963838855615963,0.582882710457639,3.9810548520952116e-20,3.5734202462290796e-22
Risdiplam-like model,WT scenario,2.9286445646252375e-06,2.926992317914322e-06,9.805276760729153e-08,0.5969131420971631,59.6913142097163,2.511353695049452,0.6195258787079504,4.0234064994579266e-20,7.014491594449675e-22
Risdiplam-like model,WT scenario,3.414548873833601e-06,3.4127585141068374e-06,9.798478717686034e-08,0.6282526312103053,62.82526312103053,2.5290252024010815,0.654858777792194,3.8963515573697816e-20,1.283784310682299e-21
Risdiplam-like model,WT scenario,3.981071705534969e-06,3.979135687973992e-06,9.791876089372488e-08,0.658146308878066,65.8146308878066,2.549821628404116,0.6885632789673801,3.7269449679189215e-20,2.2499312661442353e-21
Risdiplam-like model,WT scenario,4.641588833612782e-06,4.639498464380904e-06,9.785499569151187e-08,0.6863689091267885,68.63689091267885,2.574221634127589,0.7203854171117617,3.4728350837426314e-20,3.732238923839261e-21
Risdiplam-like model,WT scenario,5.411695265464638e-06,5.409440336292401e-06,9.779365879793327e-08,0.712755784868381,71.2755784868381,2.6027654411194754,0.7501395644715635,3.218725199566341e-20,5.8762910715767086e-21
Risdiplam-like model,WT scenario,6.30957344480193e-06,6.307141845876638e-06,9.773477674982639e-08,0.7372024563703844,73.72024563703845,2.636061124805711,0.7777079330592412,2.710505431213761e-20,8.880611056369305e-21
Risdiplam-like model,WT scenario,7.356422544596406e-06,7.353799864559895e-06,9.767824138891832e-08,0.7596606943730531,75.96606943730531,2.6747907411614777,0.8030361688874352,2.371692252312041e-20,1.2877547776225535e-20
Risdiplam-like model,WT scenario,8.576958985908945e-06,8.574128107183759e-06,9.762382114403586e-08,0.7801320560228623,78.01320560228623,2.7197158131211845,0.8261260724472066,2.202285662861181e-20,1.7946510569950488e-20
