polymer,drug_mass_fraction,drug_volume_fraction,chi_25C,mixing_free_energy_over_RT_per_site,dry_Tg_C
HPMC-AS,0.001,0.000923147934456,0.5143292057,-0.00598556384925,121.911733671
HPMC-AS,0.00432666666667,0.00399517583031,0.5143292057,-0.0200572741293,121.618286999
HPMC-AS,0.00765333333333,0.00706877690045,0.5143292057,-0.0314655212942,121.325126001
HPMC-AS,0.01098,0.0101439523536,0.5143292057,-0.0415061600916,121.032250261
HPMC-AS,0.0143066666667,0.0132207033997,0.5143292057,-0.0506138160647,120.739659363
HPMC-AS,0.0176333333333,0.0162990312501,0.5143292057,-0.0590126233966,120.447352891
HPMC-AS,0.02096,0.0193789371171,0.5143292057,-0.0668400652437,120.155330431
HPMC-AS,0.0242866666667,0.0224604222144,0.5143292057,-0.0741892502584,119.863591568
HPMC-AS,0.0276133333333,0.0255434877571,0.5143292057,-0.0811274610667,119.572135891
HPMC-AS,0.03094,0.0286281349612,0.5143292057,-0.0877056082666,119.280962986
HPMC-AS,0.0342666666667,0.0317143650443,0.5143292057,-0.0939635645731,118.990072443
HPMC-AS,0.0375933333333,0.0348021792249,0.5143292057,-0.0999334058817,118.699463851
HPMC-AS,0.04092,0.0378915787232,0.5143292057,-0.105641495325,118.4091368
HPMC-AS,0.0442466666667,0.0409825647602,0.5143292057,-0.111109884787,118.119090882
HPMC-AS,0.0475733333333,0.0440751385583,0.5143292057,-0.116357292372,117.829325688
HPMC-AS,0.0509,0.0471693013414,0.5143292057,-0.121399805018,117.539840811
HPMC-AS,0.0542266666667,0.0502650543343,0.5143292057,-0.126251396578,117.250635844
HPMC-AS,0.0575533333333,0.0533623987633,0.5143292057,-0.130924318243,116.961710381
HPMC-AS,0.06088,0.0564613358559,0.5143292057,-0.13542939835,116.673064018
HPMC-AS,0.0642066666667,0.0595618668408,0.5143292057,-0.139776276446,116.384696351
HPMC-AS,0.0675333333333,0.062663992948,0.5143292057,-0.14397358868,116.096606975
HPMC-AS,0.07086,0.0657677154088,0.5143292057,-0.148029116564,115.808795489
HPMC-AS,0.0741866666667,0.0688730354557,0.5143292057,-0.151949907716,115.521261489
HPMC-AS,0.0775133333333,0.0719799543225,0.5143292057,-0.155742374893,115.234004576
HPMC-AS,0.08084,0.0750884732444,0.5143292057,-0.159412377978,114.947024349
HPMC-AS,0.0841666666667,0.0781985934576,0.5143292057,-0.162965292438,114.660320409
HPMC-AS,0.0874933333333,0.0813103161999,0.5143292057,-0.166406066937,114.373892355
HPMC-AS,0.09082,0.0844236427101,0.5143292057,-0.169739272166,114.087739792
HPMC-AS,0.0941466666667,0.0875385742283,0.5143292057,-0.172969142499,113.80186232
HPMC-AS,0.0974733333333,0.0906551119962,0.5143292057,-0.176099611755,113.516259544
HPMC-AS,0.1008,0.0937732572563,0.5143292057,-0.179134344065,113.230931069
HPMC-AS,0.104126666667,0.0968930112527,0.5143292057,-0.182076760652,112.945876498
HPMC-AS,0.107453333333,0.100014375231,0.5143292057,-0.184930063186,112.661095438
HPMC-AS,0.11078,0.103137350437,0.5143292057,-0.187697254243,112.376587495
HPMC-AS,0.114106666667,0.106261938119,0.5143292057,-0.190381155295,112.092352278
HPMC-AS,0.117433333333,0.109388139527,0.5143292057,-0.1929844226,111.808389392
HPMC-AS,0.12076,0.11251595591,0.5143292057,-0.195509561295,111.524698449
HPMC-AS,0.124086666667,0.115645388521,0.5143292057,-0.197958937919,111.241279056
HPMC-AS,0.127413333333,0.118776438613,0.5143292057,-0.200334791606,110.958130824
HPMC-AS,0.13074,0.121909107439,0.5143292057,-0.202639244092,110.675253365
HPMC-AS,0.134066666667,0.125043396256,0.5143292057,-0.204874308713,110.39264629
HPMC-AS,0.137393333333,0.12817930632,0.5143292057,-0.207041898501,110.110309212
HPMC-AS,0.14072,0.13131683889,0.5143292057,-0.2091438335,109.828241743
HPMC-AS,0.144046666667,0.134455995225,0.5143292057,-0.21118184738,109.546443499
HPMC-AS,0.147373333333,0.137596776586,0.5143292057,-0.213157593449,109.264914093
HPMC-AS,0.1507,0.140739184236,0.5143292057,-0.215072650114,108.983653141
HPMC-AS,0.154026666667,0.143883219437,0.5143292057,-0.21692852586,108.70266026
HPMC-AS,0.157353333333,0.147028883454,0.5143292057,-0.218726663801,108.421935066
HPMC-AS,0.16068,0.150176177555,0.5143292057,-0.220468445843,108.141477176
HPMC-AS,0.164006666667,0.153325103005,0.5143292057,-0.222155196498,107.86128621
HPMC-AS,0.167333333333,0.156475661073,0.5143292057,-0.223788186398,107.581361787
HPMC-AS,0.17066,0.159627853031,0.5143292057,-0.225368635515,107.301703525
HPMC-AS,0.173986666667,0.162781680148,0.5143292057,-0.226897716143,107.022311047
HPMC-AS,0.177313333333,0.165937143698,0.5143292057,-0.22837655564,106.743183973
HPMC-AS,0.18064,0.169094244955,0.5143292057,-0.229806238974,106.464321924
HPMC-AS,0.183966666667,0.172252985193,0.5143292057,-0.231187811072,106.185724525
HPMC-AS,0.187293333333,0.17541336569,0.5143292057,-0.232522279002,105.907391398
HPMC-AS,0.19062,0.178575387724,0.5143292057,-0.233810614005,105.629322167
HPMC-AS,0.193946666667,0.181739052573,0.5143292057,-0.235053753374,105.351516458
HPMC-AS,0.197273333333,0.184904361519,0.5143292057,-0.236252602215,105.073973896
HPMC-AS,0.2006,0.188071315843,0.5143292057,-0.237408035081,104.796694106
HPMC-AS,0.203926666667,0.191239916829,0.5143292057,-0.238520897497,104.519676717
HPMC-AS,0.207253333333,0.194410165761,0.5143292057,-0.239592007395,104.242921356
HPMC-AS,0.21058,0.197582063925,0.5143292057,-0.240622156445,103.966427651
HPMC-AS,0.213906666667,0.200755612608,0.5143292057,-0.241612111307,103.690195231
HPMC-AS,0.217233333333,0.2039308131,0.5143292057,-0.242562614804,103.414223727
HPMC-AS,0.22056,0.20710766669,0.5143292057,-0.243474387027,103.138512768
HPMC-AS,0.223886666667,0.210286174669,0.5143292057,-0.244348126364,102.863061986
HPMC-AS,0.227213333333,0.21346633833,0.5143292057,-0.245184510479,102.587871013
HPMC-AS,0.23054,0.216648158967,0.5143292057,-0.24598419722,102.312939481
HPMC-AS,0.233866666667,0.219831637875,0.5143292057,-0.24674782549,102.038267024
HPMC-AS,0.237193333333,0.223016776352,0.5143292057,-0.247476016057,101.763853275
HPMC-AS,0.24052,0.226203575694,0.5143292057,-0.248169372319,101.48969787
HPMC-AS,0.243846666667,0.229392037202,0.5143292057,-0.248828481034,101.215800443
HPMC-AS,0.247173333333,0.232582162177,0.5143292057,-0.249453913004,100.942160631
HPMC-AS,0.2505,0.23577395192,0.5143292057,-0.250046223721,100.668778071
HPMC-AS,0.253826666667,0.238967407734,0.5143292057,-0.250605953984,100.395652399
HPMC-AS,0.257153333333,0.242162530926,0.5143292057,-0.251133630479,100.122783254
HPMC-AS,0.26048,0.2453593228,0.5143292057,-0.25162976633,99.8501702747
HPMC-AS,0.263806666667,0.248557784665,0.5143292057,-0.252094861625,99.5778131005
HPMC-AS,0.267133333333,0.251757917829,0.5143292057,-0.252529403909,99.3057113715
HPMC-AS,0.27046,0.254959723604,0.5143292057,-0.252933868658,99.0338647285
HPMC-AS,0.273786666667,0.258163203299,0.5143292057,-0.253308719727,98.7622728129
HPMC-AS,0.277113333333,0.261368358229,0.5143292057,-0.253654409777,98.490935267
HPMC-AS,0.28044,0.264575189708,0.5143292057,-0.25397138068,98.2198517334
HPMC-AS,0.283766666667,0.267783699051,0.5143292057,-0.254260063909,97.9490218558
HPMC-AS,0.287093333333,0.270993887577,0.5143292057,-0.2545208809,97.6784452781
HPMC-AS,0.29042,0.274205756602,0.5143292057,-0.254754243413,97.4081216453
HPMC-AS,0.293746666667,0.277419307449,0.5143292057,-0.254960553858,97.1380506028
HPMC-AS,0.297073333333,0.280634541436,0.5143292057,-0.255140205619,96.8682317968
HPMC-AS,0.3004,0.283851459889,0.5143292057,-0.255293583363,96.5986648739
HPMC-AS,0.303726666667,0.287070064129,0.5143292057,-0.255421063324,96.3293494818
HPMC-AS,0.307053333333,0.290290355484,0.5143292057,-0.255523013591,96.0602852685
HPMC-AS,0.31038,0.293512335279,0.5143292057,-0.255599794369,95.7914718828
HPMC-AS,0.313706666667,0.296736004843,0.5143292057,-0.255651758235,95.522908974
HPMC-AS,0.317033333333,0.299961365506,0.5143292057,-0.255679250386,95.2545961923
HPMC-AS,0.32036,0.303188418599,0.5143292057,-0.25568260887,94.9865331885
HPMC-AS,0.323686666667,0.306417165453,0.5143292057,-0.255662164815,94.7187196138
HPMC-AS,0.327013333333,0.309647607404,0.5143292057,-0.255618242636,94.4511551203
HPMC-AS,0.33034,0.312879745786,0.5143292057,-0.255551160252,94.1838393607
HPMC-AS,0.333666666667,0.316113581936,0.5143292057,-0.255461229276,93.9167719883
HPMC-AS,0.336993333333,0.319349117192,0.5143292057,-0.255348755209,93.649952657
