arm,time_day,median,q10,q90
Anti-PD-1,0,100,100,100
Anti-PD-1,0.25,101.037930353,100.643159887,101.458615477
Anti-PD-1,0.5,102.04658913,101.239953708,102.871832915
Anti-PD-1,0.75,103.025754902,101.790624857,104.296754199
Anti-PD-1,1,103.975248149,102.295487288,105.713211877
Anti-PD-1,1.25,104.894927603,102.754918956,107.120286657
Anti-PD-1,1.5,105.791842324,103.169358527,108.516993588
Anti-PD-1,1.75,106.676436062,103.539302067,109.902275707
Anti-PD-1,2,107.492266818,103.865299719,111.275003244
Anti-PD-1,2.25,108.291113258,104.147952384,112.633981054
Anti-PD-1,2.5,109.092922153,104.387908416,113.977965516
Anti-PD-1,2.75,109.87089451,104.585860338,115.305690301
Anti-PD-1,3,110.603356485,104.742541603,116.615898548
Anti-PD-1,3.25,111.346263905,104.858723389,117.90737761
Anti-PD-1,3.5,112.062719816,104.93521146,119.052911749
Anti-PD-1,3.75,112.746374122,104.995128819,120.1553626
Anti-PD-1,4,113.406803707,105.103093319,121.223360942
Anti-PD-1,4.25,114.04418677,105.187364933,122.25726033
Anti-PD-1,4.5,114.65871829,105.246959653,123.257453118
Anti-PD-1,4.75,115.250609277,105.282423744,124.224365257
Anti-PD-1,5,115.820086036,105.294310688,125.158451974
Anti-PD-1,5.25,116.367389445,105.283180091,126.060194132
Anti-PD-1,5.5,116.892774255,105.24959664,126.930095113
Anti-PD-1,5.75,117.320853032,105.194129089,127.768678103
Anti-PD-1,6,117.671549901,105.117349309,128.576483703
Anti-PD-1,6.25,117.992897805,105.019831355,129.354067793
Anti-PD-1,6.5,118.285629165,104.902150599,130.101999605
Anti-PD-1,6.75,118.626129432,104.764882887,130.820859969
Anti-PD-1,7,119.031302978,104.608603748,131.602208885
Anti-PD-1,7.25,119.386537129,104.43388764,132.372849483
Anti-PD-1,7.5,119.596460708,104.241307234,133.295676219
Anti-PD-1,7.75,119.779057762,104.031432744,134.149678509
Anti-PD-1,8,120.118691586,103.804831289,135.018752229
