permeability_scenario,time_h,cleaved_payload_molecules_per_cell_h
High permeability,0,0
High permeability,0.1,4.70220622125
High permeability,0.2,35.4088680887
High permeability,0.3,112.555127034
High permeability,0.4,251.407912454
High permeability,0.5,462.908540039
High permeability,0.6,754.387062624
High permeability,0.7,1130.17812112
High permeability,0.8,1592.15685564
High permeability,0.9,2140.20669114
High permeability,1,2772.62684937
High permeability,1.1,3486.48533222
High permeability,1.2,4277.92206124
High permeability,1.3,5142.4064618
High permeability,1.4,6074.95367001
High permeability,1.5,7070.3034722
High permeability,1.6,8123.06612152
High permeability,1.7,9227.83906954
High permeability,1.8,10379.2985003
High permeability,1.9,11572.269328
High permeability,2,12801.7770352
High permeability,2.1,14063.0844075
High permeability,2.2,15351.7158906
High permeability,2.3,16663.4719287
High permeability,2.4,17994.4353594
High permeability,2.5,19340.9716034
High permeability,2.6,20699.7240859
High permeability,2.7,22067.606137
High permeability,2.8,23441.7903596
High permeability,2.9,24819.6962249
High permeability,3,26198.9766109
High permeability,3.1,27577.5037093
High permeability,3.2,28953.3547404
High permeability,3.3,30324.7977605
High permeability,3.4,31690.2777938
High permeability,3.5,33048.4034118
High permeability,3.6,34397.9339084
High permeability,3.7,35737.7671437
High permeability,3.8,37066.9280502
High permeability,3.9,38384.5579055
High permeability,4,39689.9042693
High permeability,4.1,40982.3116542
High permeability,4.2,42261.212879
High permeability,4.3,43526.1210794
High permeability,4.4,44776.6223259
High permeability,4.5,46012.3688401
High permeability,4.6,47233.0727874
High permeability,4.7,48438.5005422
High permeability,4.8,49628.4674685
High permeability,4.9,50802.8331323
High permeability,5,51961.4969294
High permeability,5.1,53104.394094
High permeability,5.2,54231.4920573
High permeability,5.3,55342.787127
High permeability,5.4,56438.3014694
High permeability,5.5,57518.080355
High permeability,5.6,58582.1896399
High permeability,5.7,59630.713514
High permeability,5.8,60663.7524152
High permeability,5.9,61681.4211408
High permeability,6,62683.8471721
High permeability,6.1,63671.1690762
High permeability,6.2,64643.5351539
High permeability,6.3,65601.1021282
High permeability,6.4,66544.0339928
High permeability,6.5,67472.5009952
High permeability,6.6,68386.6786541
High permeability,6.7,69286.7469228
High permeability,6.8,70172.8894213
High permeability,6.9,71045.2927227
High permeability,7,71904.145734
High permeability,7.1,72749.6391178
High permeability,7.2,73581.9647974
High permeability,7.3,74401.315487
High permeability,7.4,75207.8842797
High permeability,7.5,76001.8642772
High permeability,7.6,76783.4482592
High permeability,7.7,77552.8283898
High permeability,7.8,78310.1959436
High permeability,7.9,79055.7410928
High permeability,8,79789.6526762
High permeability,8.1,80512.118027
High permeability,8.2,81223.3228074
High permeability,8.3,81923.4508668
High permeability,8.4,82612.6841176
High permeability,8.5,83291.202427
High permeability,8.6,83959.1835241
High permeability,8.7,84616.8029206
High permeability,8.8,85264.2338468
High permeability,8.9,85901.6471756
High permeability,9,86529.2114171
High permeability,9.1,87147.0926472
High permeability,9.2,87755.4544871
High permeability,9.3,88354.458069
High permeability,9.4,88944.2620496
High permeability,9.5,89525.0225904
High permeability,9.6,90096.8933439
High permeability,9.7,90660.0254508
High permeability,9.8,91214.5675573
High permeability,9.9,91760.665837
High permeability,10,92298.4639805
High permeability,10.1,92828.1032178
High permeability,10.2,93349.7223133
High permeability,10.3,93863.4576719
High permeability,10.4,94369.4432502
High permeability,10.5,94867.8106385
High permeability,10.6,95358.6891212
High permeability,10.7,95842.2056086
High permeability,10.8,96318.4847647
High permeability,10.9,96787.6489962
High permeability,11,97249.8184399
High permeability,11.1,97705.1110939
High permeability,11.2,98153.6427664
High permeability,11.3,98595.5271184
High permeability,11.4,99030.875762
High permeability,11.5,99459.798202
High permeability,11.6,99882.4019355
High permeability,11.7,100298.792475
High permeability,11.8,100709.073338
High permeability,11.9,101113.34615
High permeability,12,101511.710628
High permeability,12.1,101904.264624
High permeability,12.2,102291.104185
High permeability,12.3,102672.323527
High permeability,12.4,103048.015161
High permeability,12.5,103418.269801
High permeability,12.6,103783.176543
High permeability,12.7,104142.822745
High permeability,12.8,104497.2942
High permeability,12.9,104846.675048
High permeability,13,105191.047893
High permeability,13.1,105530.493785
High permeability,13.2,105865.092264
High permeability,13.3,106194.921405
High permeability,13.4,106520.057802
High permeability,13.5,106840.576676
High permeability,13.6,107156.551776
High permeability,13.7,107468.055588
High permeability,13.8,107775.159155
High permeability,13.9,108077.932288
High permeability,14,108376.443461
High permeability,14.1,108670.759906
High permeability,14.2,108960.947628
High permeability,14.3,109247.07139
High permeability,14.4,109529.19482
High permeability,14.5,109807.380315
High permeability,14.6,110081.689213
High permeability,14.7,110352.18165
High permeability,14.8,110618.916751
High permeability,14.9,110881.952499
High permeability,15,111141.345879
High permeability,15.1,111397.152816
High permeability,15.2,111649.428236
High permeability,15.3,111898.226087
High permeability,15.4,112143.599324
High permeability,15.5,112385.59999
High permeability,15.6,112624.279154
High permeability,15.7,112859.687027
High permeability,15.8,113091.87287
High permeability,15.9,113320.885124
High permeability,16,113546.771332
High permeability,16.1,113769.578223
High permeability,16.2,113989.35169
High permeability,16.3,114206.136823
High permeability,16.4,114419.977928
High permeability,16.5,114630.918522
High permeability,16.6,114839.001385
High permeability,16.7,115044.268525
High permeability,16.8,115246.761257
High permeability,16.9,115446.520136
High permeability,17,115643.585063
High permeability,17.1,115837.99523
High permeability,17.2,116029.789138
High permeability,17.3,116219.004673
High permeability,17.4,116405.679037
High permeability,17.5,116589.848807
High permeability,17.6,116771.549958
High permeability,17.7,116950.817819
High permeability,17.8,117127.687159
High permeability,17.9,117302.192144
High permeability,18,117474.366354
High permeability,18.1,117644.242836
High permeability,18.2,117811.854058
High permeability,18.3,117977.231957
High permeability,18.4,118140.407946
High permeability,18.5,118301.412899
High permeability,18.6,118460.277199
High permeability,18.7,118617.030718
High permeability,18.8,118771.702832
High permeability,18.9,118924.322451
High permeability,19,119074.917998
High permeability,19.1,119223.517435
High permeability,19.2,119370.148278
High permeability,19.3,119514.837582
High permeability,19.4,119657.61198
High permeability,19.5,119798.497664
High permeability,19.6,119937.520408
High permeability,19.7,120074.705577
High permeability,19.8,120210.078123
High permeability,19.9,120343.662604
High permeability,20,120475.483188
High permeability,20.1,120605.563655
High permeability,20.2,120733.927415
High permeability,20.3,120860.597504
High permeability,20.4,120985.596598
High permeability,20.5,121108.947014
High permeability,20.6,121230.670723
High permeability,20.7,121350.789353
High permeability,20.8,121469.324191
High permeability,20.9,121586.2962
High permeability,21,121701.726014
High permeability,21.1,121815.633947
High permeability,21.2,121928.040008
High permeability,21.3,122038.963891
High permeability,21.4,122148.424987
High permeability,21.5,122256.442402
High permeability,21.6,122363.034942
High permeability,21.7,122468.221123
High permeability,21.8,122572.019193
High permeability,21.9,122674.447119
High permeability,22,122775.52259
High permeability,22.1,122875.263036
High permeability,22.2,122973.685634
High permeability,22.3,123070.807284
High permeability,22.4,123166.644648
High permeability,22.5,123261.214146
High permeability,22.6,123354.531935
High permeability,22.7,123446.613943
High permeability,22.8,123537.475878
High permeability,22.9,123627.133191
High permeability,23,123715.601114
High permeability,23.1,123802.894673
High permeability,23.2,123889.028656
High permeability,23.3,123974.017634
High permeability,23.4,124057.87598
High permeability,23.5,124140.617857
High permeability,23.6,124222.257208
High permeability,23.7,124302.807787
High permeability,23.8,124382.283162
High permeability,23.9,124460.696676
High permeability,24,124538.061501
High permeability,24.1,124614.390632
High permeability,24.2,124689.696851
High permeability,24.3,124763.99277
High permeability,24.4,124837.290841
High permeability,24.5,124909.603314
High permeability,24.6,124980.942269
High permeability,24.7,125051.319636
High permeability,24.8,125120.747164
High permeability,24.9,125189.236427
High permeability,25,125256.798857
High permeability,25.1,125323.445726
High permeability,25.2,125389.188127
High permeability,25.3,125454.037019
High permeability,25.4,125518.003219
High permeability,25.5,125581.097362
High permeability,25.6,125643.329957
High permeability,25.7,125704.711383
High permeability,25.8,125765.251847
High permeability,25.9,125824.961423
High permeability,26,125883.850073
High permeability,26.1,125941.927608
High permeability,26.2,125999.203679
High permeability,26.3,126055.687835
High permeability,26.4,126111.389515
High permeability,26.5,126166.317994
High permeability,26.6,126220.482422
High permeability,26.7,126273.891847
High permeability,26.8,126326.555208
High permeability,26.9,126378.481283
High permeability,27,126429.678752
High permeability,27.1,126480.15619
High permeability,27.2,126529.922066
High permeability,27.3,126578.984694
High permeability,27.4,126627.352309
High permeability,27.5,126675.033055
High permeability,27.6,126722.034936
High permeability,27.7,126768.365849
High permeability,27.8,126814.033607
High permeability,27.9,126859.045935
High permeability,28,126903.410414
High permeability,28.1,126947.134547
High permeability,28.2,126990.225749
High permeability,28.3,127032.691344
High permeability,28.4,127074.538524
High permeability,28.5,127115.774414
High permeability,28.6,127156.406067
High permeability,28.7,127196.440411
High permeability,28.8,127235.884285
High permeability,28.9,127274.744459
High permeability,29,127313.027631
High permeability,29.1,127350.740367
High permeability,29.2,127387.889175
High permeability,29.3,127424.480487
High permeability,29.4,127460.520659
High permeability,29.5,127496.015928
High permeability,29.6,127530.972481
High permeability,29.7,127565.396445
High permeability,29.8,127599.293834
High permeability,29.9,127632.670588
High permeability,30,127665.532583
High permeability,30.1,127697.885665
High permeability,30.2,127729.735531
High permeability,30.3,127761.087827
High permeability,30.4,127791.948147
High permeability,30.5,127822.322034
High permeability,30.6,127852.214941
High permeability,30.7,127881.632219
High permeability,30.8,127910.579186
High permeability,30.9,127939.061097
High permeability,31,127967.083173
High permeability,31.1,127994.6505
High permeability,31.2,128021.768125
High permeability,31.3,128048.441049
High permeability,31.4,128074.674236
High permeability,31.5,128100.472551
High permeability,31.6,128125.840782
High permeability,31.7,128150.783691
High permeability,31.8,128175.305977
High permeability,31.9,128199.412314
High permeability,32,128223.10725
High permeability,32.1,128246.395305
High permeability,32.2,128269.280958
High permeability,32.3,128291.768657
High permeability,32.4,128313.862753
High permeability,32.5,128335.567536
High permeability,32.6,128356.887274
High permeability,32.7,128377.82618
High permeability,32.8,128398.38844
High permeability,32.9,128418.578128
High permeability,33,128438.3993
High permeability,33.1,128457.85597
High permeability,33.2,128476.952132
High permeability,33.3,128495.69168
High permeability,33.4,128514.078465
High permeability,33.5,128532.116316
High permeability,33.6,128549.809022
High permeability,33.7,128567.160328
High permeability,33.8,128584.173892
High permeability,33.9,128600.853356
High permeability,34,128617.202327
High permeability,34.1,128633.224391
High permeability,34.2,128648.923039
High permeability,34.3,128664.301733
High permeability,34.4,128679.363911
High permeability,34.5,128694.112984
High permeability,34.6,128708.552309
High permeability,34.7,128722.685172
High permeability,34.8,128736.514851
High permeability,34.9,128750.044586
High permeability,35,128763.277601
High permeability,35.1,128776.217033
High permeability,35.2,128788.865993
High permeability,35.3,128801.227575
