alpha,Kd_E_nM,Kd_T_nM,peak_EPT_nM,optimal_total_P_nM
0.01,0.1,0.1,53.667504192892004,100.1
0.01,0.12589254117941673,0.1,51.73431243822914,100.1122018454302
0.01,0.15848931924611134,0.1,49.660612507896204,100.12589254117941
0.01,0.19952623149688797,0.1,47.44848382801395,100.14125375446228
0.01,0.251188643150958,0.1,45.10325886690038,100.15848931924612
0.01,0.31622776601683794,0.1,42.63404799393821,100.1778279410039
0.01,0.3981071705534973,0.1,40.05418949578549,100.19952623149689
0.01,0.5011872336272724,0.1,37.38155822810258,100.22387211385683
0.01,0.6309573444801934,0.1,34.63865556163819,100.25118864315095
0.01,0.7943282347242815,0.1,31.85240038919657,100.28183829312644
0.01,1.0,0.1,29.053551349663287,100.31622776601685
0.01,1.2589254117941675,0.1,26.27571900043146,100.35481338923357
0.01,1.584893192461114,0.1,23.55397563965422,100.39810717055349
0.01,1.9952623149688797,0.1,20.923136598203545,100.44668359215098
0.01,2.511886431509581,0.1,18.41585929093438,100.50118723362728
0.01,3.1622776601683795,0.1,16.060767161613537,100.56234132519035
0.01,3.981071705534973,0.1,13.880834045164935,100.63095734448018
0.01,5.011872336272725,0.1,11.892244668331614,100.70794578438415
0.01,6.309573444801933,0.1,10.103876799207262,100.79432823472429
0.01,7.943282347242818,0.1,8.51744517053533,100.89125093813375
0.01,10.0,0.1,7.128235275276379,100.99999999999999
0.01,12.589254117941675,0.1,5.92626715424179,101.12201845430198
0.01,15.848931924611142,0.1,4.897685899387827,101.25892541179417
0.01,19.952623149688808,0.1,4.026180409655196,101.41253754462275
0.01,25.11886431509582,0.1,3.2942733574372136,101.5848931924611
0.01,31.622776601683793,0.1,2.6843842051753244,101.77827941003893
0.01,39.810717055349734,0.1,2.179625299690711,101.99526231496888
0.01,50.11872336272725,0.1,1.7643367538681853,102.23872113856834
0.01,63.095734448019364,0.1,1.4243946280842381,102.5118864315096
0.01,79.43282347242821,0.1,1.147340083344419,102.81838293126447
0.01,100.0,0.1,0.9223787686327735,103.16227766016836
0.01,125.89254117941675,0.1,0.7402943376578955,103.54813389233574
0.01,158.48931924611142,0.1,0.5933114943576111,103.98107170553497
0.01,199.52623149688807,0.1,0.47493494272062003,104.46683592150963
0.01,251.18864315095823,0.1,0.3797825205803063,105.01187233627272
0.01,316.22776601683796,0.1,0.30342424122526207,105.62341325190349
0.01,398.1071705534973,0.1,0.24223404019557238,106.30957344480194
0.01,501.18723362727246,0.1,0.19325754692963615,107.07945784384138
0.01,630.9573444801937,0.1,0.15409688887548226,107.94328234724281
0.01,794.3282347242822,0.1,0.12281209856991669,108.91250938133746
0.01,1000.0,0.1,0.09783787860532715,110.0
0.01,0.1,0.12589254117941673,51.73431243822914,100.1122018454302
0.01,0.12589254117941673,0.12589254117941673,49.88137067965805,100.12589254117941
0.01,0.15848931924611134,0.12589254117941673,47.89384643009448,100.14125375446227
0.01,0.19952623149688797,0.12589254117941673,45.7737056385219,100.15848931924612
0.01,0.251188643150958,0.12589254117941673,43.52600709399888,100.1778279410039
0.01,0.31622776601683794,0.12589254117941673,41.15939780287763,100.19952623149688
0.01,0.3981071705534973,0.12589254117941673,38.6865368101002,100.22387211385686
0.01,0.5011872336272724,0.12589254117941673,36.124385083019945,100.25118864315094
0.01,0.6309573444801934,0.12589254117941673,33.49428925419044,100.28183829312644
0.01,0.7943282347242815,0.12589254117941673,30.8217846485379,100.31622776601684
0.01,1.0,0.12589254117941673,28.136052976805267,100.35481338923358
0.01,1.2589254117941675,0.12589254117941673,25.468996762237488,100.39810717055349
0.01,1.584893192461114,0.12589254117941673,22.853937877480476,100.44668359215096
0.01,1.9952623149688797,0.12589254117941673,20.32400843560426,100.50118723362728
0.01,2.511886431509581,0.12589254117941673,17.910368844501107,100.56234132519035
0.01,3.1622776601683795,0.12589254117941673,15.640443833751158,100.6309573444802
0.01,3.981071705534973,0.12589254117941673,13.536393903706564,100.70794578438415
0.01,5.011872336272725,0.12589254117941673,11.614022655274084,100.79432823472428
0.01,6.309573444801933,0.12589254117941673,9.882257559029584,100.89125093813375
0.01,7.943282347242818,0.12589254117941673,8.343246203913013,100.99999999999999
0.01,10.0,0.12589254117941673,6.993007297762388,101.12201845430197
0.01,12.589254117941675,0.12589254117941673,5.822493411020809,101.25892541179417
0.01,15.848931924611142,0.12589254117941673,4.818879810504308,101.41253754462277
0.01,19.952623149688808,0.12589254117941673,3.966894972047618,101.58489319246111
0.01,25.11886431509582,0.12589254117941673,3.2500438911379605,101.77827941003892
0.01,31.622776601683793,0.12589254117941673,2.6516282230293267,101.99526231496887
0.01,39.810717055349734,0.12589254117941673,2.155520982727079,102.23872113856834
0.01,50.11872336272725,0.12589254117941673,1.7466967667461275,102.5118864315096
0.01,63.095734448019364,0.12589254117941673,1.4115466159073362,102.81838293126447
0.01,79.43282347242821,0.12589254117941673,1.1380203465919818,103.16227766016837
0.01,100.0,0.12589254117941673,0.9156418780046539,103.54813389233576
0.01,125.89254117941675,0.12589254117941673,0.7354389193922098,103.98107170553497
0.01,158.48931924611142,0.12589254117941673,0.5898209221197381,104.46683592150963
0.01,199.52623149688807,0.12589254117941673,0.47243095077005615,105.01187233627272
0.01,251.18864315095823,0.12589254117941673,0.37798954439496607,105.6234132519035
0.01,316.22776601683796,0.12589254117941673,0.30214238527834475,106.30957344480193
0.01,398.1071705534973,0.12589254117941673,0.24131881761214805,107.07945784384138
0.01,501.18723362727246,0.12589254117941673,0.19260483533805658,107.94328234724283
0.01,630.9573444801937,0.12589254117941673,0.15363184463989035,108.91250938133744
0.01,794.3282347242822,0.12589254117941673,0.1224810392605631,110.00000000000001
0.01,1000.0,0.12589254117941673,0.0976023699076385,111.22018454301964
0.01,0.1,0.15848931924611134,49.660612507896204,100.12589254117941
0.01,0.12589254117941673,0.15848931924611134,47.89384643009448,100.14125375446227
0.01,0.15848931924611134,0.15848931924611134,45.99881284836063,100.15848931924612
0.01,0.19952623149688797,0.15848931924611134,43.97734713604077,100.1778279410039
0.01,0.251188643150958,0.15848931924611134,41.834206356095144,100.19952623149689
0.01,0.31622776601683794,0.15848931924611134,39.57753399868359,100.22387211385683
0.01,0.3981071705534973,0.15848931924611134,37.21925690812078,100.25118864315095
0.01,0.5011872336272724,0.15848931924611134,34.77535636490896,100.28183829312644
0.01,0.6309573444801934,0.15848931924611134,32.26594644914057,100.31622776601684
0.01,0.7943282347242815,0.15848931924611134,29.71509090566506,100.35481338923357
0.01,1.0,0.15848931924611134,27.150299153270534,100.39810717055352
0.01,1.2589254117941675,0.15848931924611134,24.601666738374444,100.44668359215096
0.01,1.584893192461114,0.15848931924611134,22.100667037987584,100.50118723362726
0.01,1.9952623149688797,0.15848931924611134,19.678656514753357,100.56234132519035
0.01,2.511886431509581,0.15848931924611134,17.36521643095217,100.6309573444802
0.01,3.1622776601683795,0.15848931924611134,15.186505095738655,100.70794578438415
0.01,3.981071705534973,0.15848931924611134,13.163819672473487,100.79432823472428
0.01,5.011872336272725,0.15848931924611134,11.312552466995706,100.89125093813375
0.01,6.309573444801933,0.15848931924611134,9.641671099114141,101.0
0.01,7.943282347242818,0.15848931924611134,8.153766393813676,101.12201845430198
0.01,10.0,0.15848931924611134,6.845618454083152,101.25892541179417
0.01,12.589254117941675,0.15848931924611134,5.709154985901588,101.41253754462275
0.01,15.848931924611142,0.15848931924611134,4.73263425598218,101.58489319246114
0.01,19.952623149688808,0.15848931924611134,3.90188286937171,101.77827941003893
0.01,25.11886431509582,0.15848931924611134,3.201448203806438,101.99526231496888
0.01,31.622776601683793,0.15848931924611134,2.6155721635809432,102.23872113856832
0.01,39.810717055349734,0.15848931924611134,2.1289419304863664,102.51188643150958
0.01,50.11872336272725,0.15848931924611134,1.7272139679377312,102.81838293126447
0.01,63.095734448019364,0.15848931924611134,1.3973348906322658,103.16227766016837
0.01,79.43282347242821,0.15848931924611134,1.1276969825414211,103.54813389233574
0.01,100.0,0.15848931924611134,0.9081699337053729,103.98107170553497
0.01,125.89254117941675,0.15848931924611134,0.7300474285299015,104.46683592150963
0.01,158.48931924611142,0.15848931924611134,0.5859408399903798,105.01187233627275
0.01,199.52623149688807,0.15848931924611134,0.46964485498543534,105.62341325190349
0.01,251.18864315095823,0.15848931924611134,0.37599282866527145,106.30957344480194
0.01,316.22776601683796,0.15848931924611134,0.30071374658580396,107.07945784384137
