lane,P_total_nM,POI_intensity,loading_control
1,0.0,1.0,1.0
2,0.001,0.9997428836195276,1.0
3,0.005623413251903491,0.9985548163583557,1.0
4,0.03162277660168379,0.9918948309750519,1.0
5,0.1778279410038923,0.9550966688602587,1.0
6,1.0,0.7671264913017983,1.0
7,5.623413251903491,0.1324023123177856,1.0
8,31.622776601683793,3.918515189139381e-06,1.0
9,177.82794100389228,2.156635270114096e-07,1.0
10,1000.0,0.00011264419302085706,1.0
11,5623.413251903491,0.05992391883683807,1.0
12,31622.776601683792,0.4903098571498384,1.0
13,177827.94100389228,0.8586218317390867,1.0
14,1000000.0,0.9719359452465419,1.0
