name,archetype,smiles,pubchem_cid,molecular_formula,inchikey,structure_source,source_url,retrieved_utc,clinical_note,clinical_source,mw_da,clogp_rdkit,tpsa_a2,hbd,hba,rotatable_bonds,aromatic_rings,aromatic_atom_fraction,fsp3,aromatic_rings_le3,fsp3_ge042,ro5_violations,bro5_by_any_violation,largest_ring_atoms,unspecified_stereocenters,basic_pka_assumed,acidic_pka_assumed,basic_site_indices,basic_site_count,acidic_site_count,ionization_rules,ionization_source,logd74_approx,neutral_fraction_approx,cation_fraction_approx,charge_burden_approx,mpo_d_clogp,mpo_d_logd74,mpo_d_mw,mpo_d_tpsa,mpo_d_hbd,mpo_d_basic_pka,cns_mpo_approx,custom_mpo_logp_2_4,geometry_status,embedding_method,conformers_embedded,conformers_converged,imhb_vectors_mean,imhb_vectors_min,imhb_vectors_max,unpaired_donor_vectors_mean,unpaired_acceptor_sites_mean,chi_geometry_range_proxy,absolute_chameleonic_hb_index,volume_3d_a3,esp_ring_proxy_e_per_a,oral_d_solubility,oral_d_permeability,oral_d_herg_proxy,oral_d_polarity,oral_d_fsp3,oral_d_aromatic_rings,esol_logs_mol_l,solubility_ug_ml_esol,volume_used_a3,volume_method,charge_weighted_volume_proxy_a3,log10_caco2_papp_proxy,caco2_papp_proxy_1e_minus6_cm_s,desolvation_energy_proxy_kcal_mol,hia_percent_proxy,basic_n_aromatic_distance_min_bonds,basic_n_aromatic_3to8_bond_pairs,herg_topology_term,herg_esp_term,herg_esp_available,herg_liability_proxy,oral_developability_score_proxy,mpo_pka_sensitivity_min,mpo_pka_sensitivity_max,esol_domain_flag,admet_model_status,absolute_chi_status,clinical_outcome_used_in_scoring
Aspirin,Oral Drugs,CC(=O)OC1=CC=CC=C1C(=O)O,2244,C9H8O4,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Aspirin/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/2244,2026-09-10T05:32:50.211318+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/2244,180.159,1.3101,63.6,1,3,2,1,0.46153846,0.11111111,True,False,0,False,6,0,,4.5,[],0,1,carboxylic_acid,unvalidated_SMARTS_class_assumptions,-1.5904464,0.0012573425,0,0.99874266,1,1,1,1,0.83333333,1,5.8333333,5.4883833,ok,ETKDGv3,2,2,0,0,0,1,4,0,,156.84,0.024600377,1,0.86741496,0.9506557,1,0.26455026,1,-1.9918873,1835.5605,156.84,RDKit_grid_volume_first_converged_conformer,235.1614,0.73482992,5.4303762,2.845084,53.222942,,0,0,0.098401507,True,0.049344304,84.710349,5.8333333,5.8333333,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Diazepam,Oral Drugs,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3016,C16H13ClN2O,AAOVKJBEBIDNHE-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Diazepam/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/3016,2026-09-10T05:32:51.850789+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/3016,284.746,3.1538,32.67,0,2,1,2,0.6,0.125,True,False,0,False,7,0,,,[],0,0,no_matched_site,unvalidated_SMARTS_class_assumptions,3.1538,1,0,0,0.9231,0.4231,1,0.6335,1,1,4.9797,5.0566,ok,ETKDGv3,2,2,0,0,0,0,1,0,,248.232,0.013376259,0.7574202,1,0.76476143,1,0.29761905,1,-3.9703192,30.488667,248.232,RDKit_grid_volume_first_converged_conformer,248.232,1.4449786,27.859837,-0.12939,93.136349,,0,0,0.053505035,True,0.23523857,80.330011,4.9797,4.9797,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Sildenafil,Oral Drugs,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,135398744,C22H30N6O4S,BNRNXUUZRGQAQC-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Sildenafil/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/135398744,2026-09-10T05:32:53.792600+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/135398744,474.587,1.6109,113.42,1,7,7,3,0.45454545,0.5,True,True,0,False,6,0,9,,"[25, 4, 5, 8]",4,0,aliphatic_amine;aromatic_n,unvalidated_SMARTS_class_assumptions,0.00012577449,0.024503368,0.97549663,0.97549663,1,1,0.18152143,0.21933333,0.83333333,0.5,3.7341881,3.5396381,ok,ETKDGv3,6,6,1,1,1,0,4,0,,420.68,0.07234411,0.83208249,0.47691207,0.36280296,0.78709091,1,1,-3.67167,101.07548,420.68,RDKit_grid_volume_first_converged_conformer,625.86596,-0.046175856,0.89913343,3.9654749,30.905041,0,4,1,0.28937644,True,0.63719704,74.314807,3.2341881,4.2341881,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Gefitinib,Oral Drugs,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,123631,C22H24ClFN4O3,XGALLCVXEZPNRQ-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Gefitinib/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/123631,2026-09-10T05:32:55.754835+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/123631,446.91,4.2756,68.74,1,7,8,3,0.51612903,0.36363636,True,False,0,False,6,0,9,,"[25, 12, 8, 10]",4,0,aliphatic_amine;aniline_like;aromatic_n,unvalidated_SMARTS_class_assumptions,2.6648258,0.024503368,0.97549663,0.97549663,0.3622,0.66758711,0.37921429,1,0.83333333,0.5,3.7423347,4.2423347,ok,ETKDGv3,6,6,0,0,0,1,6,0,,385.888,0.10666289,0.46039863,0.75342745,0.07850552,1,0.86580087,1,-5.1584055,3.1032345,385.888,RDKit_grid_volume_first_converged_conformer,574.10422,0.50685491,3.2125871,2.0490649,68.835627,0,4,1,0.42665157,True,0.92149448,69.302208,3.5747476,3.785609,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Omeprazole,Oral Drugs,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,4594,C17H19N3O3S,SUBDBMMJDZJVOS-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Omeprazole/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/4594,2026-09-10T05:32:57.737976+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/4594,345.424,2.89974,77.1,1,5,5,3,0.625,0.29411765,True,False,0,False,6,1,4.5,,"[3, 14]",2,0,aromatic_n,unvalidated_SMARTS_class_assumptions,2.8991936,0.99874266,0.0012573425,0.0012573425,1,0.5504032,1,1,0.83333333,1,5.3837365,5.3837365,ok,ETKDGv3,5,5,0,0,0,1,5,0,,304.52,0.04657786,0.76475875,0.93565728,0.50542932,1,0.70028011,1,-3.940965,39.571955,304.52,RDKit_grid_volume_first_converged_conformer,304.71144,0.87131455,7.4355749,1.209464,81.639526,0,3,1,0.18631144,True,0.49457068,81.768758,5.3834907,5.38618,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Metoprolol,Oral Drugs,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,4171,C15H25NO3,IUBSYMUCCVWXPE-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Metoprolol/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/4171,2026-09-10T05:32:59.705667+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/4171,267.369,1.6132,50.72,2,4,9,1,0.31578947,0.6,True,True,0,False,6,1,9,,[3],1,0,aliphatic_amine,unvalidated_SMARTS_class_assumptions,0.0024257745,0.024503368,0.97549663,0.97549663,1,1,1,1,0.5,0.5,5,4.8066,ok,ETKDGv3,6,6,0.16666667,0,1,1.8333333,2.8333333,1,,273.544,-0.052534535,1,0.89517012,0.7124914,1,1,1,-2.153688,1876.8218,273.544,RDKit_grid_volume_first_converged_conformer,406.96463,0.79034025,6.1707826,2.5472849,59.321269,5,1,0.5,0,True,0.2875086,93.461025,4.5,5.5,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Losartan,Oral Drugs,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,3961,C22H23ClN6O,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Losartan/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/3961,2026-09-10T05:33:01.575261+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/3961,422.92,4.2668,92.51,2,5,8,4,0.73333333,0.27272727,False,False,0,False,6,0,4.5,,"[5, 8, 23, 25, 26]",5,0,aromatic_n,unvalidated_SMARTS_class_assumptions,4.2662536,0.99874266,0.0012573425,0.0012573425,0.3666,0,0.55057143,0.91633333,0.5,1,3.3335048,3.8335048,ok,ETKDGv3,6,6,0,0,0,2,5,0,,378.248,-0.052392322,0.45878633,0.82201109,0.199624,0.97718182,0.64935065,0.66666667,-5.1648547,2.8933672,378.248,RDKit_grid_volume_first_converged_conformer,378.48579,0.64402218,4.4057737,1.334596,80.024665,0,8,1,0,True,0.800376,62.893676,3.3335048,3.3335048,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Warfarin,Oral Drugs,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,54678486,C19H16O4,PJVWKTKQMONHTI-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Warfarin/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/54678486,2026-09-10T05:33:03.754480+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/54678486,308.333,3.6096,67.51,1,4,4,3,0.69565217,0.15789474,True,False,0,False,6,1,,10,[],0,1,phenol,unvalidated_SMARTS_class_assumptions,3.6085105,0.99749441,0,0.0025055927,0.6952,0.19574477,1,1,0.83333333,1,4.7242781,5.0290781,ok,ETKDGv3,4,4,0,0,0,1,4,0,,279.264,0.032374473,0.6808762,1,0.58441047,1,0.37593985,1,-4.2764952,16.312661,279.264,RDKit_grid_volume_first_converged_conformer,279.61386,1.0027562,10.063666,0.75862839,86.620464,,0,0,0.12949789,True,0.41558953,77.353775,4.7237879,4.7291204,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Fluconazole,Oral Drugs,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,3365,C13H12F2N6O,RFHAOTPXVQNOHP-UHFFFAOYSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Fluconazole/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/3365,2026-09-10T05:33:05.660445+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/3365,306.276,0.7358,81.65,1,5,5,3,0.72727273,0.23076923,True,False,0,False,6,0,4.5,,"[10, 12, 14, 16, 18, 20]",6,0,aromatic_n,unvalidated_SMARTS_class_assumptions,0.7352536,0.99874266,0.0012573425,0.0012573425,1,1,1,1,0.83333333,1,5.8333333,5.2012333,ok,ETKDGv3,6,6,0.83333333,0,1,0.16666667,6.1666667,1,,251.704,0.08316155,1,0.92697056,0.81755843,1,0.54945055,1,-2.410647,1189.778,251.704,RDKit_grid_volume_first_converged_conformer,251.86224,0.85394112,7.1439946,1.972396,70.189471,0,12,1,0.3326462,True,0.18244157,88.232992,5.8333333,5.8333333,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
Captopril,Oral Drugs,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,44093,C9H15NO3S,FAKRSMQSSFJEIM-RQJHMYQMSA-N,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Captopril/property/IsomericSMILES,MolecularFormula,InChIKey/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/44093,2026-09-10T05:33:07.690954+00:00,"Established oral clinical reference; parent active moiety, not a commercial salt.",https://pubchem.ncbi.nlm.nih.gov/compound/44093,217.29,0.6279,57.61,2,3,3,0,0,0.77777778,True,True,0,False,5,0,,4.5,[],0,2,carboxylic_acid;thiol,unvalidated_SMARTS_class_assumptions,-2.2726464,0.0012573425,0,0.99874266,1,1,1,1,0.5,1,5.5,4.81395,ok,ETKDGv3,5,5,0,0,0,2,3,0,,197.016,0,1,0.88106991,0.98130212,1,1,1,-1.384775,8959.1073,197.016,RDKit_grid_volume_first_converged_conformer,295.40014,0.76213982,5.7828219,3.049994,48.958609,,0,0,0,True,0.018697884,97.7062,5.5,5.5,descriptor_substitution_unvalidated,unvalidated_exploratory_surrogates,not_identifiable_from_this_ensemble,False
