alpha,P_total_nM,time_h,target_fraction,degradation_pct
0.01,0.001,0.0,1.0,0.0
0.01,0.001,0.25,0.999999975206687,2.4793312958237834e-06
0.01,0.001,0.5,0.9999999504133746,4.958662536136416e-06
0.01,0.001,0.75,0.9999999256200628,7.4379937209378966e-06
0.01,0.001,1.0,0.9999999008267515,9.917324850228226e-06
0.01,0.001,1.25,0.9999998760334408,1.2396655924007405e-05
0.01,0.001,1.5,0.9999998512401306,1.4875986942275432e-05
0.01,0.001,1.75,0.999999826446821,1.7355317905032308e-05
0.01,0.001,2.0,0.999999801653512,1.9834648801175803e-05
0.01,0.001,2.25,0.9999997768602035,2.2313979652910376e-05
0.01,0.001,2.5,0.9999997520668955,2.47933104491338e-05
0.01,0.001,2.75,0.9999997272735881,2.727264118984607e-05
0.01,0.001,3.0,0.9999997024802814,2.975197186394496e-05
0.01,0.001,3.25,0.9999996776869751,3.223130249363493e-05
0.01,0.001,3.5,0.9999996528936694,3.4710633056711515e-05
0.01,0.001,3.75,0.9999996281003642,3.718996357537918e-05
0.01,0.001,4.0,0.9999996033070596,3.9669294038535696e-05
0.01,0.001,4.25,0.9999995785137556,4.214862443507883e-05
0.01,0.001,4.5,0.9999995537204521,4.462795478721304e-05
0.01,0.001,4.75,0.9999995289271493,4.710728507273387e-05
0.01,0.001,5.0,0.999999504133847,4.958661530274355e-05
0.01,0.001,5.25,0.9999994793405451,5.206594548834431e-05
0.01,0.001,5.5,0.9999994545472439,5.454527560733169e-05
0.01,0.001,5.75,0.9999994297539433,5.7024605670807915e-05
0.01,0.001,6.0,0.9999994049606431,5.950393568987522e-05
0.01,0.001,6.25,0.9999993801673436,6.198326564232914e-05
0.01,0.001,6.5,0.9999993553740446,6.446259553927192e-05
0.01,0.001,6.75,0.9999993305807462,6.694192538070354e-05
0.01,0.001,7.0,0.9999993057874483,6.942125516662401e-05
0.01,0.001,7.25,0.999999280994151,7.190058489703333e-05
0.01,0.001,7.5,0.9999992562008542,7.437991458303372e-05
0.01,0.001,7.75,0.999999231407558,7.685924420242074e-05
0.01,0.001,8.0,0.9999992066142623,7.93385737662966e-05
0.01,0.001,8.25,0.9999991818209673,8.181790327466132e-05
0.01,0.001,8.5,0.9999991570276728,8.429723271641265e-05
0.01,0.001,8.75,0.9999991322343789,8.677656211375506e-05
0.01,0.001,9.0,0.9999991074410854,8.925589145558632e-05
0.01,0.001,9.25,0.9999990826477926,9.173522074190643e-05
0.01,0.001,9.5,0.9999990578545003,9.421454997271539e-05
0.01,0.001,9.75,0.9999990330612085,9.66938791480132e-05
0.01,0.001,10.0,0.9999990082679174,9.917320825669762e-05
0.01,0.001,10.25,0.9999989834746268,0.00010165253732097312
0.01,0.001,10.5,0.9999989586813367,0.00010413186632973748
0.01,0.001,10.75,0.9999989338880473,0.00010661119527188845
0.01,0.001,11.0,0.9999989090947583,0.0001090905241696305
0.01,0.001,11.25,0.9999988843014699,0.0001115698530118614
0.01,0.001,11.5,0.9999988595081821,0.00011404918178747891
0.01,0.001,11.75,0.9999988347148948,0.00011652851051868751
0.01,0.001,12.0,0.9999988099216082,0.00011900783918328273
0.01,0.001,12.25,0.9999987851283221,0.00012148716779236679
0.01,0.001,12.5,0.9999987603350364,0.00012396649635704193
0.01,0.001,12.75,0.9999987355417514,0.0001264458248551037
0.01,0.001,13.0,0.9999987107484669,0.00012892515330875653
0.01,0.001,13.25,0.999998685955183,0.000131404481695796
0.01,0.001,13.5,0.9999986611618997,0.0001338838100273243
0.01,0.001,13.75,0.999998636368617,0.00013636313830334146
0.01,0.001,14.0,0.9999986115753347,0.0001388424665349497
0.01,0.001,14.25,0.999998586782053,0.00014132179469994455
0.01,0.001,14.5,0.9999985619887719,0.00014380112280942825
0.01,0.001,14.75,0.9999985371954914,0.0001462804508634008
0.01,0.001,15.0,0.9999985124022114,0.0001487597788618622
0.01,0.001,15.25,0.999998487608932,0.00015123910680481245
0.01,0.001,15.5,0.9999984628156531,0.00015371843469225155
0.01,0.001,15.75,0.9999984380223748,0.0001561977625241795
0.01,0.001,16.0,0.999998413229097,0.0001586770903005963
0.01,0.001,16.25,0.9999983884358198,0.00016115641802150193
0.01,0.001,16.5,0.9999983636425431,0.00016363574568689643
0.01,0.001,16.75,0.9999983388492671,0.00016611507328567754
0.01,0.001,17.0,0.9999983140559916,0.00016859440084004973
0.01,0.001,17.25,0.9999982892627166,0.00017107372833891077
0.01,0.001,17.5,0.9999982644694422,0.00017355305578226066
0.01,0.001,17.75,0.9999982396761684,0.00017603238315899716
0.01,0.001,18.0,0.9999982148828951,0.00017851171049132475
0.01,0.001,18.25,0.9999981900896223,0.00018099103776814118
0.01,0.001,18.5,0.9999981652963502,0.00018347036497834424
0.01,0.001,18.75,0.9999981405030786,0.00018594969214413837
0.01,0.001,19.0,0.9999981157098076,0.00018842901924331912
0.01,0.001,19.25,0.999998090916537,0.00019090834629809095
0.01,0.001,19.5,0.9999980661232671,0.0001933876732862494
0.01,0.001,19.75,0.9999980413299977,0.00019586700022999892
0.01,0.001,20.0,0.9999980165367289,0.00019834632710713507
0.01,0.001,20.25,0.9999979917434606,0.0002008256539398623
0.01,0.001,20.5,0.9999979669501929,0.00020330498070597613
0.01,0.001,20.75,0.9999979421569258,0.00020578430741657883
0.01,0.001,21.0,0.9999979173636593,0.00020826363407167037
0.01,0.001,21.25,0.9999978925703932,0.000210742960682353
0.01,0.001,21.5,0.9999978677771277,0.00021322228722642222
0.01,0.001,21.75,0.9999978429838629,0.0002157016137149803
0.01,0.001,22.0,0.9999978181905985,0.00021818094014802725
0.01,0.001,22.25,0.9999977933973347,0.00022066026652556303
0.01,0.001,22.5,0.9999977686040715,0.00022313959284758766
0.01,0.001,22.75,0.9999977438108089,0.00022561891911410115
0.01,0.001,23.0,0.9999977190175467,0.00022809824532510348
0.01,0.001,23.25,0.9999976942242852,0.00023057757148059466
0.01,0.001,23.5,0.9999976694310242,0.00023305689758057468
0.01,0.001,23.75,0.9999976446377637,0.00023553622362504356
0.01,0.001,24.0,0.9999976198445039,0.0002380155496140013
0.01,0.001122018454301963,0.0,1.0,0.0
0.01,0.001122018454301963,0.25,0.9999999721814556,2.7818544356961183e-06
0.01,0.001122018454301963,0.5,0.999999944362912,5.563708804778855e-06
0.01,0.001122018454301963,0.75,0.999999916544369,8.34556309614598e-06
0.01,0.001122018454301963,1.0,0.9999998887258268,1.1127417320899724e-05
0.01,0.001122018454301963,1.25,0.9999998609072852,1.3909271479040086e-05
0.01,0.001122018454301963,1.5,0.9999998330887444,1.6691125559464837e-05
0.01,0.001122018454301963,1.75,0.9999998052702043,1.9472979573276206e-05
0.01,0.001122018454301963,2.0,0.9999997774516649,2.2254833509371963e-05
0.01,0.001122018454301963,2.25,0.9999997496331261,2.503668738995657e-05
0.01,0.001122018454301963,2.5,0.9999997218145881,2.7818541192825563e-05
0.01,0.001122018454301963,2.75,0.9999996939960508,3.0600394917978946e-05
0.01,0.001122018454301963,3.0,0.9999996661775141,3.338224858762118e-05
0.01,0.001122018454301963,3.25,0.9999996383589783,3.6164102168445567e-05
0.01,0.001122018454301963,3.5,0.9999996105404431,3.8945955693758805e-05
0.01,0.001122018454301963,3.75,0.9999995827219086,4.172780914135643e-05
0.01,0.001122018454301963,4.0,0.9999995549033748,4.4509662522340676e-05
0.01,0.001122018454301963,4.25,0.9999995270848416,4.729151583671154e-05
0.01,0.001122018454301963,4.5,0.9999994992663093,5.007336907336679e-05
0.01,0.001122018454301963,4.75,0.9999994714477776,5.285522224340866e-05
0.01,0.001122018454301963,5.0,0.9999994436292465,5.563707534683715e-05
0.01,0.001122018454301963,5.25,0.9999994158107163,5.841892837255003e-05
0.01,0.001122018454301963,5.5,0.9999993879921867,6.120078133164952e-05
0.01,0.001122018454301963,5.75,0.9999993601736579,6.398263421303341e-05
0.01,0.001122018454301963,6.0,0.9999993323551296,6.676448703890614e-05
0.01,0.001122018454301963,6.25,0.9999993045366021,6.954633978706326e-05
0.01,0.001122018454301963,6.5,0.9999992767180754,7.232819245750477e-05
0.01,0.001122018454301963,6.75,0.9999992488995494,7.51100450613329e-05
0.01,0.001122018454301963,7.0,0.999999221081024,7.789189759854764e-05
0.01,0.001122018454301963,7.25,0.9999991932624993,8.067375006914901e-05
0.01,0.001122018454301963,7.5,0.9999991654439754,8.345560246203476e-05
0.01,0.001122018454301963,7.75,0.9999991376254521,8.623745478830713e-05
0.01,0.001122018454301963,8.0,0.9999991098069296,8.901930703686389e-05
0.01,0.001122018454301963,8.25,0.9999990819884077,9.18011592299095e-05
0.01,0.001122018454301963,8.5,0.9999990541698867,9.458301133413727e-05
0.01,0.001122018454301963,8.75,0.9999990263513662,9.736486338285388e-05
0.01,0.001122018454301963,9.0,0.9999989985328465,0.00010014671535385489
0.01,0.001122018454301963,9.25,0.9999989707143274,0.00010292856725824251
0.01,0.001122018454301963,9.5,0.999998942895809,0.00010571041909601675
0.01,0.001122018454301963,9.75,0.9999989150772914,0.00010849227085607538
0.01,0.001122018454301963,10.0,0.9999988872587745,0.00011127412254952063
0.01,0.001122018454301963,10.25,0.9999988594402583,0.00011405597416525026
0.01,0.001122018454301963,10.5,0.9999988316217429,0.00011683782571436652
0.01,0.001122018454301963,10.75,0.999998803803228,0.00011961967719686939
0.01,0.001122018454301963,11.0,0.9999987759847139,0.00012240152861275888
0.01,0.001122018454301963,11.25,0.9999987481662005,0.00012518337995093276
0.01,0.001122018454301963,11.5,0.9999987203476878,0.00012796523122249326
0.01,0.001122018454301963,11.75,0.9999986925291758,0.00013074708241633815
0.01,0.001122018454301963,12.0,0.9999986647106646,0.00013352893354356965
0.01,0.001122018454301963,12.25,0.999998636892154,0.00013631078460418777
0.01,0.001122018454301963,12.5,0.999998609073644,0.00013909263559819252
0.01,0.001122018454301963,12.75,0.9999985812551349,0.00014187448651448165
0.01,0.001122018454301963,13.0,0.9999985534366264,0.0001446563373641574
0.01,0.001122018454301963,13.25,0.9999985256181186,0.00014743818813611753
0.01,0.001122018454301963,13.5,0.9999984977996116,0.0001502200388414643
0.01,0.001122018454301963,13.75,0.9999984699811052,0.00015300188948019766
0.01,0.001122018454301963,14.0,0.9999984421625996,0.00015578374004121542
0.01,0.001122018454301963,14.25,0.9999984143440945,0.00015856559054672204
0.01,0.001122018454301963,14.5,0.9999983865255904,0.0001613474409634108
0.01,0.001122018454301963,14.75,0.9999983587070868,0.00016412929132458842
0.01,0.001122018454301963,15.0,0.9999983308885839,0.00016691114160805043
0.01,0.001122018454301963,15.25,0.9999983030700818,0.00016969299182489905
0.01,0.001122018454301963,15.5,0.9999982752515804,0.00017247484196403207
0.01,0.001122018454301963,15.75,0.9999982474330796,0.0001752566920365517
0.01,0.001122018454301963,16.0,0.9999982196145796,0.00017803854204245795
0.01,0.001122018454301963,16.25,0.9999981917960803,0.00018082039197064859
0.01,0.001122018454301963,16.5,0.9999981639775817,0.00018360224183222584
0.01,0.001122018454301963,16.75,0.9999981361590837,0.00018638409162718972
0.01,0.001122018454301963,17.0,0.9999981083405864,0.0001891659413555402
0.01,0.001122018454301963,17.25,0.9999980805220899,0.0001919477910061751
0.01,0.001122018454301963,17.5,0.9999980527035942,0.00019472964057909437
0.01,0.001122018454301963,17.75,0.999998024885099,0.00019751149009650248
0.01,0.001122018454301963,18.0,0.9999979970666046,0.000200293339536195
0.01,0.001122018454301963,18.25,0.9999979692481109,0.00020307518890927412
0.01,0.001122018454301963,18.5,0.999997941429618,0.00020585703820463763
0.01,0.001122018454301963,18.75,0.9999979136111257,0.00020863888743338777
0.01,0.001122018454301963,19.0,0.999997885792634,0.00021142073659552452
