alpha,P_total_M,P_total_nM,P_free_nM,E_free_nM,T_free_nM,EP_nM,PT_nM,EPT_nM
0.01,1.0000000000000002e-12,0.001,8.264521075255151e-05,99.9991652903464,99.99990909041985,0.0008264452090499911,8.264513562013736e-05,8.264444577321198e-06
0.01,1.122018454301963e-12,0.001122018454301963,9.272953139385936e-05,99.99906344051391,99.99989799770638,0.0009272866292663666,9.272943680761052e-05,9.272856834127364e-06
0.01,1.2589254117941675e-12,0.0012589254117941675,0.00010404434590709001,99.99894916316096,99.99988555145993,0.0010404325257077425,0.00010404422682985504,1.0404313349479054e-05
0.01,1.412537544622754e-12,0.001412537544622754,0.00011673980260058295,99.99882094191072,99.99987158651969,0.0011673842617049696,0.00011673965269093947,1.1673827626262084e-05
0.01,1.5848931924611142e-12,0.001584893192461114,0.00013098437203195128,99.99867707536295,99.99985591757171,0.0013098263920742295,0.00013098418330648743,1.3098245048445576e-05
0.01,1.7782794100389228e-12,0.0017782794100389228,0.00014696708301918128,99.99851565451849,99.99983833668827,0.0014696490151992515,0.00014696684542732765,1.469646639315984e-05
0.01,1.995262314968879e-12,0.001995262314968879,0.00016490003157919696,99.99833453744914,99.99981861056894,0.001648972852309246,0.0001648997324679678,1.648969861246768e-05
0.01,2.23872113856834e-12,0.00223872113856834,0.00018502119612011454,99.99813132087718,99.99979647744424,0.0018501773866764978,0.0001850208195602474,1.8501736211481943e-05
0.01,2.5118864315095795e-12,0.0025118864315095794,0.00020759759628606245,99.99790330828706,99.99977164360088,0.0020759324360446483,0.00020759712222366664,2.075927695520087e-05
0.01,2.818382931264455e-12,0.002818382931264455,0.00023292883742462674,99.99764747414677,99.99974377948331,0.0023292335771350667,0.00023292824061315565,2.3292276091607604e-05
0.01,3.1622776601683794e-12,0.0031622776601683794,0.0002613510877779622,99.9973604237641,99.99971251531986,0.0026134418921675688,0.00026135033643362356,2.613434378922507e-05
0.01,3.5481338923357536e-12,0.0035481338923357532,0.0002932415412582603,99.99703834824426,99.99967743621364,0.00293232856465005,0.0002932405953672415,2.9323191060200034e-05
0.01,3.9810717055349735e-12,0.003981071705534973,0.0003290234251338423,99.99667697395392,99.9996380766356,0.0032901249159972734,0.0003290222343211926,3.290113008266485e-05
0.01,4.466835921509631e-12,0.0044668359215096305,0.00036917161921077847,99.99627150581783,99.99959391424439,0.003691578546684339,0.0003691701200574189,3.691563555709704e-05
0.01,5.011872336272725e-12,0.005011872336272725,0.0004142189612442917,99.99581656369894,99.99954436295161,0.0041420163265790105,0.00041421707390924264,4.141997454018076e-05
0.01,5.623413251903491e-12,0.005623413251903491,0.0004647633224643812,99.995306111017,99.99948876514047,0.004647415069899909,0.00046476094643226225,4.647391310694005e-05
0.01,6.3095734448019305e-12,0.00630957344480193,0.0005214755473748579,99.99473337465874,99.99942638293474,0.005214480832115312,0.0005214725561021267,5.214450920963399e-05
0.01,7.079457843841381e-12,0.00707945784384138,0.0005851083635236244,99.9940907551174,99.99935638840007,0.005850737880375951,0.0005851045976983243,5.8507002243482764e-05
0.01,7.943282347242815e-12,0.007943282347242814,0.0006565063799014025,99.99336972567168,99.99927785255001,0.006564628517274321,0.0006565016389573207,6.564581110976881e-05
0.01,8.912509381337459e-12,0.008912509381337459,0.000736617307182964,99.99256071926449,99.9991897330074,0.0073656250815353624,0.0007366113386160619,7.365565400306528e-05
0.01,1.0000000000000001e-11,0.01,0.0008265045493781973,99.99165300158472,99.99909086016002,0.008264355610565582,0.0008264970352960592,8.264280476016217e-05
0.01,1.1220184543019637e-11,0.011220184543019636,0.0009273613348347456,99.99063452866692,99.9989799216226,0.009272744830747774,0.0009273518750222882,9.272650241482756e-05
0.01,1.2589254117941676e-11,0.012589254117941675,0.00104052657518248,99.98949178712311,99.99885544480163,0.01040417234434919,0.001040514665781473,0.00010404053262853785
0.01,1.4125375446227547e-11,0.014125375446227547,0.001167502664018748,99.98820961488849,99.9987157773274,0.011673650109584727,0.001167487670684833,0.00011673500193923301
0.01,1.5848931924611143e-11,0.01584893192461114,0.0013099754532250136,99.98677100010599,99.99855906509443,0.013098021565736945,0.0013099565773314532,0.00013097832831772277
0.01,1.778279410038923e-11,0.01778279410038923,0.0014698366741451555,99.98515685548406,99.99838322761545,0.014696185041634635,0.0014698129102317093,0.000146959474377733
0.01,1.99526231496888e-11,0.0199526231496888,0.001649209103856441,99.98334576514023,99.99818593036123,0.016489344406989556,0.0016491791860548074,0.00016489045278799037
0.01,2.23872113856834e-11,0.0223872113856834,0.001850474813893697,99.98131370057676,99.99796455371454,0.01850129028629221,0.0018504371484728333,0.0001850091370246633
0.01,2.511886431509581e-11,0.025118864315095808,0.002076306880575801,99.97903370202651,99.99771615812438,0.020758715558883752,0.002076259461009795,0.00020758241462644976
0.01,2.818382931264455e-11,0.02818382931264455,0.0023297049831331454,99.97647552095368,99.9974374449923,0.02329156932172547,0.0023296452831614344,0.00023290972462449444
0.01,3.1622776601683794e-11,0.03162277660168379,0.00261403536882926,99.97360521897497,99.99712471276634,0.0261334539991774,0.002613960207804015,0.00026132702587310845
0.01,3.5481338923357555e-11,0.03548133892335755,0.0029330757239876323,99.97038471789799,99.99677380765404,0.029322070853377073,0.0029329810973231225,0.0002932112486697152
0.01,3.9810717055349734e-11,0.039810717055349734,0.0032910655571631742,99.96677129492465,99.99638006828877,0.032899719786953475,0.003290946422837432,0.0003289852883956398
0.01,4.466835921509633e-11,0.04466835921509633,0.0036927627766496153,99.962717016348,99.9959382636067,0.03691386004507289,0.0036926127863599967,0.0003691236070138527
0.01,5.011872336272725e-11,0.05011872336272725,0.004143507230247679,99.9581681022584,99.99544252309299,0.041417739225402046,0.004143318390862518,0.00041415851621501445
0.01,5.623413251903491e-11,0.05623413251903491,0.004649292072061676,99.95306421387234,99.99488625845589,0.04647109890278282,0.0046490543192814785,0.00046468722490892225
0.01,6.309573444801933e-11,0.06309573444801933,0.005216843930568546,99.9473376540746,99.99426207566435,0.05214096618171441,0.005216544592011098,0.0005213797437252703
0.01,7.07945784384138e-11,0.0707945784384138,0.005853712976067647,99.9409124706328,99.99356167615461,0.05850254161693841,0.0058533360950692665,0.0005849877503385132
0.01,7.943282347242818e-11,0.07943282347242818,0.0065683741258965095,99.93370345026338,99.99277574585828,0.06564019520477246,0.006567899609856672,0.0006563545319025174
0.01,8.91250938133746e-11,0.08912509381337459,0.007370340784828411,99.92561499030404,99.99189383053275,0.07364858356120989,0.007369743332514075,0.0007364261348221619
0.01,1.0000000000000002e-10,0.1,0.008270292698568934,99.91653983314754,99.99090419568348,0.0826339029848352,0.008269540448928664,0.0008262638676672059
0.01,1.1220184543019642e-10,0.11220184543019641,0.009280219703400795,99.90635764680675,99.98979366914617,0.09271529487289026,0.0092792725334739,0.0009270583204314342
0.01,1.2589254117941677e-10,0.12589254117941676,0.01041358338847766,99.89493343297823,99.9885474641482,0.10402642193907435,0.010412390769106631,0.0010401450827580644
0.01,1.412537544622754e-10,0.1412537544622754,0.011685498953356688,99.88211574173874,99.98714898038706,0.11671723589591394,0.011683997247594318,0.001167022365410373
0.01,1.5848931924611142e-10,0.15848931924611143,0.013112939847160414,99.86773466950724,99.98557958034047,0.1309559597393425,0.013111048906204745,0.001309370753403789
0.01,1.7782794100389231e-10,0.1778279410038923,0.014714968123252644,99.85159961411615,99.98381833765715,0.1469313105377505,0.014712586996797075,0.0014690753460920335
0.01,1.995262314968881e-10,0.19952623149688808,0.01651299384158086,99.83349675771625,99.98184175405912,0.16485499171436507,0.016509995371546893,0.0016482505693952377
0.01,2.2387211385683403e-10,0.223872113856834,0.018531067308284625,99.81318624476584,99.97962344070713,0.18496448725561046,0.018527291314366943,0.0018492679785719409
0.01,2.5118864315095825e-10,0.25118864315095824,0.020796208468827678,99.79039901847567,99.97713375943547,0.20752619411757164,0.020791453157770888,0.0020747874067879035
0.01,2.818382931264455e-10,0.2818382931264455,0.02333877837877819,99.76483327476492,99.97433941863193,0.23283893337954942,0.02333278951256198,0.002327791855555929
