id,initial_drug_M,time_s,E_free_M,EI_M,covalent_M,free_drug_M,GSH_adduct_M,cleared_drug_M
W01,1e-09,0.0,1e-08,0.0,0.0,1e-09,0.0,0.0
W01,1e-09,90.0,9.895383742376673e-09,8.371410151688512e-11,2.0902156105748774e-11,8.662322608178673e-10,1.3587691044854051e-11,1.556379051395235e-11
W01,1e-09,180.0,9.877867758988577e-09,7.923708708562915e-11,4.2895153925118243e-11,8.213359888954168e-10,2.6349817750945162e-11,3.018195234221552e-11
W01,1e-09,270.0,9.86128219526192e-09,7.500534457813359e-11,6.371246015927381e-11,7.787888324160981e-10,3.8450681326056916e-11,4.4042681519766435e-11
W01,1e-09,360.0,9.845573476750202e-09,7.100744027454571e-11,8.341908297457933e-11,7.384631033768352e-10,4.992482657049144e-11,5.718554680287676e-11
W01,1e-09,450.0,9.830694039706865e-09,6.722967168765932e-11,1.0207628860480469e-10,7.002410651423847e-10,6.080496151417353e-11,6.964801305030678e-11
W01,1e-09,540.0,9.81659902420988e-09,6.365921265938143e-11,1.197417631300656e-10,6.640114012217298e-10,7.112206198677235e-11,8.146556100137968e-11
W01,1e-09,630.0,9.803246102407793e-09,6.028405511886432e-11,1.3646984247266922e-10,6.296688402233564e-10,8.090546637281624e-11,9.267179581162265e-11
W01,1e-09,720.0,9.790595331308485e-09,5.709294867570371e-11,1.5231172001513937e-10,5.971138223119499e-10,9.018296246225918e-11,1.0329854653427666e-10
W01,1e-09,810.0,9.778609002315517e-09,5.407534670628991e-11,1.673156509775215e-10,5.662521624701106e-10,9.898087427427079e-11,1.1337596557113598e-10
W01,1e-09,900.0,9.767251511683818e-09,5.122135725599866e-11,1.8152713105951156e-10,5.369947555411068e-10,1.0732413915725421e-10,1.2293261698545758e-10
W01,1e-09,990.0,9.756489232092775e-09,4.852169740170462e-11,1.9498907050484915e-10,5.092572845041324e-10,1.1523638390300643e-10,1.3199556368563632e-10
W01,1e-09,1080.0,9.746290398399137e-09,4.5967651570988765e-11,2.0774195002920258e-10,4.829599576162472e-10,1.2273999401523562e-10,1.4059044676765475e-10
W01,1e-09,1170.0,9.736624998487984e-09,4.3551033045610095e-11,2.1982396846573398e-10,4.5802725676340244e-10,1.29856180129689e-10,1.487415615948935e-10
W01,1e-09,1260.0,9.727464670509894e-09,4.126414843762062e-11,2.3127118105181446e-10,4.343876995167748e-10,1.3660504102280028e-10,1.564719299703188e-10
W01,1e-09,1350.0,9.718782606042756e-09,3.9099764379996193e-11,2.421176295765767e-10,4.119736137939703e-10,1.4300562350664326e-10,1.6380336874214251e-10
