compound,time_h,plasma_unbound_uM,liver_unbound_uM,gut_proxy_uM,hep_CYP3A4,hep_CYP2D6,hep_CYP2C9,gut_CYP3A4,gut_CYP2D6,gut_CYP2C9
Ketoconazole,0.0,0.0,0.0,18.81715371732872,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,0.25,0.08925256549912693,0.2011109071405417,14.74406661574041,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,0.5,0.11049729664747021,0.19699800336546938,11.523677955017,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,0.75,0.1259368084357413,0.19233115626419692,9.014530847344787,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,1.0,0.13758957487624882,0.18832867418405713,7.060033625766501,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,1.25,0.146307019584131,0.18486249197235502,5.537512160904095,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,1.5,0.1527418320661323,0.18181738131088857,4.351417308315594,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,1.75,0.15740212950662752,0.179103318745135,3.4273348086945012,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,2.0,0.16068361327769562,0.17665017968036606,2.7073109002123426,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,2.25,0.16289443088063144,0.1744033236187349,2.1462106886510646,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,2.5,0.16427453020644506,0.1723201617524984,1.7088836349788006,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,2.75,0.16501075981936478,0.17036750346832324,1.3679542168540377,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,3.0,0.1652486071497775,0.1685194698701666,1.1021024001644868,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,3.25,0.16510135004211532,0.1667558805605457,0.8947242197848555,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,3.5,0.1646571827342228,0.16506099195874754,0.7328883332062609,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,3.75,0.1639847629391796,0.1634225163006154,0.606523869875281,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,4.0,0.16313753511222998,0.1618308576485497,0.5077875108560554,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,4.25,0.16215709453541896,0.1602785165334486,0.43057091434675354,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,4.5,0.16107580962751356,0.15875962649873424,0.37011680831290217,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,4.75,0.15991886234234584,0.15726959316411307,0.3227202464254279,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,5.0,0.15870583864151783,0.1558048129883821,0.28549574924259735,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,5.25,0.15745196613403117,0.15436245441240154,0.2561961021990735,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,5.5,0.15616907865787855,0.15294028725911127,0.23307112918728068,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,5.75,0.15486636702264797,0.15153654997846486,0.21475777681846797,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,6.0,0.15355096399372145,0.15014984618423105,0.20019446544918731,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,6.25,0.15222839968244398,0.14877906411675612,0.1885544147635773,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,6.5,0.1509029563188908,0.14742331389583158,0.17919370043004257,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,6.75,0.1495779444825631,0.1460818786621901,0.17161081000029332,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,7.0,0.14825591826056778,0.14475417651993017,0.16541514048461414,1.0,1.0,1.0,1.0,1.0,1.0
Ketoconazole,7.25,0.14693884280063776,0.1434397308963134,0.16030246567888357,1.0,1.0,1.0,1.0,1.0,1.0
