polymer,drug_loading,storage_K,RH_fraction,assumed_water_mass_fraction,dry_Tg_K,wet_Tg_K,Tg_minus_storage_K,heuristic_below_30K_margin,VFT_T0_K,VFT_domain_valid,log10_tau_s_hypothetical,log10_induction_h_hypothetical,shelf_life_status
HPMC-AS,0.1,298.15,0.6,0.012443215484890382,386.44952210573723,371.60632371188825,73.45632371188827,False,321.60632371188825,False,,,not_calibrated_not_predictable
HPMC-AS,0.1,313.15,0.75,0.017334224283636648,386.44952210573723,366.15026843019416,53.00026843019418,False,316.15026843019416,False,,,not_calibrated_not_predictable
HPMC-AS,0.2,298.15,0.6,0.011355290661544545,377.9966850828729,364.85393077277905,66.70393077277907,False,314.85393077277905,False,,,not_calibrated_not_predictable
HPMC-AS,0.2,313.15,0.75,0.015825525549169356,377.9966850828729,359.98804617074495,46.838046170744974,False,309.98804617074495,True,239.00812193974522,241.45181943897794,not_calibrated_not_predictable
HPMC-AS,0.3,298.15,0.6,0.010264966207618133,369.78106441963956,358.25552776551353,60.10552776551356,False,308.25552776551353,False,,,not_calibrated_not_predictable
HPMC-AS,0.3,313.15,0.75,0.014312187044119386,369.78106441963956,353.9573600779783,40.80736007797833,False,303.9573600779783,True,73.02614339146898,75.46984089070169,not_calibrated_not_predictable
HPMC-AS,0.5,298.15,0.6,0.008077086580700013,354.0226197516263,345.4932516487829,47.34325164878294,False,295.4932516487829,True,287.11997609164547,289.5636735908782,not_calibrated_not_predictable
HPMC-AS,0.5,313.15,0.75,0.011271504844769624,354.0226197516263,342.26548699302396,29.11548699302398,True,292.26548699302396,True,24.30589680174861,26.74959430098132,not_calibrated_not_predictable
PVP-VA,0.1,298.15,0.6,0.026533904433442737,368.2122692641333,340.3608102651412,42.21081026514122,False,290.3608102651412,True,88.70644665641903,91.15014415565174,not_calibrated_not_predictable
PVP-VA,0.1,313.15,0.75,0.03675733990906991,368.2122692641333,331.00526474986,17.855264749859998,True,281.00526474986,True,10.887434715970034,13.331132215202746,not_calibrated_not_predictable
PVP-VA,0.2,298.15,0.6,0.02392771487534163,362.35358637458205,337.63847093688906,39.48847093688909,False,287.63847093688906,True,62.106910345471476,64.55060784470419,not_calibrated_not_predictable
PVP-VA,0.2,313.15,0.75,0.03318122051202723,362.35358637458205,329.2003980663896,16.05039806638962,True,279.2003980663896,True,9.564341094909672,12.008038594142384,not_calibrated_not_predictable
PVP-VA,0.3,298.15,0.6,0.021307533135730666,356.5723832464068,334.9186656435001,36.76866564350013,False,284.9186656435001,True,46.46253374339386,48.906231242626575,not_calibrated_not_predictable
PVP-VA,0.3,313.15,0.75,0.029578448878192685,356.5723832464068,327.4026234349243,14.252623434924317,True,277.4026234349243,True,8.379264630612937,10.82296212984565,not_calibrated_not_predictable
PVP-VA,0.5,298.15,0.6,0.016024739949395562,345.23634860342514,329.48143199788325,31.33143199788327,False,279.48143199788325,True,28.852777990753886,31.296475489986598,not_calibrated_not_predictable
PVP-VA,0.5,313.15,0.75,0.022291748142354326,345.23634860342514,323.8243703800944,10.674370380094444,True,273.8243703800944,True,6.342967365869253,8.786664865101965,not_calibrated_not_predictable
Soluplus,0.1,298.15,0.6,0.017681728880157174,340.8482830953554,323.93420467463795,25.784204674637976,True,273.93420467463795,True,19.03628847416516,21.479985973397874,not_calibrated_not_predictable
