permeability_scenario,time_h,external_adc_molecules_per_cell,free_surface_receptor_molecules_per_cell,bound_adc_molecules_per_cell,endosome_adc_molecules_per_cell,lysosome_adc_molecules_per_cell,recycling_receptor_molecules_per_cell,degraded_adc_molecules_per_cell,cytoplasm_payload_molecules_per_cell,exported_payload_molecules_per_cell,metabolized_payload_molecules_per_cell
High permeability,0.0,6022140.760000001,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High permeability,0.1,5928162.476450247,906022.9219853181,93738.84808937977,238.2299253030779,1.1757791807222369,238.2299253030779,0.029755890956127785,0.1184535466793197,0.00047806356572764293,7.170953485914641e-05
High permeability,0.2,5845101.354207947,822969.9031004983,176120.92839123806,909.1685082664708,8.855290947666921,909.1685082664708,0.4536016041356139,1.7972664622276624,0.014635958428054083,0.0021953937642081116
High permeability,0.30000000000000004,5771480.456611001,749370.0450228617,248676.02343457824,1953.931542564409,28.15941866943432,1953.931542564409,2.1889931920292107,8.632154270598992,0.10637325534429093,0.015955988301643634
High permeability,0.4,5706060.797922444,683989.5775479658,312688.9504455064,3321.472006534264,62.941803866499626,3321.472006534264,6.597821656855999,25.89324903657287,0.42917290975239253,0.06437593646285887
High permeability,0.5,5647795.618842249,625786.2422612675,369246.38857877016,4967.369159969888,116.01538998503776,4967.369159969888,15.368029036194498,60.01913479269139,1.254370354456616,0.18815555316849236
High permeability,0.6000000000000001,5595794.865473859,573873.863245394,419273.2958702475,6852.840884367136,189.34316011488588,6852.840884367136,30.414611421686324,118.19901275594627,2.9902093339522082,0.4485314000928311
High permeability,0.7000000000000001,5549297.304202834,527494.5402512582,463561.52861459495,8943.931134155951,284.19884463479787,8943.931134155951,53.79720378960912,208.02990809908664,6.193310270602579,0.9289965405903868
High permeability,0.8,5507648.418545498,485996.6127290179,502792.55110034085,11210.836170650004,401.30214895960927,11210.836170650004,87.65203456147177,337.23846841570236,11.573945109119851,1.7360917663679776
High permeability,0.9,5470282.730043388,448817.0386624463,537555.6195688255,13627.341768735405,540.9322105665863,13627.341768735405,134.13640849352018,513.4586083491948,19.99631966388435,2.9994479495826525
High permeability,1.0,5436709.539144272,415467.18564229686,568362.4643819346,16170.349975772955,703.0223790608773,16170.349975772955,195.38411896697656,744.0574095825973,32.47490362400743,4.871235543601114
High permeability,1.1,5406501.333560469,385521.28288533684,595659.2384301235,18819.478684540692,887.2389667308264,18819.478684540692,273.4703581402665,1036.0025218710027,50.16770311803953,7.525155467705928
High permeability,1.2000000000000002,5379284.296591303,358606.9676709979,619836.311411234,21556.720917766284,1093.0462588894918,21556.720917766284,370.3848208066756,1395.7649636868011,74.36724600426648,11.155086900639967
High permeability,1.3,5354730.481486735,334397.493086434,641236.3535113323,24366.15340222883,1319.7597923475928,24366.15340222883,488.011807353957,1829.2517944475971,106.48993243350421,15.973489865025623
High permeability,1.4000000000000001,5332551.315747545,312605.26166133577,660161.052335418,27233.68600323579,1566.589668144938,27233.68600323579,628.1162456488962,2341.7637162952124,148.06429160482725,22.209643740724083
High permeability,1.5,5312492.178792668,292976.4288690974,676876.7256946019,30146.845436282845,1832.6754349005962,30146.845436282845,792.3346415323506,2937.9731151238893,200.71860533832904,30.10779080074935
High permeability,1.6,5294327.848385319,275286.3723661038,691619.039896488,33094.587737383226,2117.1138992573347,33094.587737383226,982.1700815314631,3621.918616799365,266.1682628834869,39.92523943252303
