replicate,dar_0_fraction,dar_1_fraction,dar_2_fraction,dar_3_fraction,dar_4_fraction,dar_5_fraction,dar_6_fraction,dar_7_fraction,dar_8_fraction,mean_dar
0,0.001,0.015,0.08299999999999999,0.228,0.33499999999999996,0.247,0.077,0.014,0.0,4.0
1,0.0,0.014,0.07600000000000001,0.24100000000000002,0.34600000000000003,0.228,0.079,0.015,0.001,4.0
2,0.0,0.017,0.07100000000000001,0.257,0.318,0.24,0.082,0.015,0.0,3.9989999999999997
3,0.0,0.009000000000000001,0.07300000000000001,0.256,0.32799999999999996,0.255,0.064,0.015,0.0,3.9989999999999997
4,0.0,0.012,0.084,0.248,0.317,0.244,0.078,0.016,0.001,4.0
5,0.001,0.011,0.087,0.235,0.329,0.245,0.077,0.015,0.0,3.9979999999999998
6,0.001,0.01,0.079,0.245,0.33599999999999997,0.23299999999999998,0.084,0.012,0.0,4.0
7,0.001,0.01,0.083,0.228,0.351,0.23700000000000002,0.082,0.007,0.001,3.998
8,0.001,0.014,0.083,0.23,0.339,0.241,0.07500000000000001,0.017,0.0,4.0
9,0.001,0.013000000000000001,0.08,0.257,0.315,0.224,0.094,0.016,0.0,4.0
10,0.0,0.01,0.079,0.24100000000000002,0.34,0.242,0.077,0.011,0.0,4.0
11,0.0,0.007,0.08399999999999999,0.244,0.34299999999999997,0.227,0.081,0.013,0.001,3.9989999999999997
12,0.001,0.013999999999999999,0.095,0.225,0.328,0.23399999999999999,0.08600000000000001,0.013,0.004,4.0
13,0.0,0.016,0.093,0.221,0.342,0.219,0.092,0.016,0.001,4.0
14,0.001,0.014000000000000002,0.081,0.245,0.315,0.251,0.079,0.014,0.0,3.9979999999999998
15,0.0,0.015000000000000001,0.08499999999999999,0.22799999999999998,0.338,0.238,0.083,0.013,0.0,4.0
16,0.0,0.009000000000000001,0.07,0.259,0.336,0.24,0.07400000000000001,0.011,0.001,3.999
17,0.0,0.016,0.074,0.215,0.367,0.254,0.065,0.009,0.0,4.0
18,0.0,0.008,0.095,0.235,0.33199999999999996,0.23299999999999998,0.077,0.019,0.001,3.9989999999999997
19,0.0,0.013000000000000001,0.092,0.23,0.33099999999999996,0.23099999999999998,0.088,0.014,0.001,3.9999999999999996
20,0.002,0.016,0.094,0.24,0.297,0.24000000000000002,0.089,0.022,0.0,4.0
21,0.002,0.013999999999999999,0.08800000000000001,0.223,0.329,0.252,0.082,0.008,0.002,3.999
22,0.0,0.012,0.08099999999999999,0.246,0.32399999999999995,0.24,0.088,0.008,0.001,4.0
23,0.0,0.013000000000000001,0.091,0.244,0.307,0.245,0.081,0.018,0.001,4.0
