time_min,salt_m,dar_0_signal,dar_1_signal,dar_2_signal,dar_3_signal,dar_4_signal,dar_5_signal,dar_6_signal,dar_7_signal,dar_8_signal,total_signal
0.0,1.5,6.7917283391831236e-06,3.0115290379597475e-05,7.615275253709438e-05,0.00011171453326795083,9.22432846857381e-05,4.1825481386305065e-05,9.966018326514542e-06,1.1318579268412439e-06,4.681683248586996e-08,0.00036998776368171065
0.005,1.4997857142857143,6.829769383543605e-06,3.0192481680487084e-05,7.627220268933693e-05,0.00011183827224655329,9.232137920144406e-05,4.1853936079522287e-05,9.971657551642974e-06,1.1324041699183725e-06,4.683647509094924e-08,0.0003704589394775395
0.01,1.4995714285714286,6.868147403352302e-06,3.0269972565486466e-05,7.639193493955332e-05,0.00011196221722555807,9.239957301728603e-05,4.1882419835932936e-05,9.977301566329301e-06,1.1329508086310748e-06,4.685613006315037e-08,0.00037093137349219265
0.015,1.4993571428571428,6.906866650017432e-06,3.0347764599874638e-05,7.651195017937993e-05,0.00011208636866315547,9.247786630183076e-05,4.1910932695151835e-05,9.982950376000984e-06,1.133497843361617e-06,4.687579741285955e-08,0.00037140507310618555
0.02,1.499142857142857,6.945931447731056e-06,3.0425859359255222e-05,7.663224930398926e-05,0.00011221072701881217,9.255625922400301e-05,4.193947469686133e-05,9.98860398609319e-06,1.134045274492731e-06,4.689547715047397e-08,0.00037188004578838843
0.025,1.4989285714285714,6.985346195105313e-06,3.0504258429638882e-05,7.675283321210679e-05,0.00011233529275327555,9.263475195308654e-05,4.196804588081149e-05,9.994262402048787e-06,1.1345931024076076e-06,4.6915169286401657e-08,0.00037235629909776734
0.03,1.4987142857142857,7.025115366854516e-06,3.05829634075268e-05,7.687370280602821e-05,0.00011246006632857801,9.271334465872531e-05,4.199664628682013e-05,9.999925629318369e-06,1.1351413274899031e-06,4.693487383106164e-08,0.0003728338406851723
0.035,1.4985,7.065243515524828e-06,3.066197589999466e-05,7.699485899163637e-05,0.00011258504820804142,9.279203751092396e-05,4.202527595477315e-05,1.0005593673360248e-05,1.1356899501237369e-06,4.695459079488385e-08,0.0003733126782951732
0.04,1.4982857142857142,7.105735273272943e-06,3.0741297524777665e-05,7.711630267841835e-05,0.00011271023885628125,9.287083068004908e-05,4.20539349246245e-05,1.00112665396405e-05,1.136238970693693e-06,4.6974320188309225e-08,0.0003737928197679463
0.045,1.4980714285714285,7.146595353695616e-06,3.08209299103562e-05,7.723803477948303e-05,0.00011283563873921111,9.29497243368299e-05,4.208262323639642e-05,1.0016944233632953e-05,1.1367883895848218e-06,4.6994062021789675e-08,0.00037427427304121183
0.05,1.4978571428571428,7.187828553711316e-06,3.090087469604238e-05,7.736005621157804e-05,0.00011296124832404678,9.302871865235948e-05,4.2111340930179464e-05,1.0022626760819195e-05,1.137338207182638e-06,4.7013816305788e-08,0.0003747570461522251
0.055,1.497642857142857,7.2294397554961115e-06,3.098113353206738e-05,7.748236789510774e-05,0.00011308706807931109,9.310781379809521e-05,4.21400880461328e-05,1.002831412668861e-05,1.1378884238731234e-06,4.7033583050778175e-08,0.0003752411472398228
0.06,1.4974285714285716,7.271433928475233e-06,3.106170807966972e-05,7.760497075415028e-05,0.00011321309847483789,9.318700994586035e-05,4.216886462448424e-05,1.0034006336738386e-05,1.1384390400427277e-06,4.705336226724506e-08,0.00037572658454652604
0.065,1.4972142857142856,7.313816131372361e-06,3.114260001118415e-05,7.772786571647573e-05,0.00011333933998177657,9.326630726784437e-05,4.219767070553039e-05,1.0039703396473523e-05,1.1389900560783693e-06,4.7073153965684654e-08,0.00037621336642070115
0.07,1.4969999999999999,7.3565915143185025e-06,3.1223811010131626e-05,7.785105371356339e-05,0.00011346579307259662,9.334570593660427e-05,4.222650632963686e-05,1.004540531140682e-05,1.1395414723674327e-06,4.7092958156603875e-08,0.0003767015013187821
0.075,1.4967857142857144,7.399765321022547e-06,3.130534277130997e-05,7.797453568062007e-05,0.00011359245822109188,9.342520612506548e-05,4.225537153723832e-05,1.005111208705895e-05,1.1400932892977744e-06,4.711277485052078e-08,0.00037719099780755556
0.08,1.4965714285714284,7.443342891004869e-06,3.138719700088558e-05,7.809831255659783e-05,0.0001137193359023852,9.350480800652243e-05,4.22842663688387e-05,1.0056823728958417e-05,1.1406455072577192e-06,4.713260405796451e-08,0.0003776818645665087
0.085,1.4963571428571427,7.487329661897244e-06,3.146937541648574e-05,7.82223852842121e-05,0.00011384642659293286,9.35845117546402e-05,4.231319086501124e-05,1.0062540242641599e-05,1.1411981266360647e-06,4.715244578947526e-08,0.00037817411039024653
0.09,1.4961428571428572,7.531731171810084e-06,3.155187974729215e-05,7.834675480995979e-05,0.00011397373077052888,9.366431754345467e-05,4.234214506639883e-05,1.006826163365274e-05,1.141751147822077e-06,4.7172300055604315e-08,0.00037866774419097486
0.095,1.4959285714285715,7.576553061769986e-06,3.1634711734135145e-05,7.84714220841377e-05,0.00011410124891430984,9.374422554737422e-05,4.237112901371393e-05,1.0073987907543995e-05,1.1423045712054968e-06,4.7192166866914144e-08,0.0003791627750010572
0.1,1.4957142857142856,7.621801078229566e-06,3.171787312958871e-05,7.859638806086081e-05,0.00011422898150475919,9.382423594118014e-05,4.240014274773881e-05,1.007971906987541e-05,1.142858397176536e-06,4.72120462339783e-08,0.00037965921197564317
0.105,1.4955,7.66748107565207e-06,3.1801365698066836e-05,7.872165369808078e-05,0.00011435692902371206,9.390434890002783e-05,4.2429186309325806e-05,1.0085455126214954e-05,1.1434126261258814e-06,4.7231938167381455e-08,0.00038015706439537364
0.11,1.4952857142857143,7.713599019173232e-06,3.188519121592036e-05,7.884721995760452e-05,0.00011448509195435933,9.39845645994476e-05,4.24582597393972e-05,1.0091196082138535e-05,1.1439672584446923e-06,4.72518426777195e-08,0.0003806563416691632
0.115,1.4950714285714284,7.760160987342896e-06,3.19693514715349e-05,7.897308780511282e-05,0.00011461347078125288,9.406488321534606e-05,4.248736307894561e-05,1.0096941943229998e-05,1.1445222945246043e-06,4.727175977559943e-08,0.00038115705333706537
0.12,1.4948571428571429,7.80717317494909e-06,3.205384826542981e-05,7.909925821017934e-05,0.00011474206599030967,9.414530492400643e-05,4.251649636903404e-05,1.0102692715081152e-05,1.1450777347577285e-06,4.7291689471639493e-08,0.0003816592090732189
0.125,1.4946428571428572,7.854641895927221e-06,3.213868341035809e-05,7.922573214628933e-05,0.00011487087806881658,9.422582990209007e-05,4.2545659650796e-05,1.0108448403291776e-05,1.1456335795366507e-06,4.7311631776469106e-08,0.0003821628186888822
0.13,1.4944285714285714,7.902573586357195e-06,3.222385873140711e-05,7.935251059085873e-05,0.00011499990750543521,9.43064583266372e-05,4.257485296543568e-05,1.0114209013469648e-05,1.1461898292544358e-06,4.733158670072891e-08,0.0003826678921355559
