frame,assumed_time_ns,state,interpolation_q,z1,z2
0,0.0,0,0.0521802206536162,-0.5361329052116277,0.302583016343918
1,10.0,0,0.18611094895326236,-0.2877481763487877,-0.23152236956665193
2,20.0,0,0.0904028274262992,-0.5029554926221025,0.10590520535723102
3,30.0,0,0.09995654404673092,-0.5226863694200262,0.17595530312727087
4,40.0,1,0.30530585694576534,0.1871712643909772,-0.4458092673425667
5,50.0,1,0.22565298634518696,-0.11293731290462375,-0.36823883566542
6,60.0,1,0.2948388610632187,-0.07623855726730788,-0.37970217640736026
7,70.0,1,0.3996164434502704,0.38180207633769553,-0.38898473817308044
8,80.0,1,0.39479368813820204,0.31040575925281644,-0.41432807899990753
9,90.0,1,0.29078875258742,-0.050784617133866845,-0.387877931368752
10,100.0,1,0.2020339009902353,-0.29841025980370683,-0.21517512569086056
11,110.0,1,0.30693624131317954,-0.0029553678853556395,-0.4073555713754812
12,120.0,1,0.3913793329918634,0.4168108234878817,-0.3792186600906053
13,130.0,1,0.3041879602889843,0.11568810282010927,-0.43574562019219104
14,140.0,1,0.2948586193450282,0.02564030881971071,-0.41648063160698323
15,150.0,2,0.5871008560992517,0.7528436154661198,0.04026524540887074
16,160.0,1,0.2774095169997935,-0.16655405498751313,-0.33040330528366224
17,170.0,2,0.584813070053262,0.7431233341097163,0.029599295198213433
18,180.0,2,0.4580098820295119,0.5426220446075594,-0.2879592299639524
19,190.0,2,0.5253756212675809,0.6154438383644603,-0.22208178162483566
20,200.0,1,0.3988505469991144,0.22248621267780427,-0.4477291059038751
21,210.0,2,0.4628978178632404,0.4689840887148563,-0.3531008827992393
22,220.0,1,0.3264796593066537,0.13714986789355652,-0.43464479113742516
23,230.0,1,0.20592015215583967,-0.33959010004480933,-0.17048780907613487
24,240.0,0,0.058795789402546414,-0.5322522114345102,0.23185081508147076
25,250.0,1,0.3797331916472057,0.23590276204421157,-0.4387363104009068
26,260.0,1,0.34720370226861536,0.3430909558937519,-0.41445551503274997
27,270.0,0,0.07114667249506393,-0.5288456412643179,0.21123552960062278
