conf_kcal,splice_kcal,total_l_M,inclusion_proxy_percent
4.0,-2.0,1e-07,9.098004429656653
4.0,-2.0,1e-06,29.372122610905194
4.0,-2.0,1e-05,50.59092929112213
4.0,-2.5,1e-07,14.206122700843535
4.0,-2.5,1e-06,47.07970920306853
4.0,-2.5,1e-05,69.55236038616613
4.0,-3.0,1e-07,23.795292865636448
4.0,-3.0,1e-06,66.11919263857307
4.0,-3.0,1e-05,83.64760160966026
4.0,-3.5,1e-07,39.018940923037974
4.0,-3.5,1e-06,81.25795086868739
4.0,-3.5,1e-05,91.98862563425308
4.0,-4.0,1e-07,57.8235449782733
4.0,-4.0,1e-06,90.65083417320956
4.0,-4.0,1e-05,96.26997562782219
4.5,-2.0,1e-07,6.770734463315609
4.5,-2.0,1e-06,19.73945672801765
4.5,-2.0,1e-05,45.73995825025294
4.5,-2.5,1e-07,9.301506642806658
4.5,-2.5,1e-06,33.3446570718668
4.5,-2.5,1e-05,65.1448055114016
4.5,-3.0,1e-07,14.509634590393974
4.5,-3.0,1e-06,51.69077218878135
4.5,-3.0,1e-05,80.6673314169674
4.5,-3.5,1e-07,24.24835919019425
4.5,-3.5,1e-06,70.12569626158849
4.5,-3.5,1e-05,90.34013280315709
4.5,-4.0,1e-07,39.61036220061724
4.5,-4.0,1e-06,83.9131397851582
4.5,-4.0,1e-05,95.45585129659571
5.0,-2.0,1e-07,5.6557100906083475
5.0,-2.0,1e-06,12.714955686691612
5.0,-2.0,1e-05,37.80246817005634
5.0,-2.5,1e-07,6.839655922148087
5.0,-2.5,1e-06,21.280815110808838
5.0,-2.5,1e-05,57.07456162963827
5.0,-3.0,1e-07,9.395057477989244
5.0,-3.0,1e-06,35.47660324738085
5.0,-3.0,1e-05,74.67738183248919
5.0,-3.5,1e-07,14.64889737281797
5.0,-3.5,1e-06,54.042950579958706
5.0,-3.5,1e-05,86.82173820507786
5.0,-4.0,1e-07,24.45547450509497
5.0,-4.0,1e-06,72.06635973996164
5.0,-4.0,1e-05,93.6608073702246
5.5,-2.0,1e-07,5.142833702272996
5.5,-2.0,1e-06,8.617161244950948
5.5,-2.0,1e-05,27.756283486710164
5.5,-2.5,1e-07,5.681429068018924
5.5,-2.5,1e-06,13.223803034256253
5.5,-2.5,1e-05,44.9703539740316
5.5,-3.0,1e-07,6.870763631519115
5.5,-3.0,1e-06,22.045715144985966
5.5,-3.0,1e-05,64.12934431671627
5.5,-3.5,1e-07,9.437266173104506
5.5,-3.5,1e-06,36.51392734211754
5.5,-3.5,1e-05,79.86598608462594
5.5,-4.0,1e-07,14.711676315666649
5.5,-4.0,1e-06,55.15827598937294
5.5,-4.0,1e-05,89.86379506269799
6.0,-2.0,1e-07,4.911370972265043
6.0,-2.0,1e-06,6.531602348065288
6.0,-2.0,1e-05,18.406453060100542
6.0,-2.5,1e-07,5.153227519471638
6.0,-2.5,1e-06,8.781475433003727
6.0,-2.5,1e-05,31.208665071893837
6.0,-3.0,1e-07,5.692937514994337
6.0,-3.0,1e-06,13.463214283865504
6.0,-3.0,1e-05,49.104898527759985
6.0,-3.5,1e-07,6.884682516168622
6.0,-3.5,1e-06,22.40350648665738
6.0,-3.5,1e-05,67.8550630389287
6.0,-4.0,1e-07,9.456148974839135
6.0,-4.0,1e-06,36.99455096483324
6.0,-4.0,1e-05,82.40905300625192
6.5,-2.0,1e-07,4.807809808393521
6.5,-2.0,1e-06,5.543813664117711
6.5,-2.0,1e-05,11.875146255355293
6.5,-2.5,1e-07,4.915778957419197
6.5,-2.5,1e-06,6.588732237945334
6.5,-2.5,1e-05,19.698650617518236
6.5,-3.0,1e-07,5.157860198490495
6.5,-3.0,1e-06,8.85651504316629
6.5,-3.0,1e-05,33.03341207548884
6.5,-3.5,1e-07,5.69806695161877
6.5,-3.5,1e-06,13.572394451814773
6.5,-3.5,1e-05,51.195848990092344
6.5,-4.0,1e-07,6.890886140069793
6.5,-4.0,1e-06,22.56623070238909
6.5,-4.0,1e-05,69.65293266594267
7.0,-2.0,1e-07,4.761653749045449
7.0,-2.0,1e-06,5.091941868628433
7.0,-2.0,1e-05,8.17185013925831
7.0,-2.5,1e-07,4.809726283090695
7.0,-2.5,1e-06,5.565662758295874
7.0,-2.5,1e-05,12.296348069047472
7.0,-3.0,1e-07,4.91774020452701
7.0,-3.0,1e-06,6.614438559441643
7.0,-3.0,1e-05,20.332692167025947
7.0,-3.5,1e-07,5.159921415530069
7.0,-3.5,1e-06,8.890269681537813
7.0,-3.5,1e-05,33.914284677466185
7.0,-4.0,1e-07,5.700349181109537
7.0,-4.0,1e-06,13.621474687182545
7.0,-4.0,1e-05,52.18305408447298
7.5,-2.0,1e-07,4.74111807630223
7.5,-2.0,1e-06,4.888521864547918
7.5,-2.0,1e-05,6.316444328542387
7.5,-2.5,1e-07,4.762496902465304
7.5,-2.5,1e-06,5.100913116236373
7.5,-2.5,1e-05,8.308999848504458
7.5,-3.0,1e-07,4.8105783116505405
7.5,-3.0,1e-06,5.575426012718898
7.5,-3.0,1e-05,12.49320318699746
7.5,-3.5,1e-07,4.91861213782048
7.5,-3.5,1e-06,6.625924690410042
7.5,-3.5,1e-05,20.62764927825517
7.5,-4.0,1e-07,5.160837792922098
7.5,-4.0,1e-06,8.905349887664208
7.5,-4.0,1e-05,34.320882294429225
