scenario,time_h,F_nM,C_nM,P_nM,E_nM,PF_nM,PC_nM,EP_nM,EFP_nM,ECP_nM,target_degraded_nM,target_synthesized_nM
baseline,0.0,30.0,70.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,0.25,25.02826954255777,57.209017750887185,78.8731149993729,15.96236914922745,5.1497348359393005,11.939519313915195,3.395657498770082,0.2375034778201258,0.4044698742008743,0.6564852046980567,0.6249999999999999
baseline,0.5,22.541651043516975,50.695431341516134,68.29584509764743,13.404792048625149,7.574347153116401,17.534599797861237,5.106917470254269,0.6543844838848372,0.8339059973380467,1.4156801828686572,1.2500000000000002
baseline,0.75,21.215802104564666,47.170603572368435,62.687899973183434,11.771310856422204,8.772721331870075,20.310689551368615,6.091206180742128,1.0732877908307488,1.0641951721947422,2.267700476992534,1.8750000000000004
baseline,1.0,20.474121262264923,45.14602041278659,59.62863440805639,10.707328909637269,9.374183473596677,21.704511027984104,6.679280589122253,1.4481651260656432,1.1652253753636768,3.1877733221272315,2.5000000000000004
baseline,1.25,20.039302300818076,43.90067016378825,57.94484228620969,10.001305248705618,9.673305109022827,22.383157853473005,7.027583549051102,1.7697924307172848,1.2013187717178742,4.157453370654559,3.1250000000000004
baseline,1.5,19.76999794521938,43.06960249115662,57.027304894665185,9.525729687344578,9.816842234301163,22.68158255837813,7.226506577528586,2.040278729041359,1.2074850062844873,5.164211035817865,3.7500000000000004
baseline,1.75,19.591629937892893,42.4625388784074,56.54558691587122,9.201513173968921,9.880407824192444,22.77551843390515,7.3328036801603105,2.265171909524949,1.2005112365518054,6.199221779731337,4.375000000000001
baseline,2.0,19.463994925270487,41.97830024649412,56.315311580399836,8.978195476965618,9.90354506184219,22.759338834723494,7.382910559658492,2.4507524317300833,1.1881415318592095,7.255926968293822,5.000000000000002
baseline,2.25,19.365095405071752,41.56241748384086,56.231591785703294,8.822856364392608,9.906961966585325,22.684302612103895,7.400172215214148,2.6030476281171113,1.173923792498742,8.329251112004929,5.625000000000001
baseline,2.5,19.282744102793103,41.18536901541235,56.2339176486995,8.713672123264418,9.901387380948519,22.5783670936163,7.399367760550392,2.727479259979221,1.1594808564407928,9.415172291044547,6.250000000000001
baseline,2.75,19.210099872077723,40.83111700057056,56.286999539561634,8.636013597597707,9.892242942656333,22.45677111537963,7.389682341754479,2.828765684678382,1.145538376219922,10.510465008667948,6.875
baseline,3.0,19.14326047102759,40.490959996633975,56.37007199141255,8.579997763207162,9.882142250052507,22.327783521742,7.37667711099438,2.910932449008391,1.132392677057814,11.612528634745484,7.499999999999999
