scenario,KD_apical_nM,initial_plasma_nM,pH_slope,receptor_nmol,plasma_AUC_nM_h,brain_AUC_nM_h,Kp_extravascular,Kp_with_vascular_contamination,lysosomal_loss_nmol
pH_sensitivity,0.1,100.0,0.0,0.03,2948.049119008554,0.09074770893906808,3.078229204321638e-05,0.05003078229204322,0.0997337924978724
pH_sensitivity,0.1333521432163324,100.0,0.0,0.03,2948.047912422863,0.12061638474301717,4.091398387208985e-05,0.050040913983872094,0.0995315894038372
pH_sensitivity,0.1778279410038923,100.0,0.0,0.03,2948.04631863548,0.16014383062390103,5.432201984466259e-05,0.050054322019844666,0.09926373509540869
pH_sensitivity,0.23713737056616552,100.0,0.0,0.03,2948.0442162383956,0.21232405962359435,7.202200647265483e-05,0.050072022006472656,0.0989096737165937
pH_sensitivity,0.31622776601683794,100.0,0.0,0.03,2948.041467883804,0.280983719085032,9.531199684471564e-05,0.05009531199684471,0.09844297092333933
pH_sensitivity,0.4216965034285822,100.0,0.0,0.03,2948.037878361176,0.3709446077711815,0.00012582762606069053,0.05012582762606069,0.09783002840080869
pH_sensitivity,0.5623413251903491,100.0,0.0,0.03,2948.033230052155,0.4881675883845468,0.000165590938191667,0.050165590938191666,0.09702879855569085
pH_sensitivity,0.7498942093324559,100.0,0.0,0.03,2948.027262006098,0.6398338600896973,0.0002170379725913043,0.0502170379725913,0.09598771465322689
pH_sensitivity,1.0,100.0,0.0,0.03,2948.019693887483,0.83429396755263,0.00028300149055397473,0.05028300149055399,0.09464519416016104
pH_sensitivity,1.333521432163324,100.0,0.0,0.03,2948.01024002742,1.0807866332742893,0.0003666156306377812,0.050366615630637775,0.09293021878052378
pH_sensitivity,1.7782794100389228,100.0,0.0,0.03,2947.998679506761,1.3888077961567196,0.00047110190578141144,0.050471101905781406,0.09076461249409001
pH_sensitivity,2.371373705661655,100.0,0.0,0.03,2947.984868758389,1.767011018334387,0.000599396230645717,0.05059939623064572,0.08806763008245878
pH_sensitivity,3.1622776601683795,100.0,0.0,0.03,2947.9689479145604,2.22156282228131,0.0007535909846855336,0.05075359098468553,0.08476329028868584
pH_sensitivity,4.216965034285822,100.0,0.0,0.03,2947.9513491872904,2.7539739690398246,0.0009341992600383508,0.05093419926003836,0.08079045895425446
pH_sensitivity,5.623413251903491,100.0,0.0,0.03,2947.9330594140984,3.358577963594131,0.0011392992635530363,0.05113929926355304,0.07611514944006667
pH_sensitivity,7.498942093324558,100.0,0.0,0.03,2947.915648852563,4.02001288726615,0.001363679754144555,0.05136367975414456,0.07074390338457053
pH_sensitivity,10.0,100.0,0.0,0.03,2947.9014431450937,4.711262319063933,0.0015981749763104437,0.05159817497631045,0.06473651671085506
pH_sensitivity,13.33521432163324,100.0,0.0,0.03,2947.89336597559,5.393013267586089,0.0018294465226700288,0.05182944652267002,0.058215460501230984
pH_sensitivity,17.78279410038923,100.0,0.0,0.03,2947.894851424474,6.015252074091073,0.002040524637839236,0.05204052463783923,0.05136795946965592
pH_sensitivity,23.71373705661655,100.0,0.0,0.03,2947.9092825579773,6.521977208240132,0.0022124077042767216,0.05221240770427672,0.044435453470732515
pH_sensitivity,31.622776601683793,100.0,0.0,0.03,2947.9393891273185,6.859328073333992,0.0023268212700141592,0.05232682127001416,0.03768649620723304
pH_sensitivity,42.169650342858226,100.0,0.0,0.03,2947.9865961822165,6.986046240247754,0.002369768658139429,0.05236976865813942,0.03137551931589759
pH_sensitivity,56.23413251903491,100.0,0.0,0.03,2948.05037810845,6.883377668778772,0.002334891465862716,0.05233489146586272,0.025699590194505382
pH_sensitivity,74.98942093324558,100.0,0.0,0.03,2948.128286755102,6.560589740332629,0.0022253406575985985,0.05222534065759859,0.020770243855602184
pH_sensitivity,100.0,100.0,0.0,0.03,2948.2161785537046,6.053489752326794,0.002053272007786224,0.05205327200778622,0.01661093440116199
pH_sensitivity,133.3521432163324,100.0,0.0,0.03,2948.3089688849177,5.416330401990286,0.0018370972849696958,0.051837097284969706,0.013176854773846697
pH_sensitivity,177.82794100389228,100.0,0.0,0.03,2948.401558586866,4.710273604148223,0.0015975685504676647,0.05159756855046767,0.010384236948519662
pH_sensitivity,237.13737056616552,100.0,0.0,0.03,2948.489525236441,3.9924136446214202,0.0013540538673954647,0.05135405386739545,0.008136434342892514
pH_sensitivity,316.22776601683796,100.0,0.0,0.03,2948.569640878134,3.308214001436464,0.0011219724830549436,0.05112197248305493,0.006340560640061541
pH_sensitivity,421.6965034285823,100.0,0.0,0.03,2948.6399883368667,2.6882796686851713,0.0009117015570969899,0.050911701557097,0.004914878857478574
pH_sensitivity,562.341325190349,100.0,0.0,0.03,2948.6998850183154,2.1488101827925075,0.0007287313957280398,0.05072873139572803,0.0037902385859347456
pH_sensitivity,749.8942093324558,100.0,0.0,0.03,2948.749568942935,1.6943236207708625,0.0005745905446213399,0.05057459054462134,0.002908904972431052
pH_sensitivity,1000.0,100.0,0.0,0.03,2948.789901766435,1.3212224350499433,0.00044805580562334467,0.050448055805623344,0.0022228302041653503
pH_sensitivity,1333.521432163324,100.0,0.0,0.03,2948.8220786773604,1.0211691678208108,0.0003462973148515075,0.050346297314851504,0.001692162443512162
pH_sensitivity,1778.2794100389228,100.0,0.0,0.03,2948.8473904614157,0.7837401209462243,0.00026577846092726753,0.05026577846092727,0.0012840874857410985
pH_sensitivity,2371.373705661655,100.0,0.0,0.03,2948.867078537806,0.5982270204009019,0.000202866729651827,0.05020286672965183,0.0009718770840147902
pH_sensitivity,3162.2776601683795,100.0,0.0,0.03,2948.882262911383,0.4546920165486257,0.00015419130911646357,0.050154191309116455,0.0007340315088640438
pH_sensitivity,4216.965034285822,100.0,0.0,0.03,2948.8938956683737,0.3444709622882913,0.00011681361706309076,0.05011681361706309,0.0005534719156578423
pH_sensitivity,5623.413251903491,100.0,0.0,0.03,2948.9027624162145,0.26031905313966563,8.827658085489753e-05,0.05008827658085489,0.0004167851667781296
pH_sensitivity,7498.942093324558,100.0,0.0,0.03,2948.9094919921235,0.1963524261269335,6.658475842006545e-05,0.05006658475842007,0.00031353974661674564
pH_sensitivity,10000.0,100.0,0.0,0.03,2948.9145882096727,0.14789131679995998,5.0151102168661614e-05,0.050050151102168663,0.00023568832130139503
pH_sensitivity,0.1,100.0,0.7,0.03,2948.004821546115,1.0627148582557202,0.000360486133024154,0.05036048613302415,0.09375267872697352
pH_sensitivity,0.1333521432163324,100.0,0.7,0.03,2947.991044989587,1.3687579131580514,0.00046430192367252803,0.050464301923672523,0.09186119330059034
pH_sensitivity,0.1778279410038923,100.0,0.7,0.03,2947.974039506159,1.7470091082638093,0.000592613464315468,0.05059261346431547,0.0895274456457112
pH_sensitivity,0.23713737056616552,100.0,0.7,0.03,2947.953460870025,2.2059201679529075,0.0007482886677939202,0.05074828866779392,0.08670131717416604
pH_sensitivity,0.31622776601683794,100.0,0.7,0.03,2947.929117110095,2.750852501241633,0.0009331474373910118,0.05093314743739101,0.08335168877280233
pH_sensitivity,0.4216965034285822,100.0,0.7,0.03,2947.9010204491824,3.3823279427333928,0.0011473682186988812,0.0511473682186989,0.07947628838238215
pH_sensitivity,0.5623413251903491,100.0,0.7,0.03,2947.869559212375,4.09445889048942,0.0013889552465759022,0.051388955246575906,0.07510981798204144
pH_sensitivity,0.7498942093324559,100.0,0.7,0.03,2947.8354237439407,4.873947714186301,0.001653398854945597,0.05165339885494559,0.07032795330804938
pH_sensitivity,1.0,100.0,0.7,0.03,2947.7997628252897,5.700004227956859,0.0019336470203436564,0.05193364702034366,0.06524525658043512
pH_sensitivity,1.333521432163324,100.0,0.7,0.03,2947.764021979017,6.545376884593036,0.002220454838239975,0.052220454838239984,0.06000615704236718
pH_sensitivity,1.7782794100389228,100.0,0.7,0.03,2947.7299452460247,7.378453952804543,0.0025030969898393184,0.05250309698983932,0.05476977391424768
pH_sensitivity,2.371373705661655,100.0,0.7,0.03,2947.6993824823367,8.166114177700624,0.002770334799481391,0.052770334799481386,0.04969103153555155
pH_sensitivity,3.1622776601683795,100.0,0.7,0.03,2947.674219241319,8.876768672130343,0.0030114483528017122,0.05301144835280172,0.04490179716519874
pH_sensitivity,4.216965034285822,100.0,0.7,0.03,2947.6562719986896,9.482936304481852,0.003217110622620814,0.05321711062262081,0.040496065602252725
pH_sensitivity,5.623413251903491,100.0,0.7,0.03,2947.647154782756,9.962816953069341,0.0033799218257531266,0.05337992182575313,0.036522235000568656
pH_sensitivity,7.498942093324558,100.0,0.7,0.03,2947.6482663930947,10.300666963827066,0.0034945373507645574,0.05349453735076455,0.032983518516110116
pH_sensitivity,10.0,100.0,0.7,0.03,2947.6608565749757,10.486209993434766,0.0035574682786333775,0.053557468278633384,0.029845350854327265
pH_sensitivity,13.33521432163324,100.0,0.7,0.03,2947.685940288952,10.513645262985921,0.0035667453982412057,0.05356674539824121,0.027047216283250335
pH_sensitivity,17.78279410038923,100.0,0.7,0.03,2947.7242199081857,10.38090292082967,0.0035216669357057456,0.05352166693570576,0.024516043839253186
pH_sensitivity,23.71373705661655,100.0,0.7,0.03,2947.7760690962427,10.089622887790902,0.003422791504947754,0.05342279150494775,0.022178880727805765
pH_sensitivity,31.622776601683793,100.0,0.7,0.03,2947.841221542482,9.645981811738281,0.0032722189177783944,0.0532722189177784,0.01997335784726029
pH_sensitivity,42.169650342858226,100.0,0.7,0.03,2947.9186566076833,9.062078069145727,0.0030740597434170424,0.053074059743417036,0.017855049674819566
pH_sensitivity,56.23413251903491,100.0,0.7,0.03,2948.006518637643,8.357243209401709,0.002834879487737302,0.052834879487737296,0.015801175742504503
pH_sensitivity,74.98942093324558,100.0,0.7,0.03,2948.102027660212,7.558501668870084,0.0025638534887712,0.0525638534887712,0.013810421020852844
pH_sensitivity,100.0,100.0,0.7,0.03,2948.201708880828,6.699542444906776,0.002272416580156587,0.05227241658015659,0.011899141885623297
pH_sensitivity,133.3521432163324,100.0,0.7,0.03,2948.301740711507,5.818006148449719,0.0019733414894791846,0.05197334148947919,0.01009486176895363
pH_sensitivity,177.82794100389228,100.0,0.7,0.03,2948.398369353216,4.951498629822632,0.0016793858934703021,0.051679385893470306,0.008428521976395743
pH_sensitivity,237.13737056616552,100.0,0.7,0.03,2948.4883871445204,4.133277448342923,0.001401829312390753,0.05140182931239075,0.006927205923469565
pH_sensitivity,316.22776601683796,100.0,0.7,0.03,2948.5694020932083,3.388751340579972,0.0011492866127466002,0.051149286612746606,0.005608847171015815
pH_sensitivity,421.6965034285823,100.0,0.7,0.03,2948.6400896370064,2.7336554573870893,0.0009270902430562887,0.050927090243056285,0.0044797727467200035
pH_sensitivity,562.341325190349,100.0,0.7,0.03,2948.7000667102716,2.1741429685079328,0.0007373225215589742,0.05073732252155897,0.0035350440092266665
pH_sensitivity,749.8942093324558,100.0,0.7,0.03,2948.749732437429,1.708398605423831,0.0005793637169783388,0.05057936371697833,0.002760812606047519
pH_sensitivity,1000.0,100.0,0.7,0.03,2948.79002624232,1.3290287630946,0.0004507030854238876,0.05045070308542389,0.002137580768565139
