total_BiTE_nM,KD_CD3_nM,KD_TAA_nM,free_CD3_nM,free_TAA_nM,free_BiTE_nM,CD3_BiTE_nM,TAA_BiTE_nM,trimer_nM,trimer_complexes_per_target,max_mass_balance_error_nM
0.0001,10.0,0.1,8.302649972765176,16.605291270349046,3.270634269217347e-07,2.7154931526242253e-07,5.430983467913924e-05,4.509155474196366e-05,0.027154768974335067,2.163287059794676e-12
0.00012115276586285888,10.0,0.1,8.302640377248135,16.605270244205567,3.962470983262777e-07,3.289897157931165e-07,6.579790151190136e-05,5.4629631383090845e-05,0.03289873298558866,3.846252716278517e-12
0.0001467799267622069,10.0,0.1,8.302628752029644,16.60524477045068,4.800653633677103e-07,3.9858044887503104e-07,7.971602864536177e-05,6.618525914285994e-05,0.039857694679537946,6.838257553525712e-12
0.00017782794100389227,10.0,0.1,8.302614667785898,16.605213908306194,5.816139504028975e-07,4.828916515603997e-07,9.657824058495102e-05,8.018519168695698e-05,0.04828865112064368,3.1300209819840052e-12
0.00021544346900318845,10.0,0.1,8.302597604363129,16.60517651795035,7.046436340586264e-07,5.850372548064881e-07,0.00011700731925793503,9.714646885638832e-05,0.058502970979012664,7.105427357601002e-15
0.0002610157215682536,10.0,0.1,8.30257693160755,16.605131218505203,8.536985313623642e-07,7.08789773303641e-07,0.00014175776134317238,0.00011769547192041517,0.07087786987193677,1.0658141036401503e-14
0.00031622776601683794,10.0,0.1,8.302551886067745,16.605076336976463,1.0342841961463887e-06,8.587198203445261e-07,0.0001717436803113912,0.0001425910816889557,0.08587035650515497,2.1316282072803006e-14
0.00038311868495572853,10.0,0.1,8.302521542814098,16.605009846489367,1.253070975478206e-06,1.0403648768582882e-06,0.00020807255886165645,0.00017275269024173573,0.1040341017304411,1.5987211554602254e-14
0.00046415888336127773,10.0,0.1,8.302484781285456,16.60492929142947,1.5181405150547573e-06,1.2604338522094986e-06,0.00025208615906938565,0.00020929414992462787,0.12603988310906525,1.7763568394002505e-15
0.0005623413251903491,10.0,0.1,8.302440243914997,16.60483169675264,1.8392844449655452e-06,1.52705491958888e-06,0.0003054100865110797,0.00025356489931471494,0.1527003515468441,1.7763568394002505e-15
0.0006812920690579609,10.0,0.1,8.302386286008602,16.604713458111522,2.2283663192426305e-06,1.8500757969083483e-06,0.0003700138421073054,0.0003071997848345045,0.18500003457150996,1.7763568394002505e-15
0.0008254041852680181,10.0,0.1,8.302320915025968,16.604570208741,2.6997602235080573e-06,2.2414275769186127e-06,0.00044828358178005827,0.0003721794156875332,0.22413168292448774,1.0842021724855044e-19
