dose_mg,I_over_Ki,AUC_0_96,AUCR,Cmax_mg_l
10.0,0.0,0.6479896339618866,1.0,2.0
10.0,0.1,0.6877023347079487,1.0612860124061767,2.0
10.0,0.3,0.7609753407253464,1.1743634478728489,2.0
10.0,1.0,0.9638199345136448,1.4874002360512062,2.0
10.0,3.0,1.282072367190809,1.9785383901160027,2.0
10.0,10.0,1.6083862557062965,2.4821172614636278,2.0
10.0,30.0,1.768054741224129,2.728523187036233,2.0
10.0,100.0,1.8362425856141813,2.833753025317972,2.0
100.0,0.0,7.2658270551640225,1.0,20.0
100.0,0.1,7.644500917349902,1.0521171037117854,20.0
100.0,0.3,8.339651336954311,1.1477910599354402,20.0
100.0,1.0,10.249974343786679,1.410709925513812,20.0
100.0,3.0,13.249784133766816,1.8235754901914203,20.0
100.0,10.0,16.39915854256904,2.2570257202741577,20.0
100.0,30.0,17.99215363288344,2.4762705602930533,20.0
100.0,100.0,18.686739334517657,2.5718667940542956,20.0
300.0,0.0,26.08393655961789,1.0,60.0
300.0,0.1,27.12213151098455,1.0398020808321529,60.0
300.0,0.3,29.004741287314857,1.1119771442865278,60.0
300.0,1.0,34.08192160998579,1.306624923430847,60.0
300.0,3.0,42.04793764704051,1.6120242261337752,60.0
300.0,10.0,50.79983357715551,1.9475524126140449,60.0
300.0,30.0,55.50214302493988,2.127828477809829,60.0
300.0,100.0,57.63459763275006,2.209582035327353,60.0
