gene,phenotype,I_over_Ki,parent_normalization,active_metabolite_normalization,interpretation
CYP2D6,PM,0.0,0.21999113237101936,,mathematical exposure scaling only; no dose recommendation
CYP2D6,PM,1.0,0.21999113237101936,,mathematical exposure scaling only; no dose recommendation
CYP2D6,PM,100.0,0.21999113237101936,,mathematical exposure scaling only; no dose recommendation
CYP2D6,IM,0.0,0.48784111325665386,1.4095384160726272,mathematical exposure scaling only; no dose recommendation
CYP2D6,IM,1.0,0.3526342656647571,2.0486188351704944,mathematical exposure scaling only; no dose recommendation
CYP2D6,IM,100.0,0.22257528279829228,65.79730992314539,mathematical exposure scaling only; no dose recommendation
CYP2D6,NM,0.0,1.0,1.0,mathematical exposure scaling only; no dose recommendation
CYP2D6,NM,1.0,0.6049515829060633,1.2191905992209129,mathematical exposure scaling only; no dose recommendation
CYP2D6,NM,100.0,0.2273808944512526,23.517553667003767,mathematical exposure scaling only; no dose recommendation
CYP2D6,UM,0.0,1.6377026509132298,0.9052997160006384,mathematical exposure scaling only; no dose recommendation
CYP2D6,UM,1.0,0.9206079086601895,1.0240502991186147,mathematical exposure scaling only; no dose recommendation
CYP2D6,UM,100.0,0.23330649076776072,13.399858818697535,mathematical exposure scaling only; no dose recommendation
CYP2C19,PM,0.0,0.21999113237101936,,mathematical exposure scaling only; no dose recommendation
CYP2C19,PM,1.0,0.21999113237101936,,mathematical exposure scaling only; no dose recommendation
CYP2C19,PM,100.0,0.21999113237101936,,mathematical exposure scaling only; no dose recommendation
CYP2C19,IM,0.0,0.48784111325665386,1.4095384160726272,mathematical exposure scaling only; no dose recommendation
CYP2C19,IM,1.0,0.3526342656647571,2.0486188351704944,mathematical exposure scaling only; no dose recommendation
CYP2C19,IM,100.0,0.22257528279829228,65.79730992314539,mathematical exposure scaling only; no dose recommendation
CYP2C19,NM,0.0,1.0,1.0,mathematical exposure scaling only; no dose recommendation
CYP2C19,NM,1.0,0.6049515829060633,1.2191905992209129,mathematical exposure scaling only; no dose recommendation
CYP2C19,NM,100.0,0.2273808944512526,23.517553667003767,mathematical exposure scaling only; no dose recommendation
CYP2C19,RM,0.0,1.3184981677380905,0.9387944100061212,mathematical exposure scaling only; no dose recommendation
CYP2C19,RM,1.0,0.762307760057807,1.0932976888806218,mathematical exposure scaling only; no dose recommendation
CYP2C19,RM,100.0,0.23034221870095478,17.013229210812145,mathematical exposure scaling only; no dose recommendation
CYP2C19,UM,0.0,1.6377026509132298,0.9052997160006384,mathematical exposure scaling only; no dose recommendation
CYP2C19,UM,1.0,0.9206079086601895,1.0240502991186147,mathematical exposure scaling only; no dose recommendation
CYP2C19,UM,100.0,0.23330649076776072,13.399858818697535,mathematical exposure scaling only; no dose recommendation
