step,time_ps,distance_nm,orientation_rad,potential_with_bias_kJ_mol,hills_deposited
250,0.25,3.948635855453242,-1.0600346606700988,-2021652.3446367385,1
300,0.3,3.950402587446517,-1.0554084727930044,-2023717.069487346,2
350,0.35000000000000003,3.952407096213786,-1.059011191812818,-2025059.0136074962,3
400,0.4,3.9543908918860855,-1.053590555322006,-2025989.4561231846,4
450,0.45,3.9567139355859138,-1.0524484182317915,-2028572.4596321986,5
500,0.5,3.9587192012657026,-1.0461511220783513,-2031630.222456683,6
550,0.55,3.9604477075223063,-1.0537695862066012,-2029424.8361339099,7
600,0.6,3.961380369814879,-1.0387235091602425,-2029086.929957411,8
650,0.65,3.961912588572166,-1.0336530802673496,-2030987.7076096314,9
700,0.7000000000000001,3.9629301363827585,-1.0234907485772569,-2031105.2863907611,10
750,0.75,3.9651668446742234,-1.0160250195621006,-2032301.8123869717,11
800,0.8,3.9676777782632775,-1.0106181098296565,-2031634.062248521,12
850,0.85,3.9689656090840906,-1.0014613913338655,-2031853.2099531828,13
900,0.9,3.9696901179396127,-0.9923132884781645,-2032179.3584668713,14
950,0.9500000000000001,3.969648130618193,-0.9989991188316011,-2033675.4495450903,15
1000,1.0,3.9699676859337276,-0.9890819310939298,-2035836.8789180804,16
1050,1.05,3.970451187499142,-1.00246556382321,-2034795.0762938054,17
1100,1.1,3.9712415735043187,-1.0092443200911478,-2035325.4276424833,18
1150,1.1500000000000001,3.972170533820997,-1.0093500232166577,-2038082.1354828107,19
1200,1.2,3.972654027932055,-1.00393828949212,-2038249.7790621608,20
