hill,time_ps,center_distance_nm,center_angle_rad,height_kJ_mol,bias_before_deposition_kJ_mol
1,0.25,3.948635855453242,-1.0600346606700988,0.25,0.0
2,0.3,3.950402587446517,-1.0554084727930044,0.2472343890923007,0.24972518620215567
3,0.35000000000000003,3.952407096213786,-1.059011191812818,0.24453424612239305,0.4962486398409909
4,0.4,3.9543908918860855,-1.053590555322006,0.24190710511077737,0.7387337441653742
5,0.45,3.9567139355859138,-1.0524484182317915,0.23935633559606195,0.9767027289723171
6,0.5,3.9587192012657026,-1.0461511220783513,0.2368959198102116,1.2086574776527381
7,0.55,3.9604477075223063,-1.0537695862066012,0.2344494057076507,1.441702786010998
8,0.6,3.961380369814879,-1.0387235091602425,0.23214879377152559,1.6630794172536314
9,0.65,3.961912588572166,-1.0336530802673496,0.2298573187925053,1.88576848854617
10,0.7000000000000001,3.9629301363827585,-1.0234907485772569,0.22778079036371923,2.0894945663565956
11,0.75,3.9651668446742234,-1.0160250195621006,0.22584564110498712,2.2810289267002846
12,0.8,3.9676777782632775,-1.0106181098296565,0.22399232436923694,2.4660085724392795
13,0.85,3.9689656090840906,-1.0014613913338655,0.22228526750150118,2.637749170609161
14,0.9,3.9696901179396127,-0.9923132884781645,0.22064557237447033,2.8039591573642255
15,0.9500000000000001,3.969648130618193,-0.9989991188316011,0.21813612534654298,3.060739756807022
16,1.0,3.9699676859337276,-0.9890819310939298,0.21659549440678133,3.2198533007962964
17,1.05,3.970451187499142,-1.00246556382321,0.21390036654298528,3.5009424058115073
18,1.1,3.9712415735043187,-1.0092443200911478,0.2117322949238824,3.729644624985867
19,1.1500000000000001,3.972170533820997,-1.0093500232166577,0.2098703259918285,3.927934206741479
20,1.2,3.972654027932055,-1.00393828949212,0.20817115266728753,4.110428228754795
