generation,population,front_size,evaluated_unique,best_pocket_score,median_pocket_score,mean_mpo,sa_below_3p5
0,100,31,100,19.21995198226838,13.47334692640448,5.2917828496636705,100
1,100,50,174,20.276424700587107,13.901813597522725,5.394344705086854,100
2,100,67,256,20.276424700587107,14.012574437382124,5.3600036486965426,100
3,100,80,323,20.276424700587107,13.669367127397575,5.344909827298276,100
4,100,82,385,20.276424700587107,13.830636599831573,5.294596544025728,100
5,100,86,453,20.276424700587107,13.970027774325118,5.344251259715808,100
6,100,79,510,20.669833162550738,14.069903728585725,5.353223969625545,100
7,100,87,565,20.669833162550738,14.184104944494427,5.386307837539509,100
8,100,94,616,20.669833162550738,14.249086405868486,5.347352886908713,100
9,100,98,668,20.669833162550738,13.889992555331766,5.3899959870816065,100
10,100,100,711,20.669833162550738,13.901447354986146,5.4256788928762445,100
11,100,100,752,20.669833162550738,13.732862913132877,5.406340359629358,100
12,100,100,794,20.669833162550738,13.621353532980457,5.371550232090664,100
13,100,96,838,20.669833162550738,14.190780399773367,5.320197943593489,100
14,100,100,872,20.669833162550738,14.090693807649142,5.354893437798852,100
15,100,100,906,20.669833162550738,14.155675269023199,5.355271865251098,100
16,100,100,940,20.669833162550738,14.387514199400538,5.379193787168056,100
17,100,100,970,20.669833162550738,14.292209241409092,5.384318659456463,100
18,100,100,1000,20.669833162550738,14.292209241409092,5.360494970959289,100
19,100,100,1034,20.669833162550738,14.51599796005102,5.364587176753926,100
