time_h,plasma_mg_l,free_plasma_nm,liver_mg_l,kidney_mg_l,brain_mg_l,lung_mg_l,rest_mg_l,amount_blood_mg,amount_liver_mg,amount_gut_depot_mg,amount_kidney_mg,amount_brain_mg,amount_lung_mg,amount_rest_mg,hepatic_eliminated_mg,renal_eliminated_mg,presystemic_loss_mg,auc_to_time_mg_h_l
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-05,1.6373020132641813e-08,3.6384489183648475e-06,0.0004999500458561962,7.28910821190094e-12,1.1073161678742665e-12,1.1381867466238443e-11,8.984147690402387e-14,8.186510066320905e-08,0.0008999100825411532,99.99900000499998,2.2596235456892913e-12,1.550242635023973e-12,5.6909337331192216e-12,5.4794316763764156e-12,3.5373551152558368e-09,3.7703299056985165e-14,9.99995000016652e-05,5.027106540931387e-14
1.03131007630134e-05,1.7414168533279728e-08,3.869815229617717e-06,0.0005156019069252018,7.403099349420624e-12,1.1246527758502597e-12,1.475301662920762e-11,9.124816292216034e-14,8.707084266639864e-08,0.0009280834324653633,99.99896869524169,2.2949607983203934e-12,1.5745138861903634e-12,7.37650831460381e-12,5.56522545662256e-12,3.762324535157781e-09,4.161961544870508e-14,0.00010313047583172393,5.5492820598273766e-14
1.063600473480678e-05,1.8521517791039454e-08,4.1158928424532125e-06,0.0005317437263773194,7.514655315444015e-12,1.1416207646349982e-12,1.850251391055948e-11,9.262494722824417e-14,9.260758895519726e-08,0.000957138707479175,99.99893640518273,2.329543147787645e-12,1.5982690704889973e-12,9.25125695527974e-12,5.649195531450612e-12,4.001601350886098e-09,4.5921441965266146e-14,0.000106359481727088,6.122858928702187e-14
1.0969018854594994e-05,1.9699276730490655e-08,4.377617051220146e-06,0.0005483908383233917,7.623440178207567e-12,1.1581691328578497e-12,2.2667409890700188e-11,9.396769199799242e-14,9.849638365245326e-08,0.000987103508982105,99.99890310413049,2.363266455244346e-12,1.6214367860009896e-12,1.1333704945350094e-11,5.731089534957558e-12,4.256095445799418e-09,5.064618252240884e-14,0.00010968958695127487,6.752824336321213e-14
1.1312459671883222e-05,2.0951921707288094e-08,4.655982601619577e-06,0.0005655590565716141,7.729102811808161e-12,1.1742445660348457e-12,2.728827933313363e-11,9.527207171171422e-14,1.0475960853644047e-07,0.0010180063018289055,99.99886876043138,2.39602187166053e-12,1.6439423924487838e-12,1.3644139666566815e-11,5.81064365369745e-12,4.526774565131519e-09,5.5834858059817874e-14,0.0001131239568625243,7.444647741309086e-14
1.1666653647365719e-05,2.228421360856478e-08,4.952047468569951e-06,0.0005832646896205129,7.83127727039838e-12,1.1897914923754932e-12,3.240955563948992e-11,9.653357767745058e-14,1.1142106804282389e-07,0.0010498764413169233,99.99883334144077,2.4276959538234977e-12,1.6657080893256903e-12,1.620477781974496e-11,5.887582902547711e-12,4.814667995342621e-09,6.15324562329517e-14,0.00011666585592226555,8.20432749772693e-14
1.2031937463246046e-05,2.370121593313499e-08,5.266936874029998e-06,0.0006015245561196879,7.929583339331662e-12,1.204752165332525e-12,3.807989717684363e-11,9.774752472325989e-14,1.1850607966567493e-07,0.0010827442010154383,99.99879681349202,2.458170835192815e-12,1.6866530314655349e-12,1.9039948588421816e-11,5.9616215328716214e-12,5.120870477412474e-09,6.778831492921564e-14,0.0001203186507977663,9.038441990562123e-14
1.2408658343273257e-05,2.5208314020043672e-08,5.6018475600097045e-06,0.0006203560008128424,8.023627290079882e-12,1.2190667769534506e-12,4.4352588528858424e-11,9.890906038789043e-14,1.2604157010021836e-07,0.0011166408014631163,99.99875914186438,2.487324459924763e-12,1.7066934877348307e-12,2.2176294264429212e-11,6.032463593057437e-12,5.446546368947107e-09,7.465654288188297e-14,0.00012408581356190593,9.954205717584434e-14
1.2797174382798401e-05,2.6811235498346875e-08,5.958052332965973e-06,0.0006397769109780918,8.11300286898332e-12,1.2326736065829084e-12,5.128598001556593e-11,1.0001317697884138e-13,1.3405617749173436e-07,0.0011515984397605652,99.99872029075007,2.5150308893848293e-12,1.7257430492160715e-12,2.5642990007782964e-11,6.099803663939536e-12,5.7929340709169375e-09,8.219648097209764e-14,0.00012797092499311437,1.0959530796279726e-13
1.31978548891654e-05,2.8516072035629152e-08,6.336904896806478e-06,0.0006598057333810143,8.197292553485423e-12,1.2455092100086961e-12,5.894396914811463e-11,1.010547269109314e-13,1.4258036017814575e-07,0.0011876503200858258,99.99868022322022,2.541160691580481e-12,1.7437128940121746e-12,2.9471984574057313e-11,6.1633277942977065e-12,6.16135073584938e-09,9.047320815690935e-14,0.00013197767797861536,1.206309442092129e-13
