compound,isoform,day14_cmax_uM,r1,r2_m12_5x,gut_dose250_over_ki,hepatic_further_evaluation,gut_further_evaluation,evidence
Ketoconazole,CYP3A4,0.4859453891501251,17.198179638337503,1.0,50179.07657954325,True,True,synthetic_screen_not_clinical_risk
Ketoconazole,CYP2D6,0.4859453891501251,1.0607431736437656,1.0,,True,not_assessed,synthetic_screen_not_clinical_risk
Ketoconazole,CYP2C9,0.4859453891501251,1.0607431736437656,1.0,,True,not_assessed,synthetic_screen_not_clinical_risk
Clarithromycin,CYP3A4,0.7386552493286093,1.0923319061660761,16.36414682300232,334.24694164048395,True,True,synthetic_screen_not_clinical_risk
Clarithromycin,CYP2D6,0.7386552493286093,1.0092331906166077,1.0,,False,not_assessed,synthetic_screen_not_clinical_risk
Clarithromycin,CYP2C9,0.7386552493286093,1.0092331906166077,1.0,,False,not_assessed,synthetic_screen_not_clinical_risk
Ritonavir,CYP3A4,0.13985664369404466,6.594265747761786,35.668651511357595,22193.24770438594,True,True,synthetic_screen_not_clinical_risk
Ritonavir,CYP2D6,0.13985664369404466,1.1398566436940447,1.1512256677139525,,True,not_assessed,synthetic_screen_not_clinical_risk
Ritonavir,CYP2C9,0.13985664369404466,1.0069928321847021,1.0,,False,not_assessed,synthetic_screen_not_clinical_risk
Fluconazole,CYP3A4,0.6770467501402788,1.3385233750701393,1.0,653.0185783785549,True,True,synthetic_screen_not_clinical_risk
Fluconazole,CYP2D6,0.6770467501402788,1.022568225004676,1.0,,True,not_assessed,synthetic_screen_not_clinical_risk
Fluconazole,CYP2C9,0.6770467501402788,2.3540935002805576,1.0,,True,not_assessed,synthetic_screen_not_clinical_risk
Quinidine,CYP3A4,0.6811875902671322,1.0454125060178088,1.0,164.3959476398907,True,True,synthetic_screen_not_clinical_risk
Quinidine,CYP2D6,0.6811875902671322,35.05937951335661,1.0,,True,not_assessed,synthetic_screen_not_clinical_risk
Quinidine,CYP2C9,0.6811875902671322,1.0227062530089044,1.0,,True,not_assessed,synthetic_screen_not_clinical_risk
Amoxicillin,CYP3A4,1.1286542037671206,1.0000000000011287,1.0,2.7367268746579093e-09,False,False,synthetic_screen_not_clinical_risk
Amoxicillin,CYP2D6,1.1286542037671206,1.0000000000011287,1.0,,False,not_assessed,synthetic_screen_not_clinical_risk
Amoxicillin,CYP2C9,1.1286542037671206,1.0000000000011287,1.0,,False,not_assessed,synthetic_screen_not_clinical_risk
