compound,probe,probe_time_h,auc_horizon_h,auc_control_mg_h_l,auc_inhibited_mg_h_l,dynamic_aucr,illustrative_threshold_band,generalized_constant_mean_static_aucr,m12_static_negligible_extrahepatic_aucr,probe_residual_fraction,mass_error_mg
Ketoconazole,Midazolam,0.0,564.0,0.025691733015079956,0.21807952606751443,8.488315129987962,strong_range,11.778434546619687,12.410158599695755,-4.958548367398986e-37,5.27599741673157e-10
Ketoconazole,Midazolam,312.0,252.0,0.025691733015079973,0.2999410847119644,11.674614730579346,strong_range,11.778434546619687,12.410158599695755,7.038803217480349e-27,1.0863807631267264e-09
Ketoconazole,Metoprolol,0.0,564.0,0.47348484862134704,0.48299553866555933,1.0200865773675858,below_weak_threshold,1.047087359158089,1.0478362942510808,-1.406718311585112e-118,1.496533741374151e-08
Ketoconazole,Metoprolol,312.0,252.0,0.4734848486213464,0.49977150554667366,1.0555174194102865,below_weak_threshold,1.047087359158089,1.0478362942510808,4.0546572637883195e-53,1.515932979145873e-08
Clarithromycin,Midazolam,0.0,564.0,0.025691733015079956,0.05852771210902446,2.278075678066216,moderate_range,6.541558502357176,6.712482989609193,-4.1320454993374626e-53,7.259925993707839e-10
Clarithromycin,Midazolam,312.0,252.0,0.025691733015079973,0.16444968837879725,6.400879546828241,strong_range,6.541558502357176,6.712482989609193,1.7418584159410087e-29,1.3112870789200315e-09
Clarithromycin,Metoprolol,0.0,564.0,0.47348484862134704,0.4776049819721633,1.0087017216344154,below_weak_threshold,1.004211548059153,1.0042757489635459,-1.0281607659576443e-119,1.4802822079218458e-08
Clarithromycin,Metoprolol,312.0,252.0,0.4734848486213464,0.47791678172484225,1.0093602427118848,below_weak_threshold,1.004211548059153,1.0042757489635459,8.272304873985016e-53,1.483454070694279e-08
Ritonavir,Midazolam,0.0,564.0,0.025691733015079956,0.1860569081059368,7.241897928673372,strong_range,17.190420628502014,18.64334215489195,-2.1266307085871186e-24,1.8805779156139124e-09
Ritonavir,Midazolam,312.0,252.0,0.025691733015079973,0.43578932476082904,16.96223935166378,strong_range,17.190420628502014,18.64334215489195,4.931049664896479e-15,1.0254619375871243e-09
Ritonavir,Metoprolol,0.0,564.0,0.47348484862134704,0.4880897949241596,1.0308456465826479,below_weak_threshold,1.1446954230164275,1.1472151069142082,-8.980708173005387e-117,1.5243109885432204e-08
Ritonavir,Metoprolol,312.0,252.0,0.4734848486213464,0.5477579887208937,1.1568648718450223,below_weak_threshold,1.1446954230164275,1.1472151069142082,1.2402668335341698e-53,1.7060571622096177e-08
Fluconazole,Midazolam,0.0,564.0,0.025691733015079956,0.05344888686610265,2.0803924295309475,moderate_range,1.5791655708747492,1.5822086862944789,8.822119341355034e-70,7.813261149181017e-10
Fluconazole,Midazolam,312.0,252.0,0.025691733015079973,0.05561533725023541,2.164717234823806,moderate_range,1.5791655708747492,1.5822086862944789,-4.6232898925980637e-35,7.486216091479037e-10
Fluconazole,Metoprolol,0.0,564.0,0.47348484862134704,0.4821767569910954,1.0183573104716164,below_weak_threshold,1.0127266828295476,1.0129223589314464,-2.0070652285926795e-119,1.5110749984614813e-08
Fluconazole,Metoprolol,312.0,252.0,0.4734848486213464,0.4840766336222718,1.0223698499155056,below_weak_threshold,1.0127266828295476,1.0129223589314464,4.441989327988497e-53,1.511911307261471e-08
Quinidine,Midazolam,0.0,564.0,0.025691733015079956,0.03649546002437486,1.4205137505887038,weak_range,1.1206950298246323,1.1209336002786967,2.2208073689475838e-73,4.414535403896025e-10
Quinidine,Midazolam,312.0,252.0,0.025691733015079973,0.036619318081463265,1.4253346810030003,weak_range,1.1206950298246323,1.1209336002786967,-2.047096101612839e-35,4.4146997169036695e-10
Quinidine,Metoprolol,0.0,564.0,0.47348484862134704,2.9458573930454763,6.221650812318438,strong_range,6.199921706149407,6.731218111208604,-9.812062766626228e-76,6.17455953033641e-09
Quinidine,Metoprolol,312.0,252.0,0.4734848486213464,2.982755045161637,6.299578653565312,strong_range,6.199921706149407,6.731218111208604,4.569382466065749e-50,3.114875823939656e-08
Amoxicillin,Midazolam,0.0,564.0,0.025691733015079956,0.025691733015376663,1.0000000000115488,below_weak_threshold,1.0000000000024825,1.0000000000024882,2.7729784777868947e-74,2.7263524771115044e-10
Amoxicillin,Midazolam,312.0,252.0,0.025691733015079973,0.025691733015381347,1.0000000000117304,below_weak_threshold,1.0000000000024825,1.0000000000024882,7.202981656691312e-35,2.726339154435209e-10
Amoxicillin,Metoprolol,0.0,564.0,0.47348484862134704,0.4734848486218334,1.0000000000010272,below_weak_threshold,1.0000000000005558,1.0000000000005644,-1.151836528442609e-119,1.4402957049242104e-08
Amoxicillin,Metoprolol,312.0,252.0,0.4734848486213464,0.4734848486218849,1.0000000000011373,below_weak_threshold,1.0000000000005558,1.0000000000005644,3.3046096400148646e-54,1.4402687043002516e-08
