entity,parameter,isoform,value,evidence,source,limitation
Ketoconazole,mw_g_mol,,531.43,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,dose_mg,,200.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,fu_p,,0.04,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,clint_mic_ul_min_mg,,12.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,ki_uM,CYP3A4,0.03,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,ki_uM,CYP2D6,8.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,ki_uM,CYP2C9,8.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,kinact_h,CYP3A4,0.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,kinact_h,CYP2D6,0.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,kinact_h,CYP2C9,0.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,KI_uM,CYP3A4,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,KI_uM,CYP2D6,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,KI_uM,CYP2C9,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,ka_h,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,fa,,0.9,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,fg,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,gfr_l_h,,7.5,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,qgut_l_h,,18.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ketoconazole,fu_gut,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,mw_g_mol,,747.95,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,dose_mg,,500.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,fu_p,,0.15,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,clint_mic_ul_min_mg,,25.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,ki_uM,CYP3A4,8.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,ki_uM,CYP2D6,80.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,ki_uM,CYP2C9,80.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,kinact_h,CYP3A4,0.45,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,kinact_h,CYP2D6,0.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,kinact_h,CYP2C9,0.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,KI_uM,CYP3A4,2.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,KI_uM,CYP2D6,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,KI_uM,CYP2C9,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,ka_h,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,fa,,0.9,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,fg,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,gfr_l_h,,7.5,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,qgut_l_h,,18.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Clarithromycin,fu_gut,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,mw_g_mol,,720.94,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,dose_mg,,100.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,fu_p,,0.02,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,clint_mic_ul_min_mg,,15.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,ki_uM,CYP3A4,0.025,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,ki_uM,CYP2D6,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,ki_uM,CYP2C9,20.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,kinact_h,CYP3A4,0.8,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,kinact_h,CYP2D6,0.02,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,kinact_h,CYP2C9,0.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,KI_uM,CYP3A4,0.15,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,KI_uM,CYP2D6,3.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,KI_uM,CYP2C9,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,ka_h,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,fa,,0.9,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,fg,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,gfr_l_h,,7.5,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,qgut_l_h,,18.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Ritonavir,fu_gut,,1.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Fluconazole,mw_g_mol,,306.27,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Fluconazole,dose_mg,,100.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Fluconazole,fu_p,,0.2,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
Fluconazole,clint_mic_ul_min_mg,,10.0,synthetic_scenario_assumption,analyst_defined_not_extracted,Drug name does not validate this numeric value
