compound,compartment,isoform,recovery_90_days_after_last_dose,censored_at_10days,kdeg_half_life_h,definition
Ketoconazole,hepatic,CYP3A4,0.0,False,36.481430555786595,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ketoconazole,gut,CYP3A4,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ketoconazole,hepatic,CYP2D6,0.0,False,27.72588722239781,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ketoconazole,gut,CYP2D6,0.0,False,17.328679513998633,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ketoconazole,hepatic,CYP2C9,0.0,False,34.657359027997266,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ketoconazole,gut,CYP2C9,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Clarithromycin,hepatic,CYP3A4,4.9975842893471665,False,36.481430555786595,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Clarithromycin,gut,CYP3A4,3.3666038398689317,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Clarithromycin,hepatic,CYP2D6,0.0,False,27.72588722239781,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Clarithromycin,gut,CYP2D6,0.0,False,17.328679513998633,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Clarithromycin,hepatic,CYP2C9,0.0,False,34.657359027997266,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Clarithromycin,gut,CYP2C9,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ritonavir,hepatic,CYP3A4,,True,36.481430555786595,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ritonavir,gut,CYP3A4,,True,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ritonavir,hepatic,CYP2D6,0.0,False,27.72588722239781,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ritonavir,gut,CYP2D6,0.0,False,17.328679513998633,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ritonavir,hepatic,CYP2C9,0.0,False,34.657359027997266,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Ritonavir,gut,CYP2C9,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Fluconazole,hepatic,CYP3A4,0.0,False,36.481430555786595,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Fluconazole,gut,CYP3A4,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Fluconazole,hepatic,CYP2D6,0.0,False,27.72588722239781,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Fluconazole,gut,CYP2D6,0.0,False,17.328679513998633,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Fluconazole,hepatic,CYP2C9,0.0,False,34.657359027997266,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Fluconazole,gut,CYP2C9,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Quinidine,hepatic,CYP3A4,0.0,False,36.481430555786595,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Quinidine,gut,CYP3A4,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Quinidine,hepatic,CYP2D6,0.0,False,27.72588722239781,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Quinidine,gut,CYP2D6,0.0,False,17.328679513998633,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Quinidine,hepatic,CYP2C9,0.0,False,34.657359027997266,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Quinidine,gut,CYP2C9,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Amoxicillin,hepatic,CYP3A4,0.0,False,36.481430555786595,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Amoxicillin,gut,CYP3A4,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Amoxicillin,hepatic,CYP2D6,0.0,False,27.72588722239781,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Amoxicillin,gut,CYP2D6,0.0,False,17.328679513998633,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Amoxicillin,hepatic,CYP2C9,0.0,False,34.657359027997266,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
Amoxicillin,gut,CYP2C9,0.0,False,23.104906018664845,last_upward_crossing_with_all_later_0.1h_samples_above_90pct
