small_dose_mg,mab_dose_mg_kg,day,targeted_effect,mab_effect,combo_effect,excess_over_bliss,loewe_ci,loewe_status
0.0,0.0,60.0,0.0,0.0,0.0,0.0,,zero_dose_zero_effect
10.0,0.0,60.0,0.22275311960802036,0.0,0.22275311960802036,0.0,1.0,axis_identity
25.0,0.0,60.0,0.37987434837284484,0.0,0.37987434837284484,0.0,1.0,axis_identity
50.0,0.0,60.0,0.514871351738599,0.0,0.514871351738599,0.0,1.0,axis_identity
100.0,0.0,60.0,0.8176890692923106,0.0,0.8176890692923106,0.0,1.0,axis_identity
200.0,0.0,60.0,0.9784166927828595,0.0,0.9784166927828595,0.0,1.0,axis_identity
0.0,0.1,60.0,0.0,0.1312352610133637,0.1312352610133637,0.0,1.0,axis_identity
10.0,0.1,60.0,0.22275311960802036,0.1312352610133637,0.3353707855879978,0.010615468759913347,0.7577872420148122,interpolated_in_support
25.0,0.1,60.0,0.37987434837284484,0.1312352610133637,0.4712996618952724,0.010042961770055606,0.7305330255637329,interpolated_in_support
50.0,0.1,60.0,0.514871351738599,0.1312352610133637,0.6136562308185286,0.03511889430028435,0.7944979279396857,interpolated_in_support
100.0,0.1,60.0,0.8176890692923106,0.1312352610133637,0.8794361729619311,0.03782148109260766,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,0.1,60.0,0.9784166927828595,0.1312352610133637,0.9855002674289955,0.00425108368996302,,A:interpolated_in_support;B:outside_monotherapy_effect_support
0.0,0.3,60.0,0.0,0.2885206190532379,0.2885206190532379,0.0,1.0,axis_identity
10.0,0.3,60.0,0.22275311960802036,0.2885206190532379,0.4605540175737821,0.013549146877869844,0.63607834588364,interpolated_in_support
25.0,0.3,60.0,0.37987434837284484,0.2885206190532379,0.5753449371474484,0.016551551876344203,0.5867944264881163,interpolated_in_support
50.0,0.3,60.0,0.514871351738599,0.2885206190532379,0.7751245347089089,0.12028356505346993,0.5755734284978951,interpolated_in_support
100.0,0.3,60.0,0.8176890692923106,0.2885206190532379,0.932406785763843,0.06211725388357789,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,0.3,60.0,0.9784166927828595,0.2885206190532379,0.991863625372588,0.007219703430222935,,A:interpolated_in_support;B:outside_monotherapy_effect_support
0.0,1.0,60.0,0.0,0.4982165288495962,0.4982165288495962,0.0,1.0,axis_identity
10.0,1.0,60.0,0.22275311960802036,0.4982165288495962,0.6361520182486398,0.02616165583255002,0.5051472419595155,interpolated_in_support
25.0,1.0,60.0,0.37987434837284484,0.4982165288495962,0.8093933489763332,0.12056215099921316,0.3066194556848172,interpolated_in_support
50.0,1.0,60.0,0.514871351738599,0.4982165288495962,0.9165925351037916,0.16002207218290065,,A:interpolated_in_support;B:outside_monotherapy_effect_support
100.0,1.0,60.0,0.8176890692923106,0.4982165288495962,0.9764027515210887,0.06788336316025384,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,1.0,60.0,0.9784166927828595,0.4982165288495962,0.9972932422915382,0.008123389105860468,,A:interpolated_in_support;B:outside_monotherapy_effect_support
0.0,3.0,60.0,0.0,0.6492282280592954,0.6492282280592954,0.0,1.0,axis_identity
10.0,3.0,60.0,0.22275311960802036,0.6492282280592954,0.8285613583716971,0.1011976238421767,0.15056094791670888,interpolated_in_support
25.0,3.0,60.0,0.37987434837284484,0.6492282280592954,0.9193288751237298,0.13685144877087116,,A:interpolated_in_support;B:outside_monotherapy_effect_support
50.0,3.0,60.0,0.514871351738599,0.6492282280592954,0.9668414208614884,0.13701085643133887,,A:interpolated_in_support;B:outside_monotherapy_effect_support
100.0,3.0,60.0,0.8176890692923106,0.6492282280592954,0.9913134521241427,0.05526298033263788,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,3.0,60.0,0.9784166927828595,0.6492282280592954,0.999078222115622,0.006649037032518956,,A:interpolated_in_support;B:outside_monotherapy_effect_support
0.0,10.0,60.0,0.0,0.7809322722431259,0.7809322722431259,0.0,1.0,axis_identity
10.0,10.0,60.0,0.22275311960802036,0.7809322722431259,0.8998367470583719,0.07010645505196181,,A:interpolated_in_support;B:outside_monotherapy_effect_support
25.0,10.0,60.0,0.37987434837284484,0.7809322722431259,0.9543431539236976,0.09019267134940939,,A:interpolated_in_support;B:outside_monotherapy_effect_support
50.0,10.0,60.0,0.514871351738599,0.7809322722431259,0.9820149392842685,0.08829096992865748,,A:interpolated_in_support;B:outside_monotherapy_effect_support
100.0,10.0,60.0,0.8176890692923106,0.7809322722431259,0.9955491896728437,0.03548763100821817,,A:interpolated_in_support;B:outside_monotherapy_effect_support
200.0,10.0,60.0,0.9784166927828595,0.7809322722431259,0.9995543295230773,0.004282535592614822,,A:interpolated_in_support;B:outside_monotherapy_effect_support
